Sample,X,Y,Z
0,0.051,-0.027,0.770
1,0.004,-0.320,0.879
2,-0.059,-0.332,0.867
3,-0.059,-0.348,0.852
4,-0.051,-0.324,0.844
5,0.020,-0.309,0.828
6,-0.016,-0.336,0.859
7,-0.078,-0.340,0.875
8,-0.039,-0.316,0.887
9,-0.008,-0.312,0.895
10,-0.008,-0.324,0.883
11,-0.020,-0.316,0.883
12,-0.047,-0.320,0.891
13,-0.008,-0.301,0.871
14,-0.008,-0.320,0.852
15,-0.023,-0.344,0.844
16,-0.031,-0.328,0.836
17,0.000,-0.336,0.836
18,-0.008,-0.336,0.867
19,0.000,-0.316,0.883
20,0.035,-0.309,0.863
21,-0.059,-0.336,0.914
22,-0.008,-0.309,0.883
23,-0.035,-0.309,0.883
24,-0.039,-0.301,0.883
25,-0.043,-0.324,0.875
26,-0.020,-0.328,0.867
27,-0.035,-0.320,0.879
28,-0.023,-0.328,0.871
29,0.004,-0.324,0.871
30,-0.062,-0.328,0.898
31,-0.008,-0.336,0.879
32,0.000,-0.305,0.883
33,0.012,-0.309,0.875
34,-0.008,-0.316,0.883
35,-0.027,-0.316,0.863
36,-0.023,-0.332,0.875
37,-0.020,-0.328,0.855
38,0.008,-0.336,0.840
39,-0.051,-0.355,0.855
40,-0.023,-0.328,0.855
41,-0.023,-0.340,0.855
42,-0.023,-0.328,0.871
43,-0.039,-0.324,0.883
44,0.004,-0.301,0.867
45,-0.016,-0.289,0.895
46,-0.035,-0.328,0.887
47,0.016,-0.328,0.867
48,-0.027,-0.312,0.891
49,-0.051,-0.336,0.879
50,-0.031,-0.324,0.871
51,-0.047,-0.336,0.867
52,-0.023,-0.316,0.883
53,-0.031,-0.309,0.891
54,-0.008,-0.289,0.891
55,-0.027,-0.309,0.883
56,-0.004,-0.332,0.871
57,0.000,-0.305,0.875
58,-0.055,-0.312,0.891
59,-0.016,-0.332,0.863
60,-0.070,-0.336,0.852
61,-0.031,-0.316,0.852
62,-0.043,-0.336,0.863
63,-0.027,-0.336,0.871
64,-0.016,-0.309,0.879
65,0.023,-0.316,0.875
66,-0.004,-0.320,0.887
67,-0.039,-0.336,0.871
68,-0.016,-0.320,0.875
69,-0.020,-0.324,0.855
70,0.004,-0.320,0.863
71,-0.043,-0.324,0.867
72,-0.047,-0.328,0.875
73,-0.020,-0.340,0.863
74,0.000,-0.324,0.871
75,0.008,-0.309,0.887
76,-0.016,-0.293,0.902
77,-0.062,-0.312,0.898
78,-0.070,-0.355,0.875
79,0.031,-0.324,0.863
80,0.008,-0.262,0.891
81,-0.004,-0.293,0.898
82,-0.055,-0.352,0.883
83,-0.082,-0.355,0.848
84,-0.008,-0.332,0.844
85,0.055,-0.305,0.875
86,0.008,-0.285,0.895
87,-0.039,-0.324,0.898
88,-0.094,-0.340,0.891
89,-0.008,-0.332,0.844
90,0.000,-0.332,0.852
91,-0.012,-0.301,0.879
92,-0.008,-0.320,0.875
93,-0.047,-0.324,0.891
94,-0.004,-0.336,0.859
95,0.016,-0.344,0.840
96,-0.008,-0.348,0.855
97,-0.031,-0.324,0.887
98,0.012,-0.285,0.879
99,-0.023,-0.328,0.891
100,-0.020,-0.305,0.852
101,-0.035,-0.320,0.859
102,-0.035,-0.324,0.875
103,-0.039,-0.328,0.898
104,-0.012,-0.309,0.875
105,-0.008,-0.320,0.871
106,-0.039,-0.363,0.887
107,0.023,-0.301,0.852
108,-0.023,-0.316,0.879
109,-0.027,-0.328,0.891
110,0.004,-0.316,0.871
111,-0.020,-0.312,0.883
112,-0.023,-0.316,0.891
113,-0.012,-0.324,0.855
114,-0.035,-0.320,0.875
115,-0.062,-0.332,0.879
116,0.020,-0.328,0.855
117,-0.012,-0.301,0.887
118,-0.027,-0.332,0.887
119,0.008,-0.344,0.867
120,-0.027,-0.332,0.867
121,-0.016,-0.312,0.875
122,0.023,-0.316,0.875
123,0.008,-0.312,0.875
124,-0.043,-0.320,0.891
125,-0.016,-0.340,0.859
126,0.004,-0.320,0.859
127,-0.039,-0.316,0.891
128,0.000,-0.324,0.859
129,-0.027,-0.336,0.883
130,-0.031,-0.328,0.887
131,0.020,-0.312,0.855
132,-0.008,-0.312,0.879
133,-0.008,-0.324,0.891
134,-0.023,-0.324,0.879
135,-0.004,-0.328,0.859
136,-0.031,-0.328,0.883
137,0.004,-0.316,0.863
138,-0.035,-0.320,0.875
139,-0.020,-0.332,0.883
140,-0.023,-0.336,0.863
141,0.008,-0.301,0.867
142,-0.004,-0.316,0.871
143,-0.004,-0.316,0.879
144,-0.012,-0.320,0.879
145,-0.027,-0.316,0.887
146,-0.016,-0.320,0.867
147,-0.031,-0.352,0.859
148,-0.008,-0.309,0.871
149,-0.016,-0.320,0.859
150,-0.004,-0.328,0.875
151,-0.020,-0.320,0.875
152,-0.031,-0.336,0.879
153,0.008,-0.324,0.875
154,-0.020,-0.320,0.887
155,-0.004,-0.320,0.875
156,-0.016,-0.316,0.887
157,-0.031,-0.344,0.879
158,-0.004,-0.328,0.863
159,-0.012,-0.312,0.867
160,-0.031,-0.312,0.855
161,-0.016,-0.328,0.871
162,-0.027,-0.332,0.879
163,-0.016,-0.328,0.875
164,-0.008,-0.312,0.871
165,-0.016,-0.316,0.871
166,-0.012,-0.324,0.875
167,-0.035,-0.340,0.879
168,-0.008,-0.312,0.875
169,-0.012,-0.305,0.883
170,-0.012,-0.336,0.867
171,0.000,-0.332,0.871
172,-0.043,-0.332,0.898
173,0.023,-0.301,0.871
174,-0.016,-0.320,0.863
175,-0.062,-0.348,0.867
176,-0.012,-0.336,0.859
177,0.008,-0.305,0.875
178,0.043,-0.277,0.887
179,-0.027,-0.320,0.879
180,-0.031,-0.375,0.855
181,-0.047,-0.336,0.855
182,0.012,-0.324,0.863
183,0.047,-0.305,0.875
184,-0.020,-0.309,0.906
185,-0.027,-0.316,0.879
186,-0.039,-0.336,0.859
187,-0.039,-0.340,0.852
188,-0.008,-0.340,0.859
189,-0.020,-0.305,0.891
190,0.020,-0.305,0.895
191,-0.004,-0.312,0.887
192,-0.023,-0.336,0.867
193,0.008,-0.344,0.852
194,-0.035,-0.332,0.867
195,-0.023,-0.328,0.875
196,-0.008,-0.305,0.887
197,-0.016,-0.305,0.887
198,0.020,-0.320,0.867
199,-0.023,-0.348,0.879
200,-0.023,-0.309,0.859
201,-0.012,-0.301,0.871
202,-0.016,-0.320,0.883
203,-0.020,-0.336,0.875
204,-0.016,-0.316,0.871
