Sample,X,Y,Z
204,-0.055,-0.266,0.930
205,0.082,-0.352,0.793
206,-0.016,-0.473,0.750
207,-0.145,-0.418,0.840
208,0.078,-0.316,0.875
209,0.012,-0.199,1.012
210,0.449,-0.160,0.984
211,0.359,-0.277,1.020
212,0.574,-0.195,0.914
213,0.090,-0.316,0.918
214,0.141,-0.234,0.859
215,0.152,-0.344,0.852
216,0.035,-0.301,0.926
217,0.102,-0.371,0.934
218,0.441,-0.453,0.852
219,0.184,-0.258,0.945
220,0.418,-0.195,0.891
221,0.730,-0.086,0.883
222,0.262,-0.152,0.992
223,-0.043,-0.227,0.879
224,-0.172,-0.496,0.719
225,-0.281,-0.547,0.742
226,-0.051,-0.473,0.801
227,0.027,-0.340,0.969
228,0.559,-0.098,1.066
229,0.535,-0.035,1.070
230,0.047,-0.145,0.992
231,-0.094,-0.355,0.797
232,-0.410,-0.387,0.793
233,-0.359,-0.477,0.906
234,0.500,-0.309,0.922
235,0.215,-0.281,1.113
236,1.137,-0.164,0.859
237,0.555,-0.160,0.941
238,0.055,-0.176,0.875
239,-0.289,-0.520,0.672
240,-0.488,-0.520,0.688
241,0.105,-0.430,0.812
242,0.453,-0.277,0.996
243,0.867,-0.004,1.062
244,0.750,-0.062,0.980
245,-0.020,-0.176,0.887
246,-0.941,-0.559,0.844
247,-0.672,-0.508,0.762
248,-0.027,-0.402,0.961
249,0.840,-0.070,1.047
250,1.027,0.020,1.035
251,0.617,-0.055,0.918
252,-0.539,-0.492,0.848
253,-0.570,-0.539,0.664
254,-0.484,-0.609,0.777
255,0.301,-0.273,0.977
256,0.859,-0.094,1.043
257,1.223,0.078,1.020
258,0.535,-0.055,1.020
259,-0.199,-0.418,0.867
260,-0.781,-0.480,0.926
261,-0.367,-0.516,0.859
262,0.867,-0.176,0.816
263,0.531,0.035,1.027
264,0.180,-0.195,0.926
265,-0.277,-0.488,0.805
266,-0.668,-0.648,0.891
267,0.082,-0.367,0.902
268,0.469,0.000,1.012
269,0.742,-0.086,0.855
270,0.102,-0.148,0.816
271,-0.734,-0.484,0.949
272,-0.172,-0.625,0.801
273,-0.156,-0.398,1.012
274,0.781,-0.160,0.832
275,0.355,-0.070,0.844
276,-0.379,-0.215,0.836
277,-0.523,-0.438,0.805
278,-0.262,-0.473,0.922
279,0.055,-0.195,1.090
280,0.527,-0.227,0.910
281,0.578,0.000,0.867
282,-0.859,-0.309,1.004
283,-0.719,-0.453,0.816
284,-0.293,-0.484,0.891
285,0.336,-0.359,0.922
286,0.641,0.012,0.941
287,0.312,-0.098,0.945
288,-0.246,-0.238,0.828
289,-0.551,-0.434,0.820
290,-0.375,-0.535,0.941
291,0.562,-0.340,0.910
292,0.227,-0.047,1.020
293,0.379,-0.160,0.848
294,-0.375,-0.258,0.887
295,-0.375,-0.258,0.887
