Sample,X,Y,Z
201,0.035,-0.379,0.922
202,-0.027,-0.293,0.895
203,-0.059,-0.328,0.871
204,-0.051,-0.324,0.840
205,-0.070,-0.363,0.812
206,-0.062,-0.344,0.828
207,-0.035,-0.340,0.859
208,0.023,-0.355,0.855
209,0.055,-0.332,0.840
210,-0.035,-0.270,0.883
211,-0.051,-0.246,0.875
212,-0.086,-0.332,0.871
213,-0.082,-0.348,0.883
214,-0.039,-0.309,0.918
215,0.012,-0.273,0.945
216,0.020,-0.266,0.934
217,0.020,-0.289,0.887
218,-0.023,-0.273,0.887
219,-0.102,-0.277,0.910
220,-0.121,-0.246,0.906
221,-0.059,-0.262,0.887
222,-0.023,-0.270,0.879
223,0.031,-0.289,0.875
224,0.031,-0.266,0.883
225,-0.020,-0.246,0.887
226,-0.027,-0.305,0.844
227,0.043,-0.352,0.824
228,-0.008,-0.363,0.840
229,-0.031,-0.363,0.871
230,0.000,-0.332,0.867
231,0.004,-0.242,0.871
232,-0.070,-0.238,0.867
233,-0.012,-0.277,0.820
234,-0.082,-0.391,0.848
235,-0.082,-0.391,0.848
236,-0.008,-0.402,0.855
237,0.059,-0.340,0.871
238,0.066,-0.305,0.891
239,0.023,-0.309,0.906
240,0.012,-0.246,0.918
241,0.020,-0.262,0.887
242,-0.039,-0.410,0.895
243,-0.012,-0.375,0.883
244,0.023,-0.281,0.922
245,-0.031,-0.246,0.980
246,0.008,-0.293,0.984
247,0.008,-0.363,0.930
248,-0.039,-0.410,0.875
249,-0.023,-0.328,0.871
250,-0.047,-0.246,0.891
251,-0.020,-0.293,0.902
252,-0.055,-0.371,0.883
253,-0.031,-0.336,0.844
254,0.043,-0.289,0.852
255,-0.027,-0.242,0.898
256,-0.051,-0.336,0.852
257,0.020,-0.363,0.809
258,-0.039,-0.379,0.867
259,0.031,-0.289,0.844
260,-0.023,-0.258,0.879
261,-0.043,-0.223,0.922
262,-0.031,-0.273,0.910
263,-0.117,-0.336,0.895
264,-0.066,-0.352,0.848
265,-0.055,-0.348,0.828
266,-0.016,-0.258,0.863
267,-0.031,-0.258,0.883
268,-0.102,-0.305,0.914
269,-0.008,-0.320,0.875
270,-0.020,-0.273,0.855
271,-0.027,-0.250,0.844
272,-0.039,-0.273,0.828
273,-0.113,-0.312,0.875
274,-0.016,-0.305,0.875
275,-0.031,-0.258,0.926
276,0.074,-0.262,0.922
277,0.004,-0.363,0.926
278,-0.102,-0.402,0.949
279,-0.023,-0.344,0.918
280,-0.055,-0.312,0.953
281,0.008,-0.281,0.887
282,-0.031,-0.324,0.867
283,-0.031,-0.297,0.844
284,-0.012,-0.312,0.832
285,-0.020,-0.309,0.844
286,0.055,-0.375,0.812
287,0.016,-0.410,0.836
288,0.031,-0.355,0.824
289,-0.004,-0.312,0.863
290,-0.043,-0.344,0.883
291,-0.031,-0.383,0.863
292,0.000,-0.270,0.906
293,0.000,-0.258,0.945
294,-0.004,-0.352,0.922
295,-0.023,-0.340,0.922
296,-0.027,-0.297,0.945
297,-0.016,-0.246,0.941
298,-0.012,-0.316,0.883
299,-0.012,-0.320,0.859
300,-0.039,-0.281,0.891
301,-0.020,-0.219,0.875
302,0.031,-0.289,0.898
303,-0.027,-0.363,0.891
304,0.023,-0.320,0.867
305,0.059,-0.215,0.914
306,-0.020,-0.207,0.926
307,0.004,-0.305,0.871
308,-0.039,-0.371,0.832
309,-0.098,-0.383,0.824
310,-0.031,-0.273,0.812
311,-0.098,-0.285,0.832
312,-0.055,-0.320,0.789
313,-0.082,-0.363,0.812
314,-0.008,-0.301,0.828
315,-0.004,-0.258,0.875
316,0.012,-0.301,0.898
317,0.035,-0.332,0.891
318,0.008,-0.301,0.902
319,-0.051,-0.277,0.895
320,0.000,-0.316,0.883
321,-0.035,-0.312,0.867
322,-0.070,-0.359,0.906
323,0.004,-0.316,0.926
324,-0.027,-0.312,0.973
325,-0.051,-0.312,0.965
326,-0.043,-0.312,0.945
327,-0.020,-0.309,0.910
328,-0.016,-0.270,0.887
329,-0.043,-0.320,0.922
330,0.016,-0.375,0.902
331,0.008,-0.355,0.879
332,0.043,-0.281,0.867
333,-0.016,-0.285,0.895
334,-0.090,-0.395,0.863
335,-0.090,-0.395,0.863
336,-0.078,-0.445,0.820
337,0.004,-0.379,0.824
338,0.023,-0.270,0.859
339,-0.043,-0.270,0.895
340,-0.031,-0.324,0.883
341,-0.066,-0.344,0.898
342,0.000,-0.250,0.895
343,0.000,-0.277,0.871
344,-0.027,-0.340,0.895
345,0.012,-0.371,0.891
346,0.035,-0.320,0.902
347,0.012,-0.273,0.906
348,-0.008,-0.273,0.879
349,-0.023,-0.273,0.848
350,-0.051,-0.262,0.871
351,-0.027,-0.246,0.875
352,-0.016,-0.277,0.879
353,-0.008,-0.266,0.875
354,-0.059,-0.277,0.879
355,0.031,-0.273,0.840
356,-0.070,-0.258,0.887
357,-0.016,-0.340,0.879
358,0.012,-0.367,0.879
359,0.012,-0.324,0.910
360,0.039,-0.277,0.910
361,-0.051,-0.277,0.941
362,-0.062,-0.285,0.906
363,-0.059,-0.289,0.848
364,-0.004,-0.234,0.832
365,0.023,-0.277,0.840
366,-0.012,-0.367,0.852
367,0.016,-0.395,0.840
368,0.012,-0.352,0.855
369,-0.020,-0.285,0.852
370,-0.074,-0.312,0.859
371,-0.082,-0.344,0.875
372,-0.039,-0.336,0.898
373,0.027,-0.242,0.930
374,0.031,-0.262,0.980
375,-0.031,-0.320,0.996
376,-0.035,-0.367,0.934
377,-0.047,-0.363,0.883
378,-0.027,-0.336,0.820
379,-0.035,-0.371,0.812
380,-0.023,-0.289,0.879
381,-0.047,-0.273,0.891
382,0.016,-0.258,0.910
383,-0.027,-0.355,0.898
384,-0.008,-0.332,0.871
385,-0.051,-0.289,0.906
386,-0.004,-0.258,0.898
387,0.004,-0.289,0.898
388,0.035,-0.383,0.906
389,0.000,-0.332,0.910
390,-0.035,-0.281,0.895
391,-0.094,-0.246,0.887
392,-0.121,-0.355,0.855
393,-0.039,-0.355,0.848
394,-0.004,-0.312,0.875
395,0.035,-0.254,0.883
396,-0.012,-0.258,0.848
397,-0.059,-0.297,0.852
398,-0.020,-0.266,0.848
399,0.012,-0.266,0.852
400,0.082,-0.230,0.824
401,-0.012,-0.277,0.895
402,0.020,-0.289,0.879
403,-0.043,-0.359,0.891
404,-0.066,-0.352,0.887
405,-0.023,-0.320,0.863
406,-0.043,-0.285,0.887
407,-0.016,-0.309,0.895
408,0.000,-0.312,0.910
409,0.000,-0.242,0.938
410,0.012,-0.230,0.953
411,0.027,-0.254,0.895
412,-0.023,-0.340,0.820
413,0.008,-0.336,0.789
414,-0.043,-0.336,0.832
415,0.051,-0.316,0.836
416,0.027,-0.352,0.883
417,-0.020,-0.371,0.902
418,-0.035,-0.293,0.938
419,-0.082,-0.285,0.996
420,-0.039,-0.344,0.992
421,-0.039,-0.363,0.898
422,-0.004,-0.273,0.906
423,-0.035,-0.238,0.934
424,0.016,-0.289,0.891
425,0.020,-0.363,0.855
426,0.000,-0.355,0.836
427,0.008,-0.344,0.832
428,-0.031,-0.324,0.840
429,-0.039,-0.320,0.840
430,-0.031,-0.289,0.852
431,-0.008,-0.223,0.898
432,0.004,-0.266,0.934
433,-0.051,-0.305,0.930
434,-0.086,-0.344,0.898
435,-0.062,-0.316,0.879
436,-0.074,-0.301,0.906
437,0.000,-0.301,0.891
438,0.020,-0.297,0.891
439,0.023,-0.293,0.883
440,0.023,-0.258,0.844
441,-0.016,-0.266,0.863
442,-0.027,-0.340,0.840
443,-0.086,-0.359,0.828
444,-0.016,-0.273,0.836
445,-0.035,-0.285,0.891
446,0.012,-0.285,0.898
447,-0.020,-0.320,0.898
448,-0.055,-0.305,0.883
449,-0.117,-0.320,0.883
450,-0.047,-0.355,0.859
451,-0.031,-0.324,0.875
452,0.020,-0.277,0.898
453,0.066,-0.238,0.883
454,-0.012,-0.281,0.906
455,0.020,-0.293,0.887
456,-0.043,-0.336,0.895
457,0.039,-0.348,0.875
458,-0.027,-0.312,0.898
459,-0.039,-0.293,0.910
460,0.000,-0.238,0.918
461,-0.004,-0.277,0.926
462,-0.008,-0.320,0.875
463,-0.016,-0.355,0.867
464,-0.078,-0.367,0.887
465,0.004,-0.324,0.863
466,0.016,-0.250,0.883
467,0.004,-0.281,0.902
468,0.031,-0.340,0.859
469,-0.004,-0.328,0.859
470,0.020,-0.297,0.879
471,-0.016,-0.301,0.875
472,-0.020,-0.379,0.879
473,-0.027,-0.402,0.867
474,-0.078,-0.391,0.855
475,0.020,-0.258,0.840
476,-0.066,-0.211,0.891
477,-0.020,-0.234,0.883
478,-0.035,-0.297,0.871
479,-0.023,-0.359,0.879
480,-0.035,-0.332,0.879
481,0.016,-0.301,0.902
482,0.016,-0.246,0.922
483,0.020,-0.273,0.906
484,-0.031,-0.281,0.871
485,-0.082,-0.320,0.887
486,-0.027,-0.332,0.910
487,-0.004,-0.320,0.930
488,0.020,-0.270,0.938
489,-0.039,-0.227,0.941
490,-0.117,-0.312,0.891
491,-0.035,-0.316,0.801
492,-0.031,-0.352,0.789
493,-0.004,-0.328,0.797
494,-0.016,-0.328,0.859
495,-0.012,-0.324,0.871
496,-0.016,-0.312,0.863
497,0.020,-0.285,0.852
498,-0.027,-0.293,0.879
499,-0.062,-0.359,0.898
500,-0.020,-0.367,0.906
501,-0.008,-0.332,0.945
502,0.047,-0.305,0.898
503,-0.074,-0.320,0.910
504,-0.098,-0.348,0.895
505,-0.105,-0.301,0.887
506,-0.039,-0.254,0.895
507,0.000,-0.293,0.895
508,0.012,-0.344,0.898
509,0.016,-0.316,0.895
510,0.012,-0.285,0.910
511,0.020,-0.254,0.895
512,-0.031,-0.328,0.867
513,-0.012,-0.367,0.852
514,-0.031,-0.344,0.879
515,-0.016,-0.250,0.906
516,-0.070,-0.305,0.895
517,-0.047,-0.336,0.867
518,-0.059,-0.324,0.867
519,-0.047,-0.258,0.891
520,0.012,-0.309,0.852
521,0.055,-0.324,0.852
522,0.008,-0.285,0.891
523,0.051,-0.305,0.852
524,-0.027,-0.344,0.844
525,-0.082,-0.328,0.832
526,-0.051,-0.258,0.824
527,-0.039,-0.270,0.879
528,0.039,-0.324,0.902
529,-0.012,-0.328,0.914
530,-0.020,-0.316,0.910
531,-0.035,-0.324,0.926
532,-0.020,-0.336,0.887
533,-0.023,-0.301,0.848
534,-0.027,-0.281,0.863
535,-0.023,-0.262,0.859
536,-0.012,-0.258,0.871
537,0.023,-0.281,0.891
538,-0.004,-0.348,0.906
539,0.031,-0.391,0.871
540,-0.051,-0.344,0.887
541,-0.020,-0.332,0.895
542,-0.008,-0.250,0.914
543,0.004,-0.234,0.945
544,0.000,-0.273,0.926
545,-0.055,-0.359,0.906
546,-0.047,-0.355,0.887
547,-0.062,-0.312,0.895
548,-0.020,-0.340,0.859
549,-0.004,-0.402,0.809
550,-0.008,-0.402,0.797
551,0.008,-0.273,0.832
552,-0.012,-0.254,0.895
553,0.012,-0.316,0.859
554,-0.074,-0.379,0.852
555,-0.039,-0.285,0.867
556,-0.066,-0.223,0.941
557,-0.020,-0.285,0.926
558,0.016,-0.348,0.895
559,0.027,-0.340,0.891
560,-0.016,-0.266,0.938
561,-0.074,-0.305,0.961
562,-0.043,-0.363,0.914
563,-0.051,-0.383,0.902
564,-0.012,-0.285,0.902
565,-0.035,-0.234,0.895
566,-0.059,-0.219,0.859
567,-0.062,-0.277,0.832
568,0.031,-0.320,0.805
569,0.016,-0.348,0.836
570,0.016,-0.332,0.848
571,-0.039,-0.285,0.871
572,0.020,-0.328,0.844
573,-0.008,-0.320,0.836
574,-0.004,-0.312,0.840
575,-0.035,-0.316,0.895
576,-0.043,-0.301,0.922
577,-0.020,-0.309,0.902
578,-0.035,-0.320,0.906
579,-0.039,-0.363,0.918
580,-0.082,-0.320,0.918
581,-0.023,-0.305,0.887
582,0.020,-0.246,0.836
583,-0.023,-0.301,0.848
584,0.008,-0.301,0.883
585,-0.012,-0.367,0.895
586,0.020,-0.328,0.906
587,0.035,-0.297,0.922
588,0.004,-0.328,0.922
589,-0.066,-0.340,0.910
590,-0.008,-0.316,0.879
591,-0.012,-0.246,0.898
592,-0.035,-0.270,0.891
593,-0.008,-0.285,0.875
594,-0.082,-0.363,0.926
595,-0.004,-0.355,0.844
596,-0.047,-0.336,0.828
597,-0.004,-0.336,0.836
598,-0.020,-0.359,0.859
599,0.027,-0.332,0.879
600,0.020,-0.270,0.918
601,-0.035,-0.293,0.906
602,-0.023,-0.281,0.906
603,-0.012,-0.266,0.879
604,-0.039,-0.281,0.840
605,0.012,-0.289,0.844
606,-0.004,-0.289,0.840
607,-0.094,-0.348,0.844
608,-0.023,-0.324,0.867
609,-0.070,-0.332,0.934
610,-0.055,-0.383,0.910
611,-0.047,-0.297,0.926
612,-0.039,-0.250,0.938
613,0.043,-0.203,0.910
614,0.016,-0.270,0.922
615,-0.031,-0.352,0.891
616,0.031,-0.344,0.840
617,-0.031,-0.293,0.840
618,-0.066,-0.281,0.797
619,-0.051,-0.344,0.770
620,-0.035,-0.359,0.785
621,-0.039,-0.340,0.848
622,0.062,-0.246,0.934
623,-0.004,-0.289,1.004
624,0.031,-0.309,0.992
625,-0.051,-0.371,0.965
626,0.008,-0.332,0.902
627,-0.008,-0.293,0.906
628,-0.023,-0.289,0.875
629,-0.039,-0.316,0.840
630,-0.070,-0.371,0.809
631,-0.012,-0.332,0.801
632,-0.016,-0.348,0.832
633,-0.070,-0.320,0.871
634,-0.027,-0.387,0.816
635,0.051,-0.312,0.852
636,0.051,-0.312,0.852
637,0.027,-0.242,0.926
638,0.070,-0.230,0.934
639,0.016,-0.266,0.973
640,-0.027,-0.316,0.938
641,-0.016,-0.277,0.898
