Sample,X,Y,Z
212,-0.039,0.066,0.992
213,-0.035,0.062,0.996
214,-0.027,0.051,1.000
215,-0.035,0.051,0.992
216,-0.047,0.059,1.000
217,-0.047,0.066,0.988
218,-0.043,0.062,0.996
219,-0.035,0.059,1.008
220,-0.051,0.043,1.109
221,-0.027,0.043,1.008
222,-0.031,0.055,1.016
223,-0.020,0.059,1.012
224,-0.047,0.047,0.984
225,-0.043,0.055,1.008
226,-0.023,0.055,1.012
227,-0.031,0.062,1.004
228,-0.039,0.059,1.000
229,-0.051,0.066,0.996
230,-0.031,0.062,1.000
231,-0.039,0.066,0.992
232,-0.039,0.055,1.000
233,-0.031,0.051,1.000
234,-0.035,0.059,1.020
235,-0.027,0.059,1.008
236,-0.023,0.051,1.016
237,-0.016,0.047,0.992
238,-0.020,0.051,1.016
239,-0.039,0.059,1.000
240,-0.039,0.070,0.969
241,-0.031,0.055,0.988
242,-0.027,0.059,0.996
243,-0.043,0.066,1.000
244,-0.031,0.066,0.992
245,-0.047,0.078,1.000
246,-0.031,0.070,0.984
247,-0.027,0.059,1.008
248,-0.031,0.055,1.000
249,-0.039,0.055,1.008
250,-0.035,0.055,1.012
251,-0.023,0.059,0.992
252,-0.031,0.051,0.996
253,-0.027,0.055,0.996
254,-0.047,0.055,1.004
255,-0.043,0.055,0.988
256,-0.039,0.062,0.996
257,-0.031,0.051,1.008
258,-0.035,0.055,0.996
259,-0.047,0.062,0.996
260,-0.027,0.082,0.996
261,-0.047,0.055,0.977
262,-0.027,0.051,1.004
263,-0.023,0.051,1.008
264,-0.027,0.047,1.000
265,-0.027,0.059,1.012
266,-0.023,0.055,1.000
267,-0.027,0.051,0.988
268,-0.031,0.043,0.984
269,-0.043,0.059,1.004
270,-0.051,0.070,1.004
271,-0.035,0.070,0.996
272,-0.039,0.066,0.992
273,-0.035,0.066,0.996
274,-0.043,0.062,1.008
275,-0.039,0.066,0.996
276,-0.031,0.059,0.996
277,-0.023,0.059,1.000
278,-0.023,0.055,1.004
279,-0.027,0.051,1.016
280,0.000,0.047,0.988
281,-0.020,0.055,1.004
282,-0.020,0.055,1.004
283,-0.031,0.055,1.016
284,-0.043,0.066,1.004
285,-0.051,0.066,1.000
286,-0.027,0.066,0.988
287,-0.035,0.070,1.012
288,-0.023,0.059,1.000
289,-0.043,0.047,0.992
290,-0.051,0.062,1.000
291,-0.043,0.066,1.016
292,-0.027,0.059,1.008
293,-0.020,0.043,0.992
294,-0.020,0.039,1.004
295,-0.039,0.055,1.004
296,-0.039,0.070,1.016
297,-0.039,0.055,0.992
298,-0.035,0.055,1.000
299,-0.035,0.059,1.008
300,-0.020,0.043,0.980
301,-0.047,0.062,0.988
302,-0.047,0.062,0.988
303,-0.039,0.066,1.008
304,-0.031,0.059,0.992
305,-0.027,0.055,1.000
306,-0.027,0.055,0.992
307,-0.027,0.055,1.004
308,-0.023,0.059,1.004
309,-0.023,0.055,0.988
310,-0.027,0.055,1.000
311,-0.031,0.055,1.000
312,-0.031,0.059,1.000
313,-0.051,0.062,1.008
314,-0.035,0.059,0.984
315,-0.027,0.062,1.000
316,-0.035,0.059,1.000
317,-0.051,0.059,1.004
318,-0.059,0.062,0.984
319,-0.031,0.062,1.000
320,-0.043,0.074,0.922
321,-0.020,0.051,1.008
322,-0.035,0.059,1.008
323,-0.023,0.047,1.000
324,-0.039,0.047,0.996
325,-0.043,0.059,1.012
326,-0.047,0.062,1.004
327,-0.035,0.062,0.988
328,-0.031,0.055,1.000
329,-0.047,0.055,0.992
330,-0.051,0.066,1.004
331,-0.055,0.070,0.996
332,-0.027,0.062,0.988
333,-0.023,0.055,0.996
334,-0.035,0.055,1.016
335,-0.035,0.059,1.008
336,-0.035,0.059,1.008
337,-0.023,0.055,0.992
338,-0.035,0.047,1.008
339,-0.027,0.055,1.016
340,-0.035,0.062,1.004
341,-0.039,0.062,0.992
342,-0.035,0.066,0.984
343,-0.035,0.059,1.016
344,-0.047,0.059,0.996
345,-0.047,0.078,1.008
346,-0.039,0.070,0.988
347,-0.035,0.066,1.004
348,-0.027,0.047,1.004
349,-0.035,0.047,0.996
350,-0.031,0.051,1.000
351,-0.031,0.055,1.004
352,-0.023,0.059,0.996
353,-0.020,0.043,1.008
354,-0.035,0.047,0.992
355,-0.027,0.051,1.008
356,-0.047,0.074,1.008
357,-0.027,0.051,0.980
358,-0.031,0.055,0.992
359,-0.035,0.062,1.000
360,-0.035,0.074,0.980
361,-0.047,0.066,1.000
362,-0.023,0.055,0.992
363,-0.027,0.047,0.988
364,-0.020,0.051,1.004
365,-0.035,0.055,1.008
366,-0.031,0.059,0.984
367,-0.035,0.066,0.984
368,-0.027,0.051,1.008
369,-0.035,0.051,1.008
370,-0.043,0.059,0.992
371,-0.039,0.062,0.996
372,-0.039,0.070,1.012
373,-0.035,0.059,0.996
374,-0.043,0.055,0.988
375,-0.035,0.059,0.988
376,-0.039,0.066,1.004
377,-0.035,0.074,1.000
378,-0.027,0.051,0.992
379,-0.016,0.051,0.988
380,-0.031,0.051,0.914
381,-0.023,0.059,1.031
382,-0.035,0.062,1.004
383,-0.031,0.055,0.988
384,-0.023,0.051,0.992
385,-0.035,0.051,1.000
386,-0.039,0.062,1.008
387,-0.039,0.062,1.000
388,-0.031,0.059,0.984
389,-0.035,0.055,1.004
390,-0.043,0.051,1.012
391,-0.043,0.059,1.004
392,-0.039,0.059,0.992
393,-0.023,0.055,1.008
394,-0.027,0.055,0.992
395,-0.031,0.051,1.000
396,-0.039,0.059,1.012
397,-0.039,0.062,0.988
398,-0.035,0.059,1.008
399,-0.039,0.059,0.992
400,-0.031,0.059,0.980
401,-0.023,0.062,0.984
402,-0.043,0.062,0.984
403,-0.039,0.066,1.012
404,-0.039,0.062,0.984
405,-0.020,0.051,0.992
406,-0.023,0.051,1.000
407,-0.023,0.062,1.016
408,-0.012,0.059,1.008
409,-0.027,0.062,0.988
410,-0.020,0.055,0.996
411,-0.031,0.055,0.984
412,-0.035,0.055,1.000
413,-0.039,0.059,1.000
414,-0.031,0.059,1.000
415,-0.035,0.055,0.988
416,-0.047,0.059,0.996
417,-0.047,0.062,0.988
418,-0.055,0.066,1.000
419,-0.035,0.062,1.004
420,-0.004,0.039,1.000
421,-0.035,0.035,1.000
422,-0.039,0.047,1.008
423,-0.051,0.055,1.004
424,-0.031,0.055,0.992
425,-0.035,0.051,0.992
426,-0.023,0.047,1.008
427,-0.039,0.051,0.996
428,-0.027,0.059,1.000
429,-0.047,0.070,0.992
430,-0.027,0.055,1.004
431,-0.039,0.059,0.992
432,-0.027,0.055,0.996
433,-0.031,0.055,1.004
434,-0.039,0.059,1.012
435,-0.016,0.059,1.000
436,-0.020,0.047,0.996
437,-0.027,0.051,0.988
438,-0.035,0.055,1.016
439,-0.027,0.062,1.008
440,0.000,0.082,0.953
441,-0.027,0.047,0.965
442,-0.035,0.059,1.000
443,-0.039,0.070,1.027
444,-0.031,0.062,0.973
445,-0.047,0.059,0.992
446,-0.035,0.055,1.012
447,-0.031,0.059,1.012
448,-0.027,0.047,1.000
449,-0.043,0.055,0.984
450,-0.031,0.059,1.016
451,-0.023,0.055,1.012
452,-0.023,0.047,0.996
453,-0.020,0.043,0.992
454,-0.039,0.059,1.000
455,-0.035,0.055,1.012
456,-0.035,0.059,0.996
