Sample,Y
0,0.184
1,-0.008
2,0.012
3,-0.020
4,-0.043
5,-0.074
6,-0.078
7,-0.059
8,-0.051
9,-0.043
10,-0.066
11,-0.062
12,-0.094
13,-0.062
14,-0.066
15,-0.043
16,-0.070
17,-0.086
18,-0.086
19,-0.066
20,-0.055
21,-0.070
22,-0.117
23,-0.137
24,-0.098
25,-0.066
26,-0.059
27,-0.035
28,0.012
29,0.012
30,0.012
31,-0.035
32,-0.137
33,-0.180
34,-0.188
35,-0.129
36,-0.078
37,-0.074
38,-0.086
39,-0.070
40,-0.066
41,-0.070
42,-0.035
43,-0.039
44,-0.039
45,-0.059
46,-0.043
47,-0.047
48,-0.027
49,-0.027
50,-0.043
51,-0.051
52,-0.090
53,-0.098
54,-0.098
55,-0.066
56,-0.082
57,-0.078
58,-0.098
59,-0.062
60,-0.020
61,0.012
62,0.008
63,0.000
64,0.023
65,-0.023
66,-0.074
67,-0.113
68,-0.105
69,-0.086
70,-0.055
71,-0.039
72,-0.059
73,-0.055
74,-0.070
75,-0.066
76,-0.059
77,-0.066
78,-0.082
79,-0.070
80,-0.047
81,-0.082
82,-0.066
83,-0.086
84,-0.094
85,-0.102
86,-0.059
87,-0.102
88,-0.148
89,-0.148
90,-0.102
91,-0.059
92,-0.031
93,0.016
94,0.066
95,0.051
96,0.000
97,-0.055
98,-0.109
99,-0.137
100,-0.133
101,-0.117
102,-0.059
103,-0.074
104,-0.094
105,-0.090
106,-0.082
107,-0.078
108,-0.043
109,-0.031
110,-0.039
111,-0.055
112,-0.043
113,-0.020
114,-0.016
115,-0.031
116,-0.055
117,-0.059
118,-0.090
119,-0.078
120,-0.062
121,-0.090
122,-0.074
123,-0.062
124,-0.055
125,-0.086
126,-0.047
127,-0.027
128,-0.004
129,-0.016
130,-0.020
131,-0.059
132,-0.121
133,-0.121
134,-0.105
135,-0.062
136,-0.055
137,-0.059
138,-0.062
139,-0.062
140,-0.070
141,-0.082
142,-0.074
143,-0.066
144,-0.035
145,-0.035
146,-0.035
147,-0.074
148,-0.090
149,-0.086
150,-0.082
151,-0.082
152,-0.094
153,-0.086
154,-0.113
155,-0.125
156,-0.133
157,-0.066
158,-0.051
159,-0.023
160,0.043
161,0.082
162,0.051
163,-0.012
164,-0.031
165,-0.086
166,-0.117
167,-0.168
168,-0.137
169,-0.105
170,-0.098
171,-0.102
172,-0.094
173,-0.062
174,-0.078
175,-0.055
176,-0.047
177,-0.051
178,-0.062
179,-0.031
180,-0.043
181,-0.027
182,-0.023
183,-0.066
184,-0.094
185,-0.113
186,-0.098
187,-0.098
188,-0.082
189,-0.086
190,-0.082
191,-0.078
192,-0.074
193,-0.047
194,-0.023
195,0.000
196,-0.008
197,-0.004
198,-0.023
199,-0.070
200,-0.105
201,-0.102
202,-0.086
203,-0.094
204,-0.090
205,-0.074
206,-0.074
207,-0.070
208,-0.055
209,-0.062
210,-0.059
211,-0.055
212,-0.059
213,-0.039
214,-0.070
215,-0.086
216,-0.102
217,-0.078
218,-0.070
219,-0.051
220,-0.043
221,-0.043
222,-0.023
223,-0.035
224,-0.051
225,-0.086
226,-0.094
227,-0.094
228,-0.098
229,-0.090
230,-0.090
231,-0.082
232,-0.074
233,-0.078
234,-0.094
235,-0.082
236,-0.078
237,-0.090
238,-0.059
239,-0.055
240,-0.027
241,-0.039
242,-0.016
243,-0.051
244,-0.027
245,-0.062
246,-0.055
247,-0.078
248,-0.090
249,-0.078
250,-0.082
251,-0.082
252,-0.082
253,-0.043
254,-0.031
255,-0.031
256,-0.047
257,-0.047
258,-0.062
259,-0.070
260,-0.055
261,-0.082
262,-0.059
263,-0.082
264,-0.059
265,-0.082
266,-0.074
267,-0.090
268,-0.074
269,-0.062
270,-0.059
271,-0.062
272,-0.070
273,-0.051
274,-0.059
275,-0.055
276,-0.078
277,-0.070
278,-0.059
279,-0.062
280,-0.070
281,-0.082
282,-0.066
283,-0.078
284,-0.059
285,-0.102
286,-0.070
287,-0.078
288,-0.043
289,-0.059
290,-0.066
291,-0.055
292,-0.043
293,-0.051
294,-0.062
295,-0.059
296,-0.074
297,-0.062
298,-0.066
299,-0.059
300,-0.066
301,-0.055
302,-0.051
303,-0.070
304,-0.047
305,-0.059
306,-0.062
307,-0.066
308,-0.062
309,-0.074
310,-0.055
311,-0.055
312,-0.062
313,-0.059
314,-0.055
315,-0.062
316,-0.090
317,-0.078
318,-0.062
319,-0.070
