Sample,X
0,0.031
1,0.004
2,0.000
3,-0.012
4,0.008
5,0.059
6,0.105
7,0.086
8,0.070
9,0.051
10,0.043
11,0.070
12,0.102
13,0.086
14,0.066
15,0.059
16,0.027
17,0.031
18,0.016
19,-0.027
20,-0.012
21,-0.035
22,-0.035
23,-0.023
24,-0.020
25,0.008
26,0.008
27,0.043
28,0.066
29,0.078
30,0.082
31,0.074
32,0.066
33,0.066
34,0.078
35,0.074
36,0.078
37,0.055
38,0.027
39,0.020
40,0.051
41,0.000
42,-0.008
43,0.000
44,-0.012
45,-0.020
46,-0.027
47,-0.023
48,-0.031
49,0.008
50,0.012
51,0.020
52,-0.004
53,0.008
54,0.023
55,0.035
56,0.059
57,0.059
58,0.066
59,0.059
60,0.070
61,0.027
62,0.027
63,0.020
64,0.012
65,0.000
66,-0.020
67,-0.027
68,-0.012
69,-0.012
70,-0.008
71,0.012
72,0.020
73,0.020
74,0.031
75,0.031
76,0.031
77,0.043
78,0.059
79,0.059
80,0.105
81,0.039
82,0.051
83,0.070
84,0.066
85,0.055
86,0.047
87,0.039
88,0.016
89,0.012
90,0.000
91,0.004
92,0.012
93,0.004
94,-0.004
95,0.000
96,0.012
97,0.012
98,0.016
99,0.027
100,0.035
101,0.020
102,0.035
103,0.043
104,0.051
105,0.051
106,0.031
107,0.039
108,0.020
109,0.027
110,0.020
111,0.012
112,0.016
113,0.004
114,0.000
115,0.000
116,-0.012
117,-0.008
118,-0.004
119,-0.008
120,0.059
121,0.027
122,0.004
123,0.027
124,0.020
125,0.023
126,0.023
127,0.031
128,0.039
129,0.031
130,0.035
131,0.031
132,0.027
133,0.020
134,0.016
135,0.023
136,0.016
137,0.023
138,0.016
139,0.020
140,0.027
141,0.008
142,0.016
143,0.027
144,0.016
145,0.031
146,0.039
147,0.035
148,0.035
149,0.047
150,0.043
151,0.059
152,0.062
153,0.047
154,0.039
155,0.027
156,0.035
157,0.039
158,0.031
159,0.012
160,0.078
161,0.012
162,0.020
163,0.016
164,0.035
165,0.023
166,0.012
167,0.020
168,0.020
169,0.020
170,0.027
171,0.027
172,0.020
173,0.023
174,0.023
175,0.016
176,0.027
177,0.027
178,0.016
179,0.012
180,0.020
181,0.012
182,0.008
183,0.008
184,0.004
185,0.000
186,0.004
187,0.000
188,0.008
189,0.008
190,-0.004
191,0.012
192,0.031
193,0.020
194,0.035
195,0.031
196,0.035
197,0.035
198,0.047
199,0.035
200,0.066
201,0.031
202,0.035
203,0.020
204,0.035
205,0.027
206,0.027
207,0.027
208,0.023
209,0.035
210,0.027
211,0.027
212,0.031
213,0.035
214,0.023
215,0.043
216,0.047
217,0.047
218,0.035
219,0.043
220,0.027
221,-0.012
222,0.043
223,0.035
224,0.023
225,0.039
226,0.027
227,0.027
228,0.027
229,0.020
230,0.000
231,0.023
232,0.008
233,0.012
234,0.020
235,0.020
236,-0.004
237,0.016
238,0.012
239,0.012
240,-0.031
241,0.020
242,0.016
243,0.016
244,0.020
245,0.020
246,0.020
247,0.023
248,0.004
249,0.016
250,0.020
251,0.016
252,0.004
253,0.020
254,0.008
255,0.020
256,0.039
257,0.020
258,0.016
259,0.020
260,0.008
261,0.023
262,0.035
263,0.023
264,0.027
265,0.035
266,0.023
267,0.035
268,0.031
269,0.035
270,0.027
271,0.031
272,0.027
273,0.039
274,0.027
275,0.027
276,0.027
277,0.027
278,0.031
279,0.035
280,0.023
281,0.023
282,0.023
283,0.031
284,0.020
285,0.027
286,0.027
287,0.027
288,0.023
289,0.035
290,0.027
291,0.016
292,0.020
293,0.020
294,0.020
295,0.023
296,0.016
297,0.016
298,0.012
299,0.020
300,-0.035
301,0.012
302,0.016
303,0.008
304,0.008
305,0.008
306,0.023
307,0.012
308,0.020
309,0.012
310,0.016
311,0.027
312,0.012
313,0.023
314,0.012
315,0.023
316,0.020
317,0.016
318,0.023
319,0.023
320,-0.004
321,0.000
322,0.039
323,0.016
324,0.023
325,0.023
326,0.016
327,0.016
328,0.035
329,0.016
330,0.016
331,0.035
332,0.027
333,0.023
334,0.047
335,0.035
336,0.027
337,0.027
338,0.039
339,0.027
340,0.035
341,0.035
342,0.039
343,0.027
344,0.027
345,0.031
346,0.027
347,0.035
348,0.012
349,0.023
350,0.035
351,0.016
352,0.023
353,0.020
354,0.016
355,0.023
356,0.027
357,0.012
358,0.023
359,0.016
360,0.012
361,0.023
362,0.035
363,0.016
364,0.023
365,0.012
366,0.012
367,0.023
368,0.016
369,0.012
370,0.008
371,0.016
372,0.008
373,0.027
374,0.008
375,0.020
376,0.012
377,0.012
378,0.020
379,0.000
380,0.016
381,-0.020
382,0.027
383,0.016
384,0.023
385,0.020
386,0.027
387,0.023
388,0.027
389,0.023
390,0.020
391,0.031
392,0.031
393,0.027
394,0.027
395,0.027
396,0.027
397,0.039
398,0.023
399,0.023
400,0.035
401,0.031
402,0.031
403,0.031
404,0.027
405,0.023
406,0.039
407,0.031
408,0.023
409,0.031
410,0.043
411,0.031
412,0.027
413,0.023
414,0.020
415,0.035
416,0.027
417,0.027
418,0.020
419,0.027
420,0.027
421,0.000
422,0.035
423,0.020
424,0.020
425,0.020
426,0.016
427,0.016
428,0.020
429,0.020
430,0.016
431,0.012
432,0.020
433,0.012
434,0.020
435,0.012
436,0.008
437,0.008
438,0.004
439,0.012
440,0.020
441,0.039
442,0.020
443,0.020
444,0.020
445,0.027
446,0.027
447,0.016
448,0.012
449,0.020
450,0.020
451,0.023
452,0.039
453,0.020
454,0.020
455,0.031
456,0.031
457,0.027
458,0.031
459,0.027
460,0.004
461,0.020
462,0.039
463,0.031
464,0.027
465,0.035
466,0.027
467,0.035
468,0.043
469,0.035
470,0.023
471,0.039
472,0.027
473,0.035
474,0.031
475,0.027
476,0.016
477,0.027
478,0.023
479,0.023
480,0.059
481,0.039
482,0.020
483,0.020
484,0.023
485,0.012
486,0.023
487,0.020
488,0.016
489,0.012
490,0.016
491,0.008
492,0.016
493,0.016
494,0.016
495,0.023
496,0.020
497,0.016
498,0.004
499,0.023
500,-0.016
501,0.016
502,0.016
503,0.020
504,0.016
505,0.023
506,0.016
507,0.027
508,0.020
509,0.020
510,0.031
511,0.023
512,0.020
513,0.027
514,0.023
515,0.031
516,0.027
517,0.027
518,0.023
519,0.023
520,0.027
521,0.059
522,0.031
523,0.035
524,0.031
525,0.031
526,0.023
527,0.031
528,0.031
529,0.027
530,0.031
531,0.027
532,0.027
533,0.035
534,0.023
535,0.023
536,0.027
537,0.020
538,0.031
539,0.020
540,0.070
541,0.016
542,0.035
543,0.016
544,0.027
545,0.016
546,0.020
547,0.027
548,0.023
549,0.020
550,0.023
551,0.016
552,0.023
553,0.031
554,0.004
555,0.012
556,0.023
557,0.023
558,0.016
559,0.023
560,0.027
561,0.023
562,0.020
563,0.027
564,0.016
565,0.016
566,0.020
567,0.020
568,0.012
569,0.023
570,0.012
571,0.012
572,0.027
573,0.031
574,0.016
575,0.027
576,0.031
577,0.012
578,0.027
579,0.023
580,0.023
581,0.020
582,0.031
583,0.020
584,0.035
585,0.035
586,0.016
587,0.020
588,0.035
589,0.031
590,0.012
591,0.027
592,0.023
593,0.031
594,0.027
595,0.031
596,0.023
597,0.027
598,0.043
599,0.016
600,0.016
601,0.023
602,0.027
603,0.016
604,0.043
605,0.000
606,0.023
607,0.020
608,0.031
609,0.016
610,0.016
611,0.023
612,0.016
613,0.020
614,0.023
615,0.012
616,0.020
617,0.016
618,0.016
619,0.020
620,0.027
621,0.020
622,0.016
623,0.016
624,0.020
625,0.012
626,0.020
627,0.016
628,0.020
629,0.004
630,0.023
631,0.020
632,0.016
633,0.027
634,0.020
635,0.023
636,0.020
637,0.012
638,0.023
639,0.023
640,0.035
641,0.020
642,0.031
643,0.020
644,0.023
645,0.027
646,0.020
647,0.039
648,0.035
649,0.012
650,0.031
651,0.031
652,0.023
653,0.043
654,0.023
655,0.012
656,0.031
657,0.035
658,0.027
659,0.031
660,0.035
661,0.023
662,0.023
663,0.027
664,0.023
665,0.027
666,0.035
667,0.016
668,0.023
669,0.039
670,0.020
671,0.023
672,0.031
673,0.012
674,0.023
675,0.023
676,0.016
677,0.016
678,0.027
679,0.000
680,0.047
681,0.012
682,0.008
683,0.023
684,0.020
685,0.012
686,0.031
687,0.023
688,0.023
689,0.020
690,0.012
691,0.016
692,0.023
693,0.012
694,0.012
695,0.023
696,0.023
697,0.023
