Sample,X,Y,Z
0,0.016,0.176,0.922
1,0.008,-0.086,0.910
2,-0.008,-0.082,0.918
3,-0.020,-0.062,0.934
4,0.000,-0.074,0.934
5,0.059,-0.082,0.934
6,0.105,-0.062,0.941
7,0.086,-0.051,0.961
8,0.062,-0.055,0.945
9,0.035,-0.066,0.953
10,0.047,-0.070,0.941
11,0.086,-0.066,0.926
12,0.082,-0.086,0.918
13,0.066,-0.090,0.914
14,0.051,-0.082,0.922
15,0.027,-0.074,0.934
16,0.004,-0.066,0.953
17,0.004,-0.066,0.953
18,0.031,-0.059,0.945
19,0.008,-0.062,0.953
20,-0.027,-0.074,0.957
21,-0.031,-0.078,0.957
22,-0.043,-0.078,0.922
23,-0.051,-0.078,0.922
24,-0.023,-0.098,0.914
25,-0.008,-0.078,0.918
26,-0.012,-0.070,0.934
27,0.023,-0.090,0.914
28,0.039,-0.094,0.926
29,0.074,-0.109,0.926
30,0.086,-0.066,0.938
31,0.098,-0.070,0.945
32,0.074,-0.039,0.941
33,0.062,-0.074,0.938
34,0.055,-0.059,0.938
35,0.082,-0.078,0.934
36,0.074,-0.070,0.941
37,0.059,-0.066,0.957
38,0.047,-0.059,0.961
39,0.027,-0.062,0.953
40,0.047,-0.078,0.965
41,0.027,-0.070,0.961
42,0.008,-0.082,0.938
43,0.000,-0.066,0.930
44,0.000,-0.070,0.918
45,-0.012,-0.070,0.914
46,-0.016,-0.090,0.902
47,-0.020,-0.086,0.906
48,-0.020,-0.098,0.906
49,-0.016,-0.090,0.918
50,0.000,-0.082,0.930
51,0.016,-0.090,0.945
52,0.008,-0.055,0.945
53,0.020,-0.066,0.949
54,0.027,-0.051,0.941
55,0.020,-0.062,0.941
56,0.043,-0.055,0.941
57,0.055,-0.082,0.934
58,0.055,-0.082,0.930
59,0.051,-0.082,0.922
60,0.059,-0.082,0.910
61,0.023,-0.078,0.930
62,0.027,-0.043,0.945
63,0.020,-0.059,0.941
64,0.012,-0.066,0.953
65,0.016,-0.078,0.953
66,-0.004,-0.082,0.945
67,-0.027,-0.082,0.953
68,-0.016,-0.082,0.930
69,-0.027,-0.090,0.922
70,-0.012,-0.098,0.914
71,-0.020,-0.078,0.922
72,-0.004,-0.078,0.922
73,0.000,-0.070,0.938
74,0.035,-0.086,0.930
75,0.023,-0.082,0.941
76,0.027,-0.086,0.941
77,0.035,-0.086,0.945
78,0.039,-0.066,0.949
79,0.055,-0.066,0.941
80,0.008,-0.074,0.918
81,0.059,-0.070,0.926
82,0.043,-0.062,0.918
83,0.031,-0.086,0.922
84,0.051,-0.062,0.922
85,0.062,-0.066,0.945
86,0.043,-0.070,0.945
87,0.047,-0.078,0.953
88,0.020,-0.066,0.953
89,0.004,-0.066,0.953
90,0.016,-0.062,0.941
91,0.012,-0.062,0.941
92,-0.004,-0.070,0.930
93,0.000,-0.078,0.914
