Sample,X,Y,Z
0,-0.016,0.152,0.820
1,0.004,-0.109,0.926
2,0.105,-0.133,0.883
3,0.090,-0.125,0.895
4,-0.012,-0.117,0.945
5,-0.070,-0.117,0.984
6,0.012,-0.109,0.957
7,0.102,-0.105,0.914
8,0.074,-0.125,0.914
9,0.000,-0.148,0.938
10,-0.023,-0.148,0.934
11,-0.008,-0.145,0.953
12,0.059,-0.125,0.934
13,0.078,-0.090,0.922
14,0.027,-0.117,0.938
15,-0.016,-0.156,0.938
16,0.035,-0.160,0.926
17,0.078,-0.145,0.930
18,0.070,-0.125,0.938
19,0.039,-0.121,0.930
20,0.027,-0.156,0.926
21,0.016,-0.160,0.902
22,0.020,-0.152,0.898
23,0.031,-0.129,0.910
24,0.016,-0.121,0.922
25,-0.012,-0.137,0.938
26,0.004,-0.129,0.941
27,0.012,-0.121,0.941
28,0.012,-0.133,0.930
29,0.004,-0.152,0.930
30,0.008,-0.168,0.926
31,0.016,-0.141,0.922
32,0.008,-0.125,0.949
33,0.020,-0.109,0.938
34,0.023,-0.117,0.914
35,0.023,-0.141,0.898
36,0.023,-0.156,0.914
37,0.023,-0.156,0.918
38,0.023,-0.152,0.934
39,0.055,-0.133,0.934
40,-0.016,-0.121,0.879
41,0.023,-0.117,0.922
42,0.020,-0.113,0.914
43,0.023,-0.129,0.906
44,0.047,-0.125,0.922
45,0.055,-0.109,0.957
46,0.043,-0.117,0.949
47,0.023,-0.133,0.941
48,0.020,-0.133,0.914
49,0.020,-0.141,0.914
50,0.039,-0.117,0.902
51,0.008,-0.129,0.918
52,0.020,-0.121,0.922
53,0.020,-0.117,0.945
54,0.039,-0.109,0.926
55,0.051,-0.117,0.918
56,0.023,-0.156,0.922
57,0.020,-0.137,0.922
58,0.035,-0.125,0.926
59,0.051,-0.109,0.938
60,0.102,-0.105,0.941
61,0.035,-0.148,0.906
62,0.008,-0.156,0.922
63,0.012,-0.117,0.918
64,0.055,-0.109,0.918
65,0.062,-0.129,0.914
66,0.039,-0.137,0.922
67,0.012,-0.152,0.922
68,0.016,-0.141,0.934
69,0.035,-0.137,0.910
70,0.031,-0.137,0.918
71,0.039,-0.148,0.926
72,0.031,-0.133,0.926
73,0.031,-0.121,0.938
74,0.020,-0.129,0.934
75,0.023,-0.133,0.918
76,0.000,-0.145,0.922
77,0.004,-0.156,0.926
78,0.000,-0.141,0.926
79,0.000,-0.164,0.930
80,-0.031,-0.152,0.918
81,0.008,-0.129,0.914
82,0.020,-0.129,0.930
83,0.031,-0.137,0.938
84,0.035,-0.125,0.938
