Sample,Z
679,0.945
680,0.926
681,0.961
682,0.941
683,0.941
684,0.938
685,0.945
686,0.934
687,0.934
688,0.930
689,0.934
690,0.934
691,0.930
692,0.934
693,0.922
694,0.938
695,0.930
696,0.930
697,0.938
698,0.930
699,0.938
700,0.949
701,0.926
702,0.934
703,0.930
704,0.934
705,0.926
706,0.922
707,0.930
708,0.926
709,0.938
710,0.922
711,0.926
712,0.930
713,0.934
714,0.934
715,0.941
716,0.938
717,0.938
718,0.934
719,0.938
720,0.930
721,0.961
722,0.934
723,0.938
724,0.934
725,0.934
726,0.938
727,0.941
728,0.945
729,0.938
730,0.934
731,0.945
732,0.941
733,0.945
734,0.949
735,0.938
736,0.941
737,0.941
738,0.945
739,0.941
740,0.941
741,0.922
742,0.938
743,0.930
744,0.930
745,0.926
746,0.930
747,0.926
748,0.930
749,0.926
750,0.938
751,0.926
752,0.934
753,0.930
754,0.930
755,0.930
756,0.945
757,0.945
758,0.930
759,0.926
760,0.926
761,0.938
762,0.938
763,0.934
764,0.930
765,0.930
766,0.938
767,0.941
768,0.938
769,0.941
770,0.938
771,0.938
772,0.941
773,0.934
774,0.930
775,0.930
776,0.938
777,0.934
778,0.938
779,0.938
780,0.926
781,0.934
782,0.934
783,0.938
784,0.934
785,0.926
786,0.938
787,0.938
788,0.934
789,0.945
790,0.938
791,0.941
792,0.938
793,0.938
794,0.938
795,0.938
796,0.938
797,0.938
798,0.930
799,0.938
800,0.934
801,0.918
802,0.945
803,0.930
804,0.941
805,0.938
806,0.930
807,0.938
808,0.938
809,0.941
810,0.934
811,0.945
812,0.938
813,0.941
814,0.934
815,0.934
816,0.934
817,0.949
818,0.938
819,0.934
820,0.945
821,0.918
822,0.938
823,0.938
824,0.934
825,0.934
826,0.938
827,0.941
828,0.934
829,0.941
830,0.930
831,0.934
832,0.934
833,0.922
834,0.922
835,0.934
836,0.926
837,0.926
838,0.926
839,0.934
840,0.930
841,0.914
842,0.941
843,0.941
844,0.934
845,0.930
846,0.941
847,0.934
848,0.941
849,0.934
850,0.926
851,0.941
852,0.941
853,0.934
854,0.934
855,0.941
856,0.938
857,0.938
858,0.930
859,0.938
860,0.938
861,0.930
862,0.934
863,0.934
864,0.934
865,0.938
866,0.945
867,0.938
868,0.934
869,0.930
870,0.934
871,0.938
872,0.938
873,0.938
874,0.934
875,0.930
876,0.934
877,0.934
878,0.941
879,0.941
880,0.930
881,0.945
882,0.945
883,0.941
884,0.938
885,0.934
886,0.930
887,0.934
888,0.938
889,0.930
890,0.934
891,0.934
892,0.934
893,0.930
894,0.938
895,0.926
896,0.934
897,0.934
898,0.926
899,0.930
900,0.934
901,0.926
902,0.930
903,0.934
904,0.945
905,0.934
906,0.938
907,0.938
908,0.934
909,0.934
910,0.941
911,0.941
912,0.934
913,0.938
914,0.934
915,0.938
916,0.941
917,0.938
918,0.938
919,0.930
920,0.938
921,0.941
922,0.941
923,0.938
924,0.926
925,0.930
926,0.938
927,0.938
928,0.938
929,0.938
930,0.938
931,0.926
932,0.938
933,0.938
934,0.934
935,0.938
936,0.938
937,0.930
938,0.949
939,0.941
940,0.922
941,0.926
942,0.945
943,0.941
944,0.934
945,0.930
946,0.938
947,0.938
948,0.934
949,0.934
950,0.934
951,0.926
952,0.930
953,0.934
954,0.926
955,0.930
956,0.941
957,0.941
958,0.938
959,0.938
960,0.938
961,0.938
962,0.922
963,0.934
964,0.934
965,0.934
966,0.934
967,0.938
968,0.926
969,0.934
970,0.938
971,0.934
972,0.941
973,0.945
974,0.938
975,0.934
976,0.949
977,0.934
978,0.934
979,0.934
980,0.945
981,0.941
982,0.938
983,0.934
984,0.938
985,0.934
986,0.926
987,0.938
988,0.934
989,0.938
990,0.934
991,0.945
992,0.930
993,0.949
994,0.934
995,0.938
996,0.938
997,0.941
998,0.938
999,0.934
Rate 1409, overflows 0
