Sample,Z
0,0.805
1,0.953
2,0.938
3,0.930
4,0.930
5,0.934
6,0.934
7,0.938
8,0.930
9,0.934
10,0.938
11,0.938
12,0.914
13,0.906
14,0.895
15,0.883
16,0.891
17,0.902
18,0.902
19,0.926
20,0.926
21,0.953
22,0.961
23,0.961
24,0.957
25,0.953
26,0.949
27,0.949
28,0.949
29,0.945
30,0.949
31,0.957
32,0.965
33,0.973
34,0.973
35,0.973
36,0.961
37,0.961
38,0.957
39,0.949
40,0.938
41,0.934
42,0.918
43,0.922
44,0.938
45,0.934
46,0.949
47,0.945
48,0.949
49,0.957
50,0.949
51,0.938
52,0.930
53,0.926
54,0.918
55,0.902
56,0.902
57,0.902
58,0.906
59,0.906
60,0.914
61,0.922
62,0.910
63,0.926
64,0.926
65,0.930
66,0.934
67,0.922
68,0.930
69,0.926
70,0.926
71,0.926
72,0.922
73,0.914
74,0.926
75,0.926
76,0.938
77,0.938
78,0.953
79,0.953
80,0.953
81,0.945
82,0.969
83,0.949
84,0.961
85,0.938
86,0.938
87,0.934
88,0.941
89,0.949
90,0.945
91,0.941
92,0.949
93,0.941
94,0.957
95,0.945
96,0.930
97,0.930
98,0.930
99,0.945
100,0.914
101,0.957
102,0.930
103,0.938
104,0.930
105,0.926
106,0.914
107,0.926
108,0.918
109,0.918
110,0.918
111,0.918
112,0.922
113,0.918
114,0.926
115,0.930
116,0.945
117,0.934
118,0.945
119,0.945
120,0.938
121,0.945
122,0.957
123,0.953
124,0.957
125,0.945
126,0.953
127,0.941
128,0.941
129,0.934
130,0.934
131,0.914
132,0.918
133,0.906
134,0.918
135,0.934
136,0.926
137,0.934
138,0.934
139,0.941
140,0.922
141,0.938
142,0.930
143,0.938
144,0.934
145,0.930
146,0.941
147,0.930
148,0.941
149,0.934
150,0.949
151,0.934
152,0.938
153,0.922
154,0.918
155,0.922
156,0.930
157,0.930
158,0.930
159,0.926
160,0.941
161,0.945
162,0.941
163,0.941
164,0.941
165,0.934
166,0.949
167,0.941
168,0.945
169,0.949
170,0.949
171,0.945
172,0.945
173,0.945
174,0.949
175,0.953
176,0.945
177,0.945
178,0.934
179,0.949
180,0.941
181,0.949
182,0.949
183,0.926
184,0.934
185,0.941
186,0.930
187,0.922
188,0.914
189,0.926
190,0.922
191,0.930
192,0.914
193,0.930
194,0.934
195,0.926
196,0.926
197,0.922
198,0.914
199,0.918
200,0.918
201,0.898
202,0.922
203,0.918
204,0.918
205,0.930
206,0.941
207,0.945
208,0.945
209,0.938
210,0.945
211,0.949
212,0.945
213,0.941
214,0.945
215,0.941
216,0.945
217,0.949
218,0.957
219,0.941
220,0.969
221,0.934
222,0.938
223,0.934
224,0.938
225,0.934
226,0.934
227,0.934
228,0.938
229,0.934
230,0.941
231,0.934
232,0.941
233,0.941
234,0.941
235,0.938
236,0.941
237,0.941
238,0.934
239,0.945
240,0.930
241,0.961
242,0.938
243,0.930
244,0.918
245,0.930
246,0.918
247,0.922
248,0.930
249,0.930
250,0.926
251,0.930
252,0.926
253,0.926
254,0.934
255,0.930
256,0.930
257,0.926
258,0.926
259,0.930
260,0.906
261,0.945
262,0.945
263,0.941
264,0.949
265,0.945
266,0.941
267,0.934
268,0.934
269,0.930
270,0.945
271,0.934
272,0.938
273,0.934
274,0.934
275,0.938
276,0.926
277,0.934
278,0.926
279,0.938
280,0.922
281,0.938
282,0.934
283,0.934
284,0.949
285,0.930
286,0.941
287,0.934
288,0.949
289,0.930
290,0.941
291,0.934
292,0.938
293,0.938
294,0.949
295,0.934
296,0.941
297,0.938
298,0.938
299,0.953
300,0.934
301,0.949
302,0.930
303,0.938
304,0.934
305,0.930
306,0.926
307,0.934
308,0.938
309,0.934
310,0.938
311,0.930
312,0.934
313,0.934
314,0.926
315,0.934
316,0.930
317,0.930
318,0.934
319,0.930
320,0.934
321,0.922
322,0.930
323,0.930
324,0.926
325,0.930
326,0.926
327,0.930
328,0.930
329,0.926
330,0.930
331,0.930
332,0.934
333,0.934
334,0.934
335,0.938
336,0.934
337,0.934
338,0.938
339,0.934
340,0.922
341,0.930
342,0.941
343,0.934
344,0.938
345,0.930
346,0.938
347,0.938
348,0.945
349,0.934
350,0.934
351,0.941
352,0.941
353,0.945
354,0.945
355,0.938
356,0.941
357,0.949
358,0.945
359,0.941
360,0.949
361,0.930
362,0.941
363,0.938
364,0.930
365,0.934
366,0.930
367,0.922
368,0.930
369,0.934
370,0.922
371,0.934
372,0.926
373,0.930
374,0.938
375,0.945
376,0.930
377,0.938
378,0.938
379,0.926
380,0.914
381,0.934
382,0.922
383,0.930
384,0.926
385,0.934
386,0.938
387,0.938
388,0.934
389,0.938
390,0.934
391,0.934
392,0.934
393,0.930
394,0.941
395,0.930
396,0.934
397,0.930
398,0.934
399,0.930
400,0.938
401,0.918
402,0.938
403,0.934
404,0.941
405,0.938
406,0.949
407,0.945
408,0.945
409,0.930
410,0.941
411,0.949
412,0.934
413,0.941
414,0.934
415,0.941
416,0.941
417,0.941
418,0.945
419,0.934
420,0.941
421,0.953
422,0.934
423,0.938
424,0.934
425,0.938
426,0.934
427,0.938
428,0.926
429,0.941
430,0.934
431,0.941
432,0.930
433,0.930
434,0.930
435,0.926
436,0.926
437,0.926
438,0.930
439,0.930
440,0.926
441,0.945
442,0.941
443,0.930
444,0.941
445,0.941
446,0.934
447,0.941
448,0.938
449,0.930
450,0.938
451,0.934
452,0.926
453,0.926
454,0.938
455,0.930
456,0.930
457,0.930
458,0.934
459,0.930
460,0.938
461,0.938
462,0.945
463,0.945
464,0.941
465,0.934
466,0.938
467,0.941
468,0.941
469,0.941
470,0.941
471,0.926
472,0.938
473,0.941
474,0.934
475,0.934
476,0.930
477,0.930
478,0.938
479,0.945
480,0.938
481,0.941
482,0.941
483,0.934
484,0.938
485,0.938
486,0.934
487,0.934
488,0.930
489,0.934
490,0.930
491,0.934
492,0.926
493,0.941
494,0.938
495,0.945
496,0.938
497,0.938
498,0.938
499,0.941
500,0.938
501,0.934
502,0.926
503,0.938
504,0.938
505,0.941
506,0.930
507,0.941
508,0.938
509,0.922
510,0.930
511,0.926
512,0.934
513,0.930
514,0.930
515,0.930
516,0.930
517,0.930
518,0.938
519,0.930
520,0.910
521,0.926
522,0.930
523,0.922
524,0.926
525,0.926
526,0.926
527,0.938
528,0.934
529,0.930
530,0.926
531,0.930
532,0.930
533,0.949
534,0.938
535,0.938
536,0.930
537,0.945
538,0.941
539,0.938
540,0.918
541,0.926
542,0.941
543,0.938
544,0.934
545,0.934
546,0.945
547,0.930
548,0.941
549,0.941
550,0.941
551,0.938
552,0.945
553,0.938
554,0.941
555,0.934
556,0.941
557,0.941
558,0.941
559,0.938
560,0.922
561,0.941
562,0.926
563,0.938
564,0.926
565,0.926
566,0.926
567,0.926
568,0.922
569,0.930
570,0.934
571,0.926
572,0.926
573,0.938
574,0.926
575,0.926
576,0.930
577,0.918
578,0.926
579,0.938
580,0.902
581,0.906
582,0.930
583,0.930
584,0.938
585,0.941
586,0.934
587,0.938
588,0.941
589,0.941
590,0.949
591,0.945
592,0.938
593,0.945
594,0.949
595,0.938
596,0.949
597,0.934
598,0.934
599,0.930
600,0.922
601,0.930
602,0.938
603,0.934
604,0.938
605,0.945
606,0.938
607,0.930
608,0.941
609,0.930
610,0.938
611,0.938
612,0.934
613,0.934
614,0.938
615,0.953
616,0.930
617,0.934
618,0.934
619,0.926
620,0.906
621,0.930
622,0.938
623,0.930
624,0.930
625,0.938
626,0.941
627,0.945
628,0.934
629,0.938
630,0.938
631,0.930
632,0.941
633,0.938
634,0.930
635,0.934
636,0.938
637,0.938
638,0.934
639,0.938
640,0.938
641,0.930
642,0.941
643,0.934
644,0.934
645,0.941
646,0.934
647,0.938
648,0.938
649,0.941
650,0.941
651,0.930
652,0.930
653,0.930
654,0.938
655,0.938
656,0.926
657,0.926
658,0.930
659,0.941
660,0.938
661,0.957
662,0.934
663,0.934
664,0.941
665,0.941
666,0.941
667,0.945
668,0.934
669,0.941
670,0.941
671,0.938
672,0.938
673,0.934
674,0.941
675,0.938
676,0.941
677,0.945
678,0.938
