Sample,X
0,-0.016
1,-0.012
2,-0.023
3,-0.012
4,0.016
5,0.062
6,0.105
7,0.105
8,0.102
9,0.125
10,0.117
11,0.109
12,0.121
13,0.094
14,0.066
15,0.039
16,0.000
17,-0.008
18,-0.035
19,-0.035
20,-0.039
21,-0.078
22,-0.090
23,-0.090
24,-0.086
25,-0.094
26,-0.090
27,-0.098
28,-0.090
29,-0.090
30,-0.074
31,-0.066
32,-0.035
33,-0.016
34,-0.012
35,0.000
36,0.004
37,0.004
38,0.004
39,0.027
40,0.027
41,0.043
42,-0.016
43,0.004
44,0.004
45,0.012
46,0.012
47,0.031
48,0.047
49,0.043
50,0.043
51,0.035
52,0.051
53,0.055
54,0.066
55,0.062
56,0.066
57,0.059
58,0.082
59,0.090
60,0.102
61,0.105
62,0.105
63,0.090
64,0.105
65,0.109
66,0.090
67,0.113
68,0.098
69,0.074
70,0.062
71,0.066
72,0.039
73,0.055
74,0.031
75,0.023
76,0.039
77,0.023
78,0.020
79,0.020
80,0.035
81,-0.020
82,-0.008
83,-0.016
84,-0.016
85,-0.023
86,-0.016
87,-0.031
88,-0.023
89,-0.047
90,-0.039
91,-0.035
92,-0.043
93,-0.027
94,-0.035
95,-0.043
96,-0.043
97,-0.031
98,-0.035
99,-0.027
100,-0.023
101,-0.016
102,-0.031
103,-0.004
104,-0.004
105,0.012
106,0.004
107,0.016
108,0.023
109,0.039
110,0.039
111,0.039
112,0.035
113,0.047
114,0.059
115,0.059
116,0.082
117,0.082
118,0.074
119,0.074
120,0.078
121,0.082
122,0.070
123,0.090
124,0.082
125,0.074
126,0.082
127,0.070
128,0.074
129,0.090
130,0.082
131,0.062
132,0.074
133,0.066
134,0.062
135,0.059
136,0.039
137,0.035
138,0.043
139,0.023
140,0.004
141,0.020
142,0.008
143,0.020
144,-0.004
145,0.004
146,-0.020
147,0.000
148,-0.020
149,-0.020
150,-0.027
151,-0.020
152,-0.035
153,-0.027
154,-0.031
155,-0.027
156,-0.031
157,-0.027
158,-0.027
159,-0.023
160,-0.004
161,-0.020
162,-0.016
163,-0.008
164,-0.020
165,-0.016
166,0.004
167,0.012
168,0.008
169,0.020
170,0.012
171,0.027
172,0.027
173,0.023
174,0.023
175,0.055
176,0.035
177,0.039
178,0.051
179,0.055
180,0.055
181,0.055
182,0.066
183,0.066
184,0.078
185,0.074
186,0.078
187,0.070
188,0.086
189,0.066
190,0.086
191,0.074
192,0.070
193,0.066
194,0.074
195,0.059
196,0.055
197,0.066
198,0.051
199,0.055
200,0.094
201,0.035
202,0.031
203,0.043
204,0.016
205,0.023
206,0.020
207,0.012
208,0.004
209,0.008
210,0.004
211,-0.004
212,0.004
213,-0.016
214,-0.008
215,-0.027
216,-0.008
217,-0.027
218,-0.020
219,-0.039
220,-0.039
221,-0.035
222,-0.012
223,-0.031
224,-0.020
225,-0.020
226,-0.020
227,-0.020
228,-0.012
229,-0.008
230,-0.012
231,0.020
232,0.004
233,0.004
234,0.008
235,0.027
236,0.035
237,0.031
238,0.035
239,0.055
240,0.020
241,0.035
242,0.055
243,0.062
244,0.066
245,0.062
246,0.066
247,0.062
248,0.066
249,0.066
250,0.090
251,0.066
252,0.074
253,0.070
254,0.074
255,0.062
256,0.059
257,0.066
258,0.051
259,0.066
260,0.055
261,0.043
262,0.031
263,0.047
264,0.035
265,0.043
266,0.020
267,0.008
268,0.020
269,0.008
270,0.016
271,-0.008
272,0.004
273,-0.016
274,0.000
275,-0.023
276,-0.012
277,-0.023
278,-0.020
279,-0.016
280,-0.012
281,-0.027
282,-0.027
283,-0.012
284,-0.035
285,-0.020
286,-0.027
287,-0.016
288,-0.012
289,-0.012
290,-0.008
291,0.008
292,-0.020
293,0.008
294,0.008
295,0.012
296,0.008
297,0.020
298,0.016
299,0.027
300,-0.016
301,0.020
302,0.047
303,0.039
304,0.047
305,0.047
306,0.059
307,0.062
308,0.070
309,0.055
310,0.066
311,0.055
312,0.074
313,0.055
314,0.066
315,0.055
316,0.062
317,0.062
318,0.055
319,0.059
320,0.117
321,0.051
322,0.047
323,0.055
324,0.027
325,0.039
326,0.043
327,0.027
328,0.023
329,0.027
330,0.012
331,0.012
332,0.008
333,0.000
334,0.008
335,0.000
336,0.008
337,-0.016
338,-0.016
339,-0.012
340,-0.004
341,-0.039
342,-0.016
343,-0.027
344,-0.027
345,-0.023
346,-0.016
347,-0.012
348,-0.023
349,0.000
350,-0.016
351,-0.012
352,-0.012
353,-0.008
354,-0.008
355,0.016
356,0.008
357,0.004
358,0.020
359,0.016
360,0.000
361,0.023
362,0.035
363,0.023
364,0.035
365,0.027
366,0.043
367,0.039
368,0.051
369,0.047
370,0.055
371,0.051
372,0.059
373,0.051
374,0.059
375,0.066
376,0.066
377,0.066
378,0.066
379,0.055
380,0.059
381,0.016
382,0.059
383,0.035
384,0.047
385,0.059
386,0.051
387,0.031
388,0.047
389,0.039
390,0.023
391,0.027
392,0.027
393,0.023
394,0.020
395,0.012
396,0.012
397,0.016
398,0.000
399,0.008
400,0.039
401,0.000
402,-0.008
403,-0.004
404,0.004
405,-0.016
406,-0.004
407,-0.020
408,-0.023
409,-0.023
410,-0.008
411,-0.016
412,-0.004
413,-0.012
414,-0.004
415,-0.008
416,0.004
417,0.004
418,0.008
419,0.012
420,0.000
421,0.066
422,0.012
423,0.012
424,0.027
425,0.023
