Sample,X
0,-0.008
1,-0.055
2,0.012
3,-0.035
4,-0.020
5,-0.023
6,0.008
7,-0.031
8,-0.016
9,0.000
10,-0.055
11,0.016
12,-0.027
13,-0.031
14,-0.012
15,-0.027
16,-0.004
17,-0.047
18,0.023
19,-0.035
20,0.023
21,0.008
22,-0.043
23,0.012
24,-0.047
25,0.012
26,-0.035
27,-0.008
28,-0.023
29,-0.020
30,-0.012
31,-0.043
32,-0.004
33,-0.023
34,-0.004
35,-0.023
36,-0.012
37,-0.039
38,-0.004
39,-0.020
40,0.039
41,-0.016
42,-0.031
43,-0.020
44,-0.004
45,-0.020
46,-0.020
47,-0.035
48,-0.016
49,-0.020
50,-0.004
51,-0.016
52,-0.035
53,0.004
54,-0.035
55,0.039
56,-0.098
57,-0.246
58,-0.328
59,-0.176
60,0.090
61,-0.098
62,-0.160
63,-0.438
64,-0.477
65,-0.312
66,-0.281
67,-0.273
68,-0.273
69,-0.297
70,-0.203
71,-0.148
72,-0.199
73,-0.273
74,-0.180
75,-0.137
76,-0.078
77,-0.012
78,-0.094
79,-0.141
80,-0.312
81,-0.426
82,-0.398
83,-0.281
84,-0.082
85,0.066
86,0.066
87,-0.152
88,-0.418
89,-0.473
90,-0.477
91,-0.242
92,-0.031
93,-0.012
94,-0.199
95,-0.625
96,-0.605
97,-0.457
98,-0.004
99,0.230
100,-0.012
101,-0.254
102,-0.348
103,-0.359
104,-0.316
105,-0.379
106,-0.129
107,0.113
108,0.230
109,0.000
110,-0.473
111,-0.590
112,-0.625
113,-0.348
114,0.020
115,0.160
116,0.023
117,-0.191
118,-0.301
119,-0.301
120,-0.383
121,-0.395
122,-0.262
123,0.180
124,0.238
125,0.188
126,-0.465
127,-0.602
128,-0.359
129,-0.133
130,0.582
131,0.480
132,-0.004
133,-0.418
134,-0.590
135,-0.316
136,0.195
137,0.234
138,-0.039
139,-0.293
140,-0.547
141,-0.039
142,0.270
143,0.113
144,-0.016
145,-0.125
146,-0.234
147,0.172
148,0.113
149,0.117
150,-0.160
151,-0.215
152,0.168
153,0.254
154,0.293
155,-0.023
156,-0.293
157,-0.246
158,0.219
159,0.176
160,0.023
161,-0.297
162,-0.426
163,-0.262
164,0.156
165,0.336
166,-0.043
167,-0.168
168,-0.445
169,-0.168
170,0.031
171,0.070
172,0.125
173,-0.176
174,-0.012
175,0.184
176,0.000
177,0.090
178,-0.016
179,-0.066
180,0.195
181,0.227
182,0.047
183,-0.062
184,-0.301
185,-0.117
186,0.191
187,0.141
188,0.027
189,-0.012
190,-0.211
191,-0.246
192,-0.191
193,-0.117
194,-0.039
195,-0.043
196,-0.098
197,0.023
198,0.059
199,-0.117
200,0.008
201,-0.285
202,0.180
203,0.031
204,0.055
205,-0.035
206,-0.066
207,-0.152
208,0.293
209,0.137
210,0.191
211,-0.094
212,-0.141
213,0.055
214,0.012
215,-0.016
216,0.082
217,-0.352
218,-0.305
219,0.035
220,0.066
221,0.129
222,0.027
223,-0.348
224,-0.156
225,-0.152
226,0.082
227,0.004
228,-0.059
229,-0.133
230,-0.215
231,0.348
232,0.219
233,0.066
234,0.004
235,-0.199
236,0.160
237,0.336
238,0.008
239,-0.199
240,-0.340
241,-0.023
242,0.250
243,0.543
244,0.273
245,0.004
246,-0.258
247,-0.234
248,-0.281
249,-0.492
250,-0.695
251,-0.336
252,-0.180
253,0.230
254,0.270
255,0.023
256,-0.207
257,-0.188
258,-0.031
259,0.281
260,0.344
261,0.262
262,-0.199
263,0.125
264,0.109
265,0.230
266,-0.031
267,-0.035
268,-0.102
269,0.094
270,-0.062
271,0.016
272,-0.176
273,-0.352
274,-0.137
275,0.078
276,0.074
277,0.043
278,-0.367
279,-0.184
280,0.000
281,0.141
282,0.020
283,0.070
284,-0.270
285,-0.016
286,0.164
287,0.293
288,0.094
289,-0.129
290,-0.195
291,-0.012
292,0.098
293,0.293
294,-0.164
295,-0.289
296,-0.137
297,0.004
298,0.348
299,0.270
300,-0.223
301,-0.301
302,-0.164
303,0.043
304,0.098
305,-0.078
306,-0.199
307,-0.277
308,0.258
309,0.086
310,-0.020
311,-0.016
312,-0.270
313,-0.090
314,0.281
315,0.039
316,-0.035
317,-0.133
318,-0.238
319,0.164
320,0.398
321,0.102
322,-0.074
323,-0.219
324,-0.129
325,0.031
326,0.062
327,0.129
328,-0.352
329,-0.156
330,0.117
331,-0.055
332,0.262
333,-0.242
334,-0.352
335,0.086
336,-0.152
337,0.012
338,0.020
339,-0.191
340,-0.203
341,0.164
342,0.285
343,0.051
344,0.176
345,-0.105
346,-0.016
347,0.270
348,0.047
349,-0.070
350,0.043
351,-0.082
352,0.090
353,0.113
354,0.164
355,-0.121
356,-0.188
357,-0.160
358,-0.266
359,0.129
360,-0.133
361,-0.320
362,-0.246
363,-0.035
364,-0.133
365,0.180
366,0.023
367,-0.113
368,-0.086
369,0.051
370,0.129
371,-0.027
372,0.078
373,-0.156
374,0.020
375,0.262
376,0.152
377,0.172
378,0.051
379,-0.227
380,-0.070
381,0.121
382,0.035
383,-0.027
384,-0.180
385,-0.125
386,0.082
387,0.102
388,0.102
389,-0.324
390,-0.246
391,-0.039
392,-0.102
393,0.020
394,-0.031
395,-0.391
396,0.012
397,0.211
398,0.117
399,0.270
400,-0.133
401,-0.344
402,0.191
403,0.250
404,0.137
405,0.168
406,-0.168
407,-0.219
408,0.230
409,0.203
410,0.125
411,0.051
412,-0.285
413,-0.078
414,-0.117
415,-0.098
416,-0.043
417,-0.309
418,-0.164
419,0.148
420,0.074
421,0.016
422,-0.293
423,-0.461
424,0.137
425,0.102
426,0.234
427,0.066
428,-0.320
429,-0.270
430,0.398
431,0.305
432,0.176
433,-0.117
434,-0.094
435,-0.133
436,0.113
437,0.195
438,-0.094
439,-0.145
440,-0.070
441,-0.020
442,0.137
443,-0.098
444,-0.250
445,-0.281
446,-0.215
447,0.336
448,-0.156
449,-0.027
450,-0.078
451,-0.285
452,0.336
453,0.027
454,-0.051
455,0.051
456,-0.227
457,0.078
458,0.352
459,-0.113
460,-0.027
461,-0.055
462,-0.238
463,0.219
464,0.281
465,0.137
466,0.035
467,-0.223
468,-0.105
469,0.012
470,-0.039
471,-0.043
472,-0.246
473,-0.242
474,0.066
475,0.023
476,-0.012
477,0.066
478,-0.285
479,-0.125
480,0.211
481,-0.090
482,0.156
483,-0.203
484,-0.219
485,0.238
486,0.188
487,0.273
488,0.105
489,-0.273
490,-0.059
491,0.066
492,0.125
493,-0.121
494,-0.180
495,-0.113
496,-0.301
497,0.086
498,0.180
499,-0.047
500,-0.199
501,-0.195
502,-0.137
503,-0.070
504,0.090
505,-0.008
506,-0.125
507,-0.258
508,0.172
509,0.031
510,0.148
511,0.074
512,-0.098
513,0.039
514,0.070
515,0.008
516,-0.027
517,-0.180
518,0.230
519,0.207
520,0.195
521,0.148
522,-0.391
523,-0.363
524,0.090
525,0.102
526,0.137
527,-0.109
528,-0.383
529,-0.355
530,0.031
531,0.098
532,0.141
533,-0.098
534,-0.285
535,-0.203
536,-0.062
537,0.113
538,0.070
539,-0.066
540,-0.062
541,0.133
542,0.160
543,0.277
544,-0.094
545,-0.051
546,0.148
547,0.031
548,0.223
549,0.008
550,-0.449
551,-0.074
552,0.023
553,0.066
554,0.195
555,-0.262
556,-0.266
557,-0.246
558,-0.246
559,0.035
560,0.008
561,-0.293
562,-0.090
563,0.160
564,0.219
565,0.090
566,-0.023
567,-0.156
568,-0.113
569,0.223
570,0.090
571,0.094
572,0.051
573,-0.281
574,0.250
575,0.234
576,-0.027
577,-0.043
578,-0.242
579,-0.273
580,0.172
581,-0.023
582,-0.082
583,-0.242
584,-0.457
585,0.031
586,0.160
587,0.145
588,-0.105
589,-0.195
590,-0.145
591,0.078
592,0.176
593,-0.078
594,-0.020
595,-0.109
596,0.223
597,0.230
598,0.207
599,-0.023
600,-0.168
601,-0.035
602,0.102
603,0.230
604,-0.004
605,-0.211
606,-0.426
607,0.031
608,-0.113
609,0.238
610,-0.172
611,-0.258
612,-0.168
613,-0.008
614,-0.039
615,-0.168
616,-0.121
617,-0.094
618,-0.074
619,0.223
620,0.016
621,-0.074
622,0.004
623,0.168
624,0.027
625,0.285
626,-0.023
627,-0.168
628,-0.082
629,-0.074
630,0.188
631,0.164
632,0.027
633,-0.074
634,-0.242
635,0.055
636,-0.094
637,0.027
638,-0.105
639,-0.289
640,-0.168
641,0.055
642,-0.094
643,0.059
644,-0.152
645,-0.258
646,0.082
647,0.113
648,-0.035
649,-0.055
650,-0.137
651,-0.070
652,0.297
653,0.352
654,0.188
655,-0.062
656,-0.176
657,-0.070
658,0.043
659,0.043
660,0.320
661,0.004
662,-0.148
663,-0.281
664,0.047
665,0.047
666,0.160
667,-0.164
668,-0.281
669,-0.102
670,-0.223
671,0.051
672,-0.090
673,-0.262
674,-0.328
675,-0.004
676,0.195
677,0.133
678,0.035
679,-0.098
680,-0.184
681,0.156
682,0.020
683,0.070
684,-0.094
685,-0.043
686,0.055
687,0.238
688,0.414
689,-0.004
690,-0.219
691,-0.219
692,0.105
693,-0.004
694,0.012
695,-0.238
696,-0.207
697,0.098
698,-0.133
699,-0.133
700,0.062
701,-0.031
702,-0.305
703,-0.219
704,0.355
705,-0.098
