Sample,Y
0,0.195
1,-0.074
2,-0.066
3,-0.094
4,-0.062
5,-0.070
6,-0.094
7,-0.082
8,-0.086
9,-0.051
10,-0.055
11,-0.043
12,-0.078
13,-0.074
14,-0.086
15,-0.055
16,-0.027
17,-0.062
18,-0.102
19,-0.117
20,-0.082
21,-0.059
22,-0.027
23,-0.066
24,-0.055
25,-0.070
26,-0.066
27,-0.082
28,-0.066
29,-0.059
30,-0.062
31,-0.051
32,-0.051
33,-0.035
34,-0.055
35,-0.055
36,-0.059
37,-0.070
38,-0.055
39,-0.059
40,-0.039
41,-0.074
42,-0.051
43,-0.066
44,-0.023
45,-0.047
46,-0.055
47,-0.066
48,-0.082
49,-0.070
50,-0.062
51,-0.043
52,-0.055
53,-0.051
54,-0.078
55,-0.086
56,-0.082
57,-0.074
58,-0.082
59,-0.078
60,-0.062
61,-0.055
62,-0.043
63,-0.059
64,-0.074
65,-0.090
66,-0.059
67,-0.055
68,-0.059
69,-0.062
70,-0.082
71,-0.062
72,-0.066
73,-0.055
74,-0.070
75,-0.074
76,-0.082
77,-0.082
78,-0.066
79,-0.047
80,-0.047
81,-0.074
82,-0.062
83,-0.082
84,-0.070
85,-0.074
86,-0.047
87,-0.059
88,-0.051
89,-0.043
90,-0.062
91,-0.039
92,-0.062
93,-0.062
94,-0.066
95,-0.043
96,-0.051
97,-0.070
98,-0.066
99,-0.090
100,-0.090
101,-0.066
102,-0.043
103,-0.086
104,-0.047
105,-0.055
106,-0.047
107,-0.055
108,-0.066
109,-0.066
110,-0.062
111,-0.043
112,-0.062
113,-0.062
114,-0.074
115,-0.074
116,-0.074
117,-0.066
118,-0.082
119,-0.070
120,-0.059
121,-0.059
122,-0.039
123,-0.051
124,-0.043
125,-0.059
126,-0.055
127,-0.074
128,-0.094
129,-0.078
130,-0.070
131,-0.051
132,-0.070
133,-0.062
134,-0.098
135,-0.059
136,-0.070
137,-0.070
138,-0.090
139,-0.062
140,-0.047
141,-0.070
142,-0.059
143,-0.074
144,-0.055
145,-0.051
146,-0.070
147,-0.078
148,-0.078
149,-0.074
150,-0.078
151,-0.059
152,-0.078
153,-0.051
154,-0.062
155,-0.059
156,-0.070
157,-0.062
158,-0.066
159,-0.070
160,-0.062
161,-0.074
162,-0.066
163,-0.074
164,-0.055
165,-0.070
166,-0.047
167,-0.062
168,-0.055
169,-0.062
170,-0.059
171,-0.051
172,-0.074
173,-0.059
174,-0.074
175,-0.059
176,-0.070
177,-0.059
178,-0.082
179,-0.078
180,-0.059
181,-0.055
182,-0.062
183,-0.078
184,-0.047
185,-0.070
186,-0.043
187,-0.059
188,-0.070
189,-0.059
190,-0.074
191,-0.074
192,-0.078
193,-0.066
194,-0.074
195,-0.070
196,-0.074
197,-0.066
198,-0.082
199,-0.082
200,-0.098
201,-0.066
202,-0.059
203,-0.074
204,-0.062
205,-0.070
206,-0.062
207,-0.082
208,-0.066
209,-0.070
210,-0.074
211,-0.062
212,-0.070
213,-0.059
214,-0.059
215,-0.059
216,-0.074
217,-0.055
218,-0.062
219,-0.055
220,-0.062
221,-0.074
222,-0.055
223,-0.059
224,-0.059
225,-0.066
226,-0.062
227,-0.074
228,-0.055
229,-0.059
230,-0.055
231,-0.070
232,-0.074
233,-0.051
234,-0.055
235,-0.059
236,-0.082
237,-0.055
238,-0.055
239,-0.066
240,-0.090
241,-0.062
242,-0.066
243,-0.055
244,-0.066
245,-0.070
246,-0.059
247,-0.070
248,-0.062
249,-0.070
250,-0.066
251,-0.074
252,-0.066
253,-0.074
254,-0.078
255,-0.066
256,-0.070
257,-0.062
258,-0.074
259,-0.066
260,-0.062
261,-0.062
262,-0.062
263,-0.086
264,-0.055
265,-0.066
266,-0.059
267,-0.078
268,-0.055
269,-0.062
270,-0.062
271,-0.066
272,-0.078
273,-0.066
274,-0.062
275,-0.055
276,-0.082
277,-0.066
278,-0.055
279,-0.051
280,-0.066
281,-0.059
282,-0.066
283,-0.062
284,-0.051
285,-0.066
286,-0.062
287,-0.062
288,-0.062
289,-0.078
290,-0.047
291,-0.062
292,-0.062
293,-0.055
294,-0.066
295,-0.051
296,-0.074
297,-0.055
298,-0.070
299,-0.051
300,-0.031
301,-0.062
302,-0.066
303,-0.070
304,-0.066
305,-0.059
306,-0.059
307,-0.082
308,-0.059
309,-0.066
310,-0.055
311,-0.070
312,-0.066
313,-0.062
314,-0.070
315,-0.062
316,-0.074
317,-0.059
318,-0.066
319,-0.059
320,-0.078
321,-0.059
322,-0.070
323,-0.062
324,-0.055
325,-0.078
326,-0.066
327,-0.070
328,-0.059
329,-0.074
330,-0.055
331,-0.070
332,-0.055
333,-0.066
334,-0.070
335,-0.062
336,-0.062
337,-0.051
338,-0.066
339,-0.059
340,-0.066
341,-0.066
342,-0.062
343,-0.059
344,-0.062
345,-0.066
346,-0.059
347,-0.066
348,-0.051
349,-0.066
350,-0.066
351,-0.066
352,-0.051
353,-0.062
354,-0.059
355,-0.051
356,-0.070
357,-0.051
358,-0.062
359,-0.059
360,-0.066
361,-0.051
362,-0.066
363,-0.059
364,-0.062
365,-0.070
366,-0.055
367,-0.066
368,-0.062
369,-0.066
370,-0.055
371,-0.074
372,-0.066
373,-0.074
374,-0.055
375,-0.062
376,-0.066
377,-0.070
378,-0.074
379,-0.043
380,-0.043
381,-0.059
382,-0.090
383,-0.059
384,-0.059
385,-0.055
386,-0.066
387,-0.074
388,-0.074
389,-0.066
390,-0.051
391,-0.078
392,-0.074
393,-0.070
394,-0.062
395,-0.066
396,-0.066
397,-0.070
398,-0.074
399,-0.051
400,-0.078
401,-0.047
402,-0.074
403,-0.066
404,-0.062
405,-0.051
406,-0.059
407,-0.078
408,-0.062
409,-0.062
410,-0.051
411,-0.066
412,-0.066
413,-0.082
414,-0.055
415,-0.066
416,-0.059
417,-0.059
418,-0.074
419,-0.066
420,-0.055
421,-0.059
422,-0.086
423,-0.059
424,-0.062
425,-0.066
426,-0.062
427,-0.066
428,-0.059
429,-0.074
430,-0.055
431,-0.066
432,-0.059
433,-0.074
434,-0.062
435,-0.074
436,-0.074
437,-0.062
438,-0.066
439,-0.055
440,-0.066
441,-0.062
442,-0.070
443,-0.051
444,-0.078
445,-0.059
446,-0.078
447,-0.070
448,-0.055
449,-0.082
450,-0.066
451,-0.074
452,-0.059
453,-0.070
454,-0.055
455,-0.078
456,-0.066
457,-0.066
458,-0.062
459,-0.059
460,-0.062
461,-0.090
462,-0.062
463,-0.078
464,-0.062
465,-0.062
466,-0.070
467,-0.070
468,-0.059
469,-0.059
470,-0.066
471,-0.059
472,-0.074
473,-0.062
474,-0.062
475,-0.062
476,-0.074
477,-0.055
478,-0.059
479,-0.070
480,-0.047
481,-0.078
482,-0.059
483,-0.070
484,-0.062
485,-0.070
486,-0.055
487,-0.078
488,-0.059
489,-0.062
490,-0.047
491,-0.062
492,-0.078
493,-0.055
494,-0.066
495,-0.059
496,-0.070
497,-0.070
498,-0.066
499,-0.074
500,-0.074
501,-0.074
502,-0.059
503,-0.066
504,-0.066
505,-0.066
506,-0.059
507,-0.066
508,-0.055
509,-0.070
510,-0.078
511,-0.051
512,-0.074
513,-0.062
514,-0.070
515,-0.066
516,-0.078
517,-0.062
518,-0.070
519,-0.066
520,-0.059
521,-0.074
522,-0.066
523,-0.070
524,-0.055
525,-0.078
526,-0.055
527,-0.062
528,-0.062
529,-0.070
530,-0.062
531,-0.059
532,-0.074
533,-0.055
534,-0.059
535,-0.074
536,-0.062
537,-0.059
538,-0.066
539,-0.055
540,-0.043
541,-0.070
542,-0.055
543,-0.062
544,-0.062
545,-0.074
546,-0.055
547,-0.070
548,-0.066
549,-0.062
550,-0.059
551,-0.055
552,-0.062
553,-0.062
554,-0.074
555,-0.047
556,-0.059
557,-0.066
558,-0.062
559,-0.062
560,-0.066
561,-0.066
562,-0.062
563,-0.074
564,-0.062
565,-0.066
566,-0.055
567,-0.066
568,-0.062
569,-0.070
570,-0.062
571,-0.062
572,-0.070
573,-0.062
574,-0.078
575,-0.059
576,-0.074
577,-0.051
578,-0.062
579,-0.070
580,-0.062
581,-0.062
582,-0.051
583,-0.070
584,-0.055
585,-0.074
586,-0.051
587,-0.055
588,-0.059
589,-0.066
590,-0.051
591,-0.062
592,-0.066
593,-0.059
594,-0.070
595,-0.055
596,-0.070
597,-0.051
598,-0.070
599,-0.059
600,-0.055
601,-0.062
602,-0.066
603,-0.062
604,-0.062
605,-0.066
606,-0.047
607,-0.074
608,-0.055
609,-0.074
610,-0.062
611,-0.055
612,-0.062
613,-0.070
614,-0.066
615,-0.043
616,-0.059
617,-0.066
618,-0.070
619,-0.066
620,-0.047
621,-0.055
622,-0.066
623,-0.078
624,-0.051
625,-0.059
626,-0.066
627,-0.074
628,-0.066
629,-0.074
630,-0.047
631,-0.055
632,-0.086
633,-0.062
634,-0.070
635,-0.051
636,-0.074
637,-0.051
638,-0.082
639,-0.051
640,-0.047
641,-0.062
642,-0.055
643,-0.066
644,-0.059
645,-0.078
646,-0.043
647,-0.082
648,-0.055
649,-0.062
650,-0.066
651,-0.070
652,-0.062
653,-0.059
654,-0.066
655,-0.055
656,-0.074
657,-0.062
658,-0.070
659,-0.043
660,-0.066
661,-0.059
662,-0.062
663,-0.070
664,-0.047
665,-0.074
666,-0.059
667,-0.074
668,-0.059
669,-0.066
670,-0.055
671,-0.070
672,-0.074
673,-0.051
674,-0.066
675,-0.062
676,-0.066
677,-0.051
678,-0.070
679,-0.066
680,-0.055
681,-0.059
682,-0.062
683,-0.078
684,-0.066
685,-0.066
686,-0.059
687,-0.070
688,-0.062
689,-0.086
690,-0.055
691,-0.062
692,-0.062
693,-0.078
694,-0.074
695,-0.051
696,-0.078
697,-0.059
698,-0.086
699,-0.059
700,-0.098
701,-0.062
702,-0.074
703,-0.078
704,-0.055
705,-0.074
706,-0.059
707,-0.082
708,-0.062
709,-0.059
710,-0.062
711,-0.074
712,-0.082
713,-0.070
714,-0.055
715,-0.051
716,-0.078
717,-0.070
718,-0.070
719,-0.059
720,-0.070
721,-0.059
722,-0.066
723,-0.074
724,-0.059
725,-0.066
726,-0.059
