Sample,Y
0,0.168
1,-0.086
2,-0.062
3,-0.051
4,-0.047
5,-0.055
6,-0.082
7,-0.059
8,-0.043
9,-0.035
10,-0.059
11,-0.070
12,-0.098
13,-0.105
14,-0.062
15,-0.035
16,-0.023
17,-0.062
18,-0.090
19,-0.102
20,-0.078
21,-0.051
22,-0.062
23,-0.055
24,-0.074
25,-0.047
26,-0.043
27,-0.039
28,-0.074
29,-0.074
30,-0.066
31,-0.062
32,-0.039
33,-0.078
34,-0.074
35,-0.094
36,-0.066
37,-0.062
38,-0.047
39,-0.066
40,-0.074
41,-0.078
42,-0.066
43,-0.059
44,-0.062
45,-0.051
46,-0.070
47,-0.055
48,-0.062
49,-0.062
50,-0.055
51,-0.055
52,-0.051
53,-0.070
54,-0.070
55,-0.082
56,-0.059
57,-0.070
58,-0.078
59,-0.062
60,-0.062
61,-0.059
62,-0.078
63,-0.066
64,-0.078
65,-0.066
66,-0.059
67,-0.066
68,-0.055
69,-0.074
70,-0.055
71,-0.070
72,-0.051
73,-0.070
74,-0.066
75,-0.074
76,-0.062
77,-0.062
78,-0.055
79,-0.059
80,-0.051
81,-0.043
82,-0.074
83,-0.059
84,-0.078
85,-0.074
86,-0.082
87,-0.059
88,-0.066
89,-0.059
90,-0.062
91,-0.074
92,-0.070
93,-0.066
94,-0.043
95,-0.039
96,-0.055
97,-0.059
98,-0.074
99,-0.059
100,-0.059
101,-0.055
102,-0.086
103,-0.066
104,-0.062
105,-0.062
106,-0.066
107,-0.062
108,-0.062
109,-0.070
110,-0.062
111,-0.074
112,-0.066
113,-0.078
114,-0.062
115,-0.066
116,-0.055
117,-0.055
118,-0.074
119,-0.070
120,-0.070
121,-0.066
122,-0.066
123,-0.051
124,-0.074
125,-0.047
126,-0.059
127,-0.078
128,-0.066
129,-0.062
130,-0.066
131,-0.070
132,-0.062
133,-0.082
134,-0.066
135,-0.066
136,-0.066
137,-0.066
138,-0.062
139,-0.062
140,-0.055
141,-0.094
142,-0.059
143,-0.074
144,-0.055
145,-0.059
146,-0.055
147,-0.078
148,-0.062
149,-0.070
150,-0.059
151,-0.074
152,-0.059
153,-0.066
154,-0.066
155,-0.062
156,-0.078
157,-0.070
158,-0.062
159,-0.074
160,-0.051
161,-0.062
162,-0.066
163,-0.074
164,-0.074
165,-0.074
166,-0.066
167,-0.066
168,-0.059
169,-0.070
170,-0.070
171,-0.062
172,-0.066
173,-0.055
174,-0.078
175,-0.055
176,-0.074
177,-0.066
178,-0.066
179,-0.070
180,-0.043
181,-0.070
182,-0.059
183,-0.078
184,-0.066
185,-0.074
186,-0.066
187,-0.070
188,-0.066
189,-0.070
190,-0.066
191,-0.055
192,-0.074
193,-0.062
194,-0.066
195,-0.070
196,-0.051
197,-0.066
198,-0.059
199,-0.074
200,-0.066
201,-0.074
202,-0.059
203,-0.074
204,-0.055
205,-0.070
206,-0.078
207,-0.059
208,-0.078
209,-0.059
210,-0.074
211,-0.066
212,-0.070
213,-0.066
214,-0.066
215,-0.070
216,-0.066
217,-0.066
218,-0.062
219,-0.074
220,-0.055
221,-0.062
222,-0.059
223,-0.066
224,-0.066
225,-0.059
226,-0.062
227,-0.047
228,-0.086
229,-0.059
230,-0.078
231,-0.051
232,-0.055
233,-0.062
234,-0.074
235,-0.074
236,-0.055
237,-0.078
238,-0.055
239,-0.070
240,-0.066
241,-0.082
242,-0.066
243,-0.066
244,-0.059
245,-0.059
246,-0.074
247,-0.062
248,-0.066
249,-0.051
250,-0.066
251,-0.070
252,-0.074
253,-0.070
254,-0.059
255,-0.070
256,-0.070
257,-0.062
258,-0.066
259,-0.066
260,-0.051
261,-0.066
262,-0.059
263,-0.062
264,-0.074
265,-0.051
266,-0.051
267,-0.051
268,-0.062
269,-0.062
270,-0.062
271,-0.047
272,-0.059
273,-0.082
274,-0.055
275,-0.055
276,-0.051
277,-0.066
278,-0.066
279,-0.055
280,-0.055
281,-0.059
282,-0.066
283,-0.062
284,-0.062
285,-0.062
286,-0.066
287,-0.055
288,-0.062
289,-0.066
290,-0.070
291,-0.062
292,-0.055
293,-0.066
294,-0.062
295,-0.074
296,-0.051
297,-0.066
298,-0.055
299,-0.074
300,-0.062
301,-0.059
302,-0.055
303,-0.059
304,-0.078
305,-0.055
306,-0.059
307,-0.047
308,-0.078
309,-0.066
310,-0.066
311,-0.047
312,-0.062
313,-0.070
314,-0.066
315,-0.059
316,-0.043
317,-0.062
318,-0.062
319,-0.074
320,-0.047
321,-0.051
322,-0.070
323,-0.062
324,-0.059
325,-0.059
326,-0.066
327,-0.059
328,-0.074
329,-0.059
330,-0.055
331,-0.051
332,-0.070
333,-0.066
334,-0.051
335,-0.074
336,-0.059
337,-0.066
338,-0.066
339,-0.059
340,-0.059
341,-0.062
342,-0.066
343,-0.059
344,-0.074
345,-0.047
346,-0.074
347,-0.059
348,-0.062
349,-0.066
350,-0.074
351,-0.062
352,-0.062
353,-0.059
354,-0.062
355,-0.070
356,-0.066
357,-0.062
358,-0.059
359,-0.070
360,-0.059
361,-0.059
362,-0.070
363,-0.059
364,-0.070
365,-0.055
366,-0.074
367,-0.062
368,-0.074
369,-0.055
370,-0.062
371,-0.066
372,-0.059
373,-0.070
374,-0.062
375,-0.074
376,-0.062
377,-0.074
378,-0.059
379,-0.070
380,-0.066
381,-0.062
382,-0.082
383,-0.062
384,-0.074
385,-0.055
386,-0.082
387,-0.062
388,-0.070
389,-0.070
390,-0.059
391,-0.066
392,-0.062
393,-0.070
394,-0.059
395,-0.059
396,-0.066
397,-0.070
398,-0.062
399,-0.074
400,-0.055
401,-0.070
402,-0.070
403,-0.074
404,-0.070
405,-0.062
406,-0.070
407,-0.059
408,-0.066
409,-0.066
410,-0.066
411,-0.066
412,-0.066
413,-0.074
414,-0.062
415,-0.082
416,-0.059
417,-0.059
418,-0.070
419,-0.074
420,-0.070
421,-0.070
422,-0.066
423,-0.078
424,-0.070
425,-0.059
426,-0.070
427,-0.066
428,-0.074
429,-0.070
430,-0.062
431,-0.066
432,-0.066
433,-0.070
434,-0.055
435,-0.074
436,-0.066
437,-0.070
438,-0.066
439,-0.078
440,-0.070
441,-0.074
442,-0.059
443,-0.059
444,-0.070
445,-0.078
446,-0.066
447,-0.062
448,-0.066
449,-0.062
450,-0.070
451,-0.070
452,-0.059
453,-0.074
454,-0.062
455,-0.070
456,-0.055
457,-0.078
458,-0.051
459,-0.062
460,-0.066
461,-0.066
462,-0.070
463,-0.055
464,-0.070
465,-0.066
466,-0.078
467,-0.055
468,-0.066
469,-0.059
470,-0.070
471,-0.082
472,-0.059
473,-0.059
474,-0.059
475,-0.086
476,-0.062
477,-0.066
478,-0.070
479,-0.070
480,-0.074
481,-0.066
482,-0.055
483,-0.059
484,-0.078
485,-0.066
486,-0.062
487,-0.066
488,-0.062
489,-0.070
490,-0.074
491,-0.074
492,-0.055
493,-0.070
494,-0.070
495,-0.070
496,-0.062
497,-0.062
498,-0.070
499,-0.066
500,-0.055
501,-0.059
502,-0.066
503,-0.059
504,-0.062
505,-0.070
506,-0.074
507,-0.055
508,-0.059
509,-0.078
510,-0.062
511,-0.078
512,-0.051
513,-0.059
514,-0.055
515,-0.082
516,-0.062
517,-0.062
518,-0.055
519,-0.066
520,-0.090
521,-0.059
522,-0.066
523,-0.059
524,-0.066
525,-0.066
526,-0.070
527,-0.055
528,-0.066
529,-0.066
530,-0.062
531,-0.070
532,-0.051
533,-0.059
534,-0.062
535,-0.074
536,-0.062
537,-0.059
538,-0.062
539,-0.055
540,-0.090
541,-0.059
542,-0.059
543,-0.059
544,-0.074
545,-0.066
546,-0.062
547,-0.051
548,-0.055
549,-0.078
550,-0.062
551,-0.066
552,-0.055
553,-0.066
554,-0.062
555,-0.078
556,-0.055
557,-0.051
558,-0.055
559,-0.074
560,-0.047
561,-0.059
562,-0.070
563,-0.055
564,-0.066
565,-0.059
566,-0.070
567,-0.070
568,-0.062
569,-0.059
570,-0.070
571,-0.070
572,-0.055
573,-0.062
574,-0.055
575,-0.074
576,-0.055
577,-0.066
578,-0.055
579,-0.055
580,-0.062
581,-0.059
582,-0.062
583,-0.066
584,-0.070
585,-0.055
586,-0.066
587,-0.062
588,-0.059
589,-0.066
590,-0.051
591,-0.066
592,-0.070
593,-0.078
594,-0.043
595,-0.066
596,-0.066
597,-0.059
598,-0.062
599,-0.059
600,-0.066
601,-0.066
602,-0.074
603,-0.055
604,-0.059
605,-0.074
606,-0.059
607,-0.066
608,-0.059
609,-0.070
610,-0.051
611,-0.082
612,-0.059
613,-0.070
614,-0.055
615,-0.059
616,-0.070
617,-0.078
618,-0.066
619,-0.055
620,-0.070
621,-0.055
622,-0.074
623,-0.055
624,-0.066
625,-0.059
626,-0.070
627,-0.062
628,-0.059
629,-0.066
630,-0.066
631,-0.078
632,-0.055
633,-0.066
634,-0.055
635,-0.070
636,-0.074
637,-0.062
638,-0.070
639,-0.066
640,-0.055
641,-0.051
642,-0.082
643,-0.055
644,-0.066
645,-0.066
646,-0.055
647,-0.070
648,-0.059
649,-0.070
650,-0.062
651,-0.070
652,-0.055
653,-0.074
654,-0.066
655,-0.062
656,-0.066
657,-0.055
658,-0.074
659,-0.070
660,-0.055
661,-0.059
662,-0.066
663,-0.070
664,-0.066
665,-0.059
666,-0.066
667,-0.070
668,-0.059
669,-0.070
670,-0.062
671,-0.066
672,-0.066
673,-0.074
674,-0.055
675,-0.074
676,-0.082
677,-0.055
678,-0.070
679,-0.062
680,-0.066
681,-0.051
682,-0.070
683,-0.059
684,-0.066
685,-0.066
686,-0.059
687,-0.070
688,-0.062
689,-0.074
690,-0.062
691,-0.082
692,-0.055
693,-0.074
694,-0.070
695,-0.059
696,-0.062
697,-0.066
698,-0.066
699,-0.059
700,-0.078
701,-0.059
702,-0.062
703,-0.074
704,-0.062
705,-0.062
706,-0.070
707,-0.070
708,-0.062
709,-0.074
710,-0.051
711,-0.074
712,-0.066
713,-0.062
714,-0.051
715,-0.070
716,-0.074
717,-0.070
718,-0.078
719,-0.047
720,-0.074
721,-0.062
722,-0.070
723,-0.062
724,-0.059
725,-0.070
726,-0.074
727,-0.078
728,-0.059
729,-0.062
730,-0.070
731,-0.059
732,-0.070
733,-0.059
734,-0.078
735,-0.062
736,-0.062
737,-0.059
738,-0.082
739,-0.062
740,-0.039
741,-0.059
742,-0.066
743,-0.078
744,-0.059
745,-0.059
746,-0.059
747,-0.082
748,-0.066
749,-0.066
750,-0.055
751,-0.074
752,-0.078
753,-0.070
754,-0.062
755,-0.062
756,-0.078
757,-0.059
758,-0.074
759,-0.066
760,-0.074
761,-0.051
762,-0.062
763,-0.070
764,-0.066
765,-0.070
766,-0.062
767,-0.059
768,-0.055
769,-0.074
770,-0.066
771,-0.055
772,-0.059
773,-0.059
774,-0.078
775,-0.066
776,-0.066
777,-0.047
778,-0.070
779,-0.078
780,-0.051
781,-0.047
782,-0.062
783,-0.070
784,-0.066
785,-0.070
786,-0.051
787,-0.070
788,-0.062
789,-0.059
790,-0.059
791,-0.070
792,-0.070
793,-0.051
794,-0.055
795,-0.055
796,-0.074
797,-0.070
798,-0.074
799,-0.055
800,-0.070
801,-0.066
802,-0.059
803,-0.070
804,-0.059
805,-0.055
806,-0.066
807,-0.078
808,-0.055
809,-0.066
810,-0.066
811,-0.059
812,-0.062
813,-0.062
814,-0.066
815,-0.051
816,-0.074
817,-0.047
818,-0.074
819,-0.066
820,-0.066
821,-0.066
822,-0.062
823,-0.066
824,-0.059
825,-0.086
826,-0.055
827,-0.062
828,-0.066
829,-0.059
830,-0.059
831,-0.059
832,-0.062
833,-0.047
834,-0.078
835,-0.059
836,-0.066
837,-0.047
838,-0.062
839,-0.066
840,-0.062
