Sample,X,Y,Z
0,-0.004,-0.008,0.770
1,-0.008,-0.289,0.895
2,-0.012,-0.281,0.898
3,-0.020,-0.285,0.906
4,0.004,-0.289,0.898
5,-0.023,-0.293,0.891
6,-0.008,-0.281,0.906
7,-0.016,-0.289,0.898
8,-0.016,-0.277,0.898
9,-0.016,-0.266,0.902
10,-0.008,-0.301,0.895
11,-0.016,-0.293,0.883
12,-0.043,-0.270,0.918
13,0.016,-0.277,0.898
14,-0.035,-0.289,0.895
15,-0.012,-0.289,0.887
16,-0.008,-0.289,0.898
17,-0.020,-0.273,0.910
18,-0.031,-0.270,0.898
19,-0.023,-0.301,0.895
20,0.039,-0.289,0.875
21,-0.016,-0.277,0.910
22,0.020,-0.289,0.887
23,-0.039,-0.281,0.906
24,-0.004,-0.285,0.898
25,0.004,-0.281,0.887
26,-0.043,-0.301,0.902
27,0.000,-0.293,0.895
28,-0.012,-0.277,0.895
29,-0.016,-0.281,0.898
30,-0.020,-0.289,0.898
31,-0.004,-0.297,0.891
32,-0.027,-0.289,0.902
33,-0.012,-0.281,0.898
34,-0.008,-0.285,0.902
35,-0.004,-0.281,0.891
36,-0.020,-0.301,0.898
37,-0.012,-0.281,0.902
38,-0.020,-0.277,0.895
39,-0.016,-0.293,0.891
40,-0.039,-0.285,0.855
41,-0.023,-0.281,0.910
42,0.000,-0.281,0.898
43,-0.027,-0.289,0.902
44,0.008,-0.277,0.891
45,-0.027,-0.289,0.906
46,-0.012,-0.281,0.895
47,-0.035,-0.281,0.902
48,-0.004,-0.277,0.895
49,-0.008,-0.285,0.895
50,-0.031,-0.297,0.902
51,0.000,-0.293,0.891
52,-0.023,-0.289,0.906
53,-0.004,-0.277,0.898
54,0.004,-0.273,0.891
55,-0.039,-0.301,0.902
56,-0.004,-0.285,0.883
57,-0.027,-0.293,0.906
58,0.012,-0.273,0.902
59,-0.016,-0.281,0.898
60,-0.039,-0.289,0.914
61,-0.020,-0.289,0.902
62,-0.020,-0.281,0.902
63,0.004,-0.285,0.895
64,-0.027,-0.289,0.906
65,0.004,-0.285,0.879
66,-0.027,-0.281,0.906
67,-0.012,-0.289,0.898
68,-0.008,-0.281,0.891
69,-0.027,-0.289,0.906
70,0.016,-0.273,0.891
71,-0.039,-0.297,0.902
72,0.004,-0.285,0.895
73,-0.027,-0.297,0.891
74,0.004,-0.273,0.898
75,-0.012,-0.285,0.906
