Sample,Y
0,0.180
1,-0.094
2,-0.082
3,-0.082
4,-0.055
5,-0.047
6,-0.027
7,-0.051
8,-0.066
9,-0.074
10,-0.090
11,-0.059
12,-0.066
13,-0.055
14,-0.074
15,-0.062
16,-0.078
17,-0.055
18,-0.066
19,-0.066
20,-0.055
21,-0.055
22,-0.059
23,-0.074
24,-0.059
25,-0.062
26,-0.043
27,-0.031
28,-0.027
29,-0.043
30,-0.090
31,-0.090
32,-0.082
33,-0.047
34,-0.051
35,-0.055
36,-0.078
37,-0.051
38,-0.062
39,-0.074
40,-0.070
41,-0.086
42,-0.051
43,-0.070
44,-0.051
45,-0.078
46,-0.059
47,-0.074
48,-0.055
49,-0.059
50,-0.055
51,-0.059
52,-0.059
53,-0.047
54,-0.074
55,-0.039
56,-0.051
57,-0.059
58,-0.070
59,-0.082
60,-0.086
61,-0.090
62,-0.059
63,-0.062
64,-0.055
65,-0.055
66,-0.055
67,-0.059
68,-0.066
69,-0.074
70,-0.062
71,-0.039
72,-0.062
73,-0.059
74,-0.062
75,-0.047
76,-0.066
77,-0.059
78,-0.059
79,-0.070
80,-0.070
81,-0.082
82,-0.066
83,-0.055
84,-0.043
85,-0.059
86,-0.051
87,-0.070
88,-0.074
89,-0.082
90,-0.078
91,-0.086
92,-0.070
93,-0.051
94,-0.066
95,-0.051
96,-0.070
97,-0.043
98,-0.062
99,-0.051
100,-0.062
101,-0.070
102,-0.059
103,-0.078
104,-0.059
105,-0.070
106,-0.059
107,-0.074
108,-0.055
109,-0.062
110,-0.070
111,-0.074
112,-0.062
113,-0.051
114,-0.051
115,-0.059
116,-0.078
117,-0.066
118,-0.074
119,-0.059
120,-0.078
121,-0.062
122,-0.070
123,-0.078
124,-0.059
125,-0.066
126,-0.059
127,-0.059
128,-0.047
129,-0.070
130,-0.062
131,-0.082
132,-0.070
133,-0.070
134,-0.078
135,-0.059
136,-0.066
137,-0.059
138,-0.086
139,-0.062
140,-0.062
141,-0.047
142,-0.055
143,-0.074
144,-0.066
145,-0.066
146,-0.051
147,-0.066
148,-0.066
149,-0.082
150,-0.047
151,-0.066
152,-0.074
153,-0.078
154,-0.078
155,-0.059
156,-0.055
157,-0.051
158,-0.070
159,-0.062
160,-0.066
161,-0.070
162,-0.062
163,-0.062
164,-0.066
165,-0.066
166,-0.062
167,-0.074
168,-0.059
169,-0.051
170,-0.062
171,-0.074
172,-0.066
173,-0.062
174,-0.074
175,-0.074
176,-0.078
177,-0.062
178,-0.062
179,-0.055
180,-0.098
181,-0.070
182,-0.086
183,-0.059
184,-0.062
185,-0.070
186,-0.078
187,-0.074
188,-0.062
189,-0.070
190,-0.055
191,-0.082
192,-0.070
193,-0.062
194,-0.059
195,-0.066
196,-0.074
197,-0.059
198,-0.066
199,-0.039
200,-0.078
201,-0.070
202,-0.090
203,-0.066
204,-0.066
205,-0.062
206,-0.066
207,-0.078
208,-0.059
209,-0.070
210,-0.047
211,-0.082
212,-0.074
213,-0.078
214,-0.055
215,-0.055
216,-0.070
217,-0.066
218,-0.066
219,-0.039
220,-0.086
221,-0.047
222,-0.074
223,-0.059
224,-0.074
225,-0.055
226,-0.082
227,-0.055
228,-0.066
229,-0.066
230,-0.070
231,-0.070
232,-0.059
233,-0.078
234,-0.062
235,-0.078
236,-0.062
237,-0.074
238,-0.062
239,-0.070
240,-0.062
241,-0.055
242,-0.070
243,-0.059
244,-0.082
245,-0.066
246,-0.062
247,-0.051
248,-0.074
249,-0.070
250,-0.051
251,-0.066
252,-0.047
253,-0.070
254,-0.070
255,-0.078
256,-0.051
257,-0.066
258,-0.066
259,-0.059
260,-0.082
261,-0.055
262,-0.062
263,-0.059
264,-0.070
265,-0.055
266,-0.062
267,-0.062
268,-0.059
269,-0.062
270,-0.070
271,-0.059
272,-0.047
273,-0.078
274,-0.062
275,-0.066
276,-0.051
277,-0.070
278,-0.062
279,-0.055
280,-0.059
281,-0.059
282,-0.074
283,-0.078
284,-0.051
285,-0.043
286,-0.078
287,-0.070
288,-0.047
289,-0.066
290,-0.062
291,-0.070
292,-0.059
293,-0.059
294,-0.043
295,-0.074
296,-0.062
297,-0.062
298,-0.055
299,-0.062
300,-0.066
301,-0.070
302,-0.070
303,-0.039
304,-0.078
305,-0.059
306,-0.062
307,-0.047
308,-0.070
309,-0.059
310,-0.074
311,-0.066
312,-0.039
313,-0.070
314,-0.066
315,-0.070
316,-0.051
317,-0.070
318,-0.059
319,-0.062
320,-0.086
321,-0.066
322,-0.066
323,-0.070
324,-0.070
325,-0.055
326,-0.078
