Sample,X,Y,Z
0,0.016,-0.027,0.746
1,-0.070,-0.328,0.883
2,-0.078,-0.352,0.840
3,-0.062,-0.355,0.832
4,-0.055,-0.344,0.855
5,-0.035,-0.328,0.875
6,-0.043,-0.328,0.902
7,0.012,-0.301,0.914
8,0.020,-0.281,0.902
9,-0.004,-0.301,0.895
10,-0.039,-0.336,0.895
11,-0.023,-0.312,0.891
12,0.023,-0.316,0.867
13,-0.031,-0.328,0.855
14,-0.027,-0.332,0.836
15,-0.043,-0.316,0.859
16,-0.062,-0.320,0.875
17,-0.016,-0.340,0.855
18,-0.020,-0.320,0.875
19,-0.051,-0.328,0.895
20,-0.004,-0.293,0.879
21,-0.004,-0.309,0.891
22,-0.020,-0.316,0.883
23,-0.051,-0.324,0.863
24,-0.047,-0.332,0.848
25,-0.039,-0.348,0.855
26,0.023,-0.328,0.844
27,0.023,-0.332,0.867
28,-0.016,-0.324,0.898
29,-0.023,-0.328,0.879
30,0.012,-0.320,0.867
31,-0.020,-0.305,0.895
32,0.008,-0.309,0.879
33,-0.051,-0.309,0.879
34,-0.066,-0.305,0.891
35,-0.047,-0.340,0.859
36,0.004,-0.324,0.855
37,-0.070,-0.309,0.902
38,-0.008,-0.324,0.879
39,-0.012,-0.316,0.891
40,0.031,-0.340,0.859
41,-0.004,-0.320,0.863
42,0.020,-0.316,0.883
43,-0.027,-0.312,0.883
44,-0.020,-0.328,0.875
45,-0.012,-0.312,0.855
46,-0.039,-0.332,0.863
47,-0.043,-0.344,0.859
48,-0.004,-0.320,0.852
49,-0.051,-0.348,0.883
50,-0.012,-0.328,0.871
51,-0.004,-0.301,0.875
52,-0.047,-0.332,0.895
53,0.016,-0.301,0.875
54,-0.012,-0.312,0.871
55,-0.012,-0.301,0.895
56,-0.023,-0.340,0.875
57,-0.020,-0.344,0.871
58,-0.023,-0.312,0.879
59,-0.027,-0.336,0.879
60,-0.125,-0.309,0.891
61,-0.062,-0.312,0.883
62,-0.027,-0.316,0.883
63,-0.012,-0.301,0.879
64,-0.016,-0.320,0.879
65,-0.016,-0.328,0.887
66,-0.016,-0.305,0.875
67,-0.008,-0.324,0.871
68,-0.027,-0.340,0.867
69,-0.023,-0.320,0.855
70,-0.039,-0.320,0.855
71,-0.039,-0.328,0.871
72,-0.008,-0.348,0.863
73,0.000,-0.289,0.883
74,-0.027,-0.305,0.895
75,0.000,-0.340,0.863
76,-0.023,-0.324,0.871
77,-0.027,-0.316,0.871
78,0.023,-0.324,0.855
79,-0.047,-0.332,0.863
80,-0.051,-0.344,0.852
81,-0.027,-0.309,0.875
82,-0.016,-0.340,0.867
83,-0.008,-0.324,0.891
84,-0.023,-0.305,0.898
85,0.008,-0.301,0.895
86,0.000,-0.293,0.891
87,-0.027,-0.336,0.879
88,0.000,-0.320,0.859
89,-0.047,-0.324,0.891
90,-0.027,-0.316,0.879
91,-0.004,-0.312,0.863
92,-0.051,-0.328,0.887
93,0.004,-0.320,0.867
94,-0.004,-0.320,0.875
95,-0.012,-0.320,0.898
96,-0.027,-0.320,0.883
97,0.000,-0.309,0.867
98,-0.035,-0.324,0.879
99,-0.031,-0.336,0.859
100,0.059,-0.309,0.859
101,-0.035,-0.324,0.863
102,-0.012,-0.320,0.859
103,0.004,-0.332,0.855
104,-0.020,-0.324,0.875
105,-0.008,-0.336,0.879
106,0.004,-0.312,0.871
107,-0.027,-0.320,0.887
108,-0.027,-0.355,0.875
109,0.012,-0.305,0.871
