Sample,Z
532,0.930
533,0.930
534,0.930
535,0.934
536,0.934
537,0.934
538,0.930
539,0.934
540,0.938
541,0.934
542,0.941
543,0.930
544,0.938
545,0.941
546,0.949
547,0.945
548,0.945
549,0.941
550,0.949
551,0.941
552,0.941
553,0.945
554,0.945
555,0.934
556,0.941
557,0.941
558,0.938
559,0.945
560,0.953
561,0.926
562,0.938
563,0.941
564,0.934
565,0.941
566,0.930
567,0.941
568,0.930
569,0.945
570,0.930
571,0.930
572,0.930
573,0.938
574,0.930
575,0.930
576,0.926
577,0.926
578,0.938
579,0.918
580,0.934
581,0.902
582,0.926
583,0.934
584,0.930
585,0.934
586,0.918
587,0.930
588,0.922
589,0.934
590,0.934
591,0.926
592,0.934
593,0.934
594,0.934
595,0.934
596,0.945
597,0.945
598,0.938
599,0.945
600,0.941
601,0.934
602,0.938
603,0.945
604,0.945
605,0.953
606,0.941
607,0.941
608,0.941
609,0.941
610,0.945
611,0.938
612,0.934
613,0.938
614,0.934
615,0.938
616,0.930
617,0.945
618,0.930
619,0.941
620,0.941
621,0.957
622,0.934
623,0.938
624,0.938
625,0.934
626,0.938
627,0.934
628,0.934
629,0.930
630,0.926
631,0.938
632,0.941
633,0.930
634,0.934
635,0.930
636,0.934
637,0.938
638,0.945
639,0.934
640,0.945
641,0.930
642,0.941
643,0.938
644,0.938
645,0.930
646,0.938
647,0.934
648,0.930
649,0.938
650,0.934
651,0.941
652,0.934
653,0.938
654,0.930
655,0.941
656,0.938
657,0.938
658,0.938
659,0.941
660,0.945
661,0.926
662,0.941
663,0.930
664,0.934
665,0.934
666,0.934
667,0.930
668,0.934
669,0.930
670,0.930
671,0.938
672,0.934
673,0.938
674,0.945
675,0.930
676,0.949
677,0.949
678,0.938
679,0.934
680,0.934
681,0.949
682,0.941
683,0.938
684,0.938
685,0.934
686,0.945
687,0.934
688,0.941
689,0.941
690,0.945
691,0.945
692,0.945
693,0.930
694,0.938
695,0.941
696,0.938
697,0.938
698,0.941
699,0.930
700,0.930
701,0.953
702,0.930
703,0.938
704,0.938
705,0.934
706,0.926
707,0.934
708,0.934
709,0.930
710,0.941
711,0.926
712,0.938
713,0.934
714,0.938
715,0.934
716,0.938
717,0.926
718,0.934
719,0.934
720,0.918
721,0.930
722,0.934
723,0.926
724,0.930
725,0.941
726,0.938
727,0.945
728,0.938
729,0.941
730,0.934
731,0.938
732,0.938
733,0.938
734,0.938
735,0.938
736,0.934
737,0.945
738,0.938
739,0.941
740,0.934
741,0.938
742,0.941
743,0.938
744,0.941
745,0.938
746,0.941
747,0.941
748,0.941
749,0.938
750,0.941
751,0.938
752,0.941
753,0.938
754,0.926
755,0.930
756,0.934
757,0.941
758,0.930
759,0.930
760,0.918
761,0.938
762,0.934
763,0.930
764,0.926
765,0.938
766,0.930
767,0.934
768,0.934
769,0.938
770,0.930
771,0.938
772,0.938
773,0.934
774,0.941
775,0.926
776,0.926
777,0.934
778,0.945
779,0.934
780,0.949
781,0.934
782,0.941
783,0.949
784,0.934
785,0.938
786,0.934
787,0.938
788,0.930
789,0.930
790,0.930
791,0.934
792,0.934
793,0.938
794,0.938
795,0.945
796,0.930
797,0.930
798,0.941
799,0.945
800,0.945
801,0.945
802,0.938
803,0.941
804,0.941
805,0.938
806,0.930
807,0.941
808,0.930
809,0.941
810,0.938
811,0.938
812,0.926
813,0.930
814,0.945
815,0.941
816,0.938
817,0.938
818,0.941
819,0.934
820,0.934
821,0.957
822,0.930
823,0.930
824,0.938
825,0.930
826,0.938
827,0.941
828,0.934
829,0.934
830,0.934
831,0.934
832,0.938
833,0.941
834,0.934
835,0.930
836,0.930
837,0.938
838,0.941
839,0.934
840,0.938
841,0.945
842,0.930
843,0.934
844,0.941
845,0.934
846,0.930
847,0.941
848,0.938
849,0.930
850,0.930
851,0.934
852,0.922
853,0.941
854,0.938
855,0.938
856,0.934
857,0.930
858,0.941
859,0.934
860,0.922
861,0.934
862,0.938
863,0.930
864,0.934
865,0.945
866,0.938
867,0.934
868,0.941
869,0.941
870,0.945
871,0.934
872,0.938
873,0.945
874,0.941
875,0.941
876,0.934
877,0.941
878,0.934
879,0.945
880,0.945
881,0.926
882,0.930
883,0.938
884,0.938
885,0.934
886,0.926
887,0.934
888,0.941
889,0.934
890,0.941
891,0.938
892,0.938
893,0.938
894,0.941
895,0.941
896,0.938
897,0.930
898,0.934
899,0.934
900,0.969
901,0.941
902,0.934
903,0.926
904,0.930
905,0.941
906,0.941
907,0.930
908,0.934
909,0.934
910,0.938
911,0.938
912,0.934
913,0.926
914,0.934
915,0.934
916,0.938
917,0.938
918,0.934
919,0.938
920,0.910
921,0.941
922,0.941
923,0.934
924,0.941
925,0.938
926,0.949
927,0.930
928,0.934
929,0.941
930,0.941
931,0.941
932,0.945
933,0.934
934,0.934
935,0.934
936,0.934
937,0.941
938,0.934
939,0.930
940,0.938
941,0.938
942,0.941
943,0.934
944,0.934
945,0.934
946,0.934
947,0.941
948,0.941
949,0.934
950,0.941
951,0.934
952,0.934
953,0.938
954,0.926
955,0.930
956,0.934
957,0.926
958,0.934
959,0.941
960,0.910
961,0.938
962,0.938
963,0.934
964,0.938
965,0.938
966,0.930
967,0.938
968,0.930
969,0.934
970,0.934
971,0.934
972,0.938
973,0.938
974,0.926
975,0.934
976,0.938
977,0.938
978,0.938
979,0.934
980,0.941
981,0.941
982,0.938
983,0.945
984,0.938
985,0.934
986,0.938
987,0.934
988,0.938
989,0.934
990,0.934
991,0.926
992,0.934
993,0.934
994,0.934
995,0.941
996,0.930
997,0.941
998,0.945
999,0.926
Rate 1409, overflows 0
