Sample,Y
0,0.184
1,-0.094
2,-0.105
3,-0.082
4,-0.078
5,-0.086
6,-0.078
7,-0.094
8,-0.062
9,-0.031
10,0.020
11,0.020
12,0.000
13,-0.047
14,-0.090
15,-0.117
16,-0.137
17,-0.125
18,-0.102
19,-0.066
20,-0.109
21,-0.066
22,-0.059
23,-0.066
24,-0.086
25,-0.090
26,-0.066
27,-0.070
28,-0.066
29,-0.055
30,-0.047
31,-0.051
32,-0.035
33,-0.035
34,-0.047
35,-0.074
36,-0.109
37,-0.086
38,-0.094
39,-0.059
40,-0.047
41,-0.039
42,-0.031
43,-0.020
44,0.004
45,-0.027
46,-0.020
47,-0.051
48,-0.074
49,-0.098
50,-0.074
51,-0.070
52,-0.051
53,-0.051
54,-0.043
55,-0.039
56,-0.066
57,-0.055
58,-0.066
59,-0.055
60,-0.051
61,-0.043
62,-0.043
63,-0.059
64,-0.066
65,-0.094
66,-0.094
67,-0.109
68,-0.086
69,-0.098
70,-0.102
71,-0.129
72,-0.090
73,-0.070
74,-0.039
75,-0.016
76,0.004
77,0.027
78,-0.004
79,-0.027
80,-0.078
81,-0.102
82,-0.133
83,-0.117
84,-0.078
85,-0.074
86,-0.086
87,-0.102
88,-0.066
89,-0.070
90,-0.047
91,-0.066
92,-0.047
93,-0.062
94,-0.039
95,-0.031
96,-0.035
97,-0.023
98,-0.043
99,-0.027
100,-0.051
101,-0.086
102,-0.082
103,-0.070
104,-0.078
105,-0.070
106,-0.066
107,-0.062
108,-0.047
109,-0.035
110,-0.016
111,-0.008
112,-0.016
113,-0.031
114,-0.090
115,-0.109
116,-0.113
117,-0.086
118,-0.066
119,-0.059
120,-0.043
121,-0.055
122,-0.070
123,-0.086
124,-0.070
125,-0.074
126,-0.035
127,-0.043
128,-0.047
129,-0.066
130,-0.062
131,-0.062
132,-0.074
133,-0.094
134,-0.109
135,-0.086
136,-0.102
137,-0.098
138,-0.094
139,-0.070
140,-0.031
141,-0.012
142,0.031
143,0.008
144,0.000
145,-0.055
146,-0.066
147,-0.109
148,-0.094
149,-0.109
150,-0.082
151,-0.074
152,-0.094
153,-0.078
154,-0.086
155,-0.074
156,-0.070
157,-0.055
158,-0.062
159,-0.059
160,-0.047
161,-0.023
162,-0.020
163,-0.051
164,-0.043
165,-0.078
166,-0.078
167,-0.109
168,-0.109
169,-0.094
170,-0.070
171,-0.062
172,-0.070
173,-0.059
174,-0.070
175,-0.035
176,-0.020
177,-0.012
178,-0.035
179,-0.051
180,-0.066
181,-0.094
182,-0.086
183,-0.090
184,-0.074
185,-0.086
186,-0.062
187,-0.062
188,-0.055
189,-0.086
190,-0.078
191,-0.051
192,-0.059
193,-0.031
194,-0.047
195,-0.051
196,-0.098
197,-0.074
198,-0.090
199,-0.078
200,-0.078
201,-0.059
202,-0.035
203,-0.031
204,-0.043
205,-0.062
206,-0.051
207,-0.066
208,-0.082
209,-0.090
210,-0.105
211,-0.086
212,-0.078
213,-0.047
214,-0.086
215,-0.082
216,-0.082
217,-0.078
218,-0.078
219,-0.082
220,-0.074
221,-0.055
222,-0.031
223,-0.039
224,-0.039
225,-0.059
226,-0.051
227,-0.070
228,-0.074
229,-0.078
230,-0.086
231,-0.086
232,-0.090
233,-0.070
234,-0.062
235,-0.039
236,-0.039
237,-0.035
238,-0.051
239,-0.039
240,-0.082
241,-0.074
242,-0.074
243,-0.070
244,-0.059
245,-0.070
246,-0.055
247,-0.070
248,-0.062
249,-0.066
250,-0.074
251,-0.059
252,-0.070
253,-0.051
254,-0.062
255,-0.062
256,-0.070
257,-0.059
258,-0.062
259,-0.070
260,-0.074
261,-0.062
262,-0.055
263,-0.074
264,-0.070
265,-0.086
266,-0.070
267,-0.066
268,-0.074
269,-0.055
270,-0.062
271,-0.043
272,-0.059
273,-0.051
274,-0.074
275,-0.059
276,-0.062
277,-0.074
278,-0.062
279,-0.051
280,-0.074
281,-0.086
282,-0.062
283,-0.070
284,-0.055
285,-0.066
286,-0.074
287,-0.066
288,-0.043
289,-0.059
290,-0.070
291,-0.055
292,-0.051
293,-0.039
294,-0.059
295,-0.062
296,-0.078
297,-0.055
298,-0.055
299,-0.070
300,-0.062
301,-0.066
302,-0.059
303,-0.055
304,-0.062
305,-0.074
306,-0.074
307,-0.062
308,-0.055
309,-0.062
310,-0.066
311,-0.066
312,-0.074
313,-0.059
314,-0.062
315,-0.066
316,-0.062
317,-0.062
318,-0.047
319,-0.047
320,-0.047
321,-0.066
322,-0.051
323,-0.055
324,-0.051
325,-0.074
326,-0.062
327,-0.059
328,-0.062
329,-0.047
330,-0.059
331,-0.062
332,-0.066
333,-0.059
334,-0.078
335,-0.066
336,-0.059
337,-0.055
338,-0.066
339,-0.062
340,-0.086
341,-0.070
342,-0.043
343,-0.078
344,-0.074
345,-0.066
346,-0.051
347,-0.062
348,-0.062
349,-0.066
350,-0.066
351,-0.043
352,-0.062
353,-0.062
354,-0.062
355,-0.055
356,-0.074
357,-0.066
358,-0.055
359,-0.074
360,-0.047
361,-0.051
362,-0.055
363,-0.074
364,-0.051
365,-0.055
366,-0.051
367,-0.047
368,-0.066
369,-0.055
370,-0.055
371,-0.051
372,-0.074
373,-0.055
374,-0.066
375,-0.055
376,-0.043
377,-0.059
378,-0.070
379,-0.055
380,-0.051
381,-0.082
382,-0.047
383,-0.059
384,-0.066
385,-0.062
386,-0.066
387,-0.074
388,-0.070
389,-0.059
390,-0.070
391,-0.066
392,-0.066
393,-0.078
394,-0.070
395,-0.066
396,-0.066
397,-0.070
398,-0.047
399,-0.062
400,-0.051
401,-0.078
402,-0.074
403,-0.059
404,-0.066
405,-0.070
406,-0.078
407,-0.055
408,-0.066
409,-0.059
410,-0.070
411,-0.051
412,-0.074
413,-0.047
414,-0.059
415,-0.066
416,-0.059
417,-0.062
418,-0.055
419,-0.055
420,-0.066
421,-0.066
422,-0.055
423,-0.062
424,-0.074
425,-0.066
426,-0.055
427,-0.066
428,-0.066
429,-0.043
430,-0.062
431,-0.055
432,-0.070
433,-0.055
434,-0.066
435,-0.066
436,-0.062
437,-0.078
438,-0.062
439,-0.066
440,-0.051
441,-0.070
442,-0.062
443,-0.070
444,-0.062
445,-0.062
446,-0.066
447,-0.059
448,-0.066
449,-0.066
450,-0.074
451,-0.059
452,-0.066
453,-0.078
454,-0.062
455,-0.055
456,-0.062
457,-0.074
458,-0.059
459,-0.074
460,-0.062
461,-0.055
462,-0.062
463,-0.066
464,-0.070
465,-0.059
466,-0.078
467,-0.062
468,-0.070
469,-0.055
470,-0.062
471,-0.062
472,-0.062
473,-0.066
474,-0.062
475,-0.066
476,-0.059
477,-0.078
478,-0.062
479,-0.074
480,-0.078
481,-0.074
482,-0.074
483,-0.062
484,-0.074
485,-0.066
486,-0.074
487,-0.055
488,-0.078
489,-0.059
490,-0.066
491,-0.047
492,-0.066
493,-0.070
494,-0.059
495,-0.062
496,-0.059
497,-0.074
498,-0.059
499,-0.070
500,-0.047
501,-0.070
502,-0.055
503,-0.062
504,-0.055
505,-0.059
506,-0.062
507,-0.055
508,-0.070
509,-0.062
510,-0.074
511,-0.066
512,-0.070
513,-0.062
514,-0.070
515,-0.070
516,-0.059
517,-0.066
518,-0.066
519,-0.070
520,-0.078
521,-0.074
522,-0.062
523,-0.051
524,-0.074
525,-0.066
526,-0.074
527,-0.055
528,-0.070
529,-0.059
530,-0.074
531,-0.062
532,-0.070
533,-0.066
534,-0.066
535,-0.062
536,-0.070
537,-0.066
538,-0.059
539,-0.066
540,-0.059
541,-0.070
542,-0.059
543,-0.066
544,-0.078
545,-0.043
546,-0.066
547,-0.051
548,-0.059
549,-0.059
550,-0.059
551,-0.059
552,-0.059
553,-0.062
554,-0.051
555,-0.070
556,-0.059
557,-0.070
558,-0.047
559,-0.059
560,-0.074
561,-0.070
562,-0.062
563,-0.051
564,-0.062
565,-0.055
566,-0.062
567,-0.059
568,-0.066
569,-0.066
570,-0.059
571,-0.062
572,-0.062
573,-0.062
574,-0.051
575,-0.078
576,-0.062
577,-0.070
578,-0.059
579,-0.055
580,-0.078
581,-0.074
582,-0.062
583,-0.055
584,-0.059
585,-0.055
586,-0.074
587,-0.059
588,-0.059
589,-0.059
590,-0.074
591,-0.066
592,-0.047
593,-0.070
594,-0.055
595,-0.074
596,-0.055
597,-0.062
598,-0.055
599,-0.074
600,-0.055
601,-0.062
602,-0.051
603,-0.066
604,-0.066
605,-0.059
606,-0.066
607,-0.055
608,-0.070
609,-0.059
610,-0.059
611,-0.062
612,-0.062
613,-0.055
614,-0.051
615,-0.066
616,-0.055
617,-0.062
618,-0.059
619,-0.062
620,-0.066
621,-0.070
622,-0.059
623,-0.055
624,-0.066
625,-0.059
626,-0.062
627,-0.055
628,-0.074
629,-0.062
630,-0.062
631,-0.055
632,-0.051
633,-0.066
634,-0.062
635,-0.055
636,-0.055
637,-0.062
638,-0.062
639,-0.078
640,-0.070
641,-0.062
642,-0.070
643,-0.066
644,-0.062
645,-0.043
646,-0.078
647,-0.078
648,-0.062
649,-0.059
650,-0.062
651,-0.074
652,-0.066
653,-0.062
654,-0.055
655,-0.074
656,-0.059
657,-0.078
658,-0.051
659,-0.062
660,-0.062
661,-0.059
662,-0.070
663,-0.059
664,-0.070
665,-0.059
666,-0.059
667,-0.051
668,-0.070
669,-0.062
670,-0.066
671,-0.062
672,-0.055
673,-0.059
674,-0.066
675,-0.066
676,-0.047
677,-0.059
678,-0.059
679,-0.070
680,-0.055
681,-0.066
682,-0.062
683,-0.062
684,-0.082
685,-0.047
686,-0.066
687,-0.059
688,-0.062
689,-0.059
690,-0.066
691,-0.066
692,-0.055
693,-0.074
694,-0.059
695,-0.070
696,-0.055
697,-0.070
698,-0.059
699,-0.070
700,-0.055
701,-0.070
702,-0.074
703,-0.070
704,-0.066
705,-0.055
706,-0.078
707,-0.066
708,-0.074
709,-0.066
710,-0.059
711,-0.066
712,-0.066
713,-0.074
714,-0.062
715,-0.070
716,-0.059
717,-0.086
718,-0.051
719,-0.062
720,-0.082
721,-0.074
722,-0.078
723,-0.059
724,-0.055
725,-0.059
726,-0.078
727,-0.051
728,-0.070
729,-0.055
730,-0.070
731,-0.066
732,-0.055
733,-0.062
734,-0.062
735,-0.070
736,-0.055
737,-0.070
738,-0.055
739,-0.074
740,-0.059
741,-0.062
742,-0.055
743,-0.066
744,-0.078
745,-0.055
746,-0.059
747,-0.051
748,-0.070
749,-0.066
750,-0.062
751,-0.066
752,-0.055
753,-0.086
754,-0.059
755,-0.062
756,-0.070
757,-0.066
758,-0.074
759,-0.051
760,-0.066
761,-0.066
762,-0.074
763,-0.062
764,-0.059
765,-0.062
766,-0.078
767,-0.062
768,-0.055
769,-0.070
770,-0.074
771,-0.074
772,-0.066
773,-0.074
774,-0.059
775,-0.086
776,-0.066
777,-0.078
778,-0.062
779,-0.059
780,-0.078
781,-0.062
782,-0.074
783,-0.055
784,-0.074
785,-0.051
786,-0.078
787,-0.062
788,-0.070
789,-0.055
790,-0.078
791,-0.062
792,-0.066
793,-0.070
794,-0.055
795,-0.070
796,-0.051
797,-0.074
798,-0.059
799,-0.051
800,-0.086
801,-0.062
802,-0.078
803,-0.047
804,-0.062
805,-0.059
806,-0.066
