Sample,Y
0,0.199
1,-0.090
2,-0.059
3,-0.055
4,-0.031
5,-0.066
6,-0.078
7,-0.078
8,-0.055
9,-0.027
10,-0.059
11,-0.086
12,-0.094
13,-0.074
14,-0.055
15,-0.031
16,-0.039
17,-0.066
18,-0.066
19,-0.082
20,-0.047
21,-0.051
22,-0.047
23,-0.051
24,-0.066
25,-0.055
26,-0.047
27,-0.043
28,-0.074
29,-0.062
30,-0.074
31,-0.043
32,-0.055
33,-0.043
34,-0.070
35,-0.082
36,-0.082
37,-0.066
38,-0.055
39,-0.074
40,-0.078
41,-0.090
42,-0.062
43,-0.055
44,-0.035
45,-0.055
46,-0.074
47,-0.074
48,-0.066
49,-0.062
50,-0.062
51,-0.051
52,-0.047
53,-0.043
54,-0.062
55,-0.051
56,-0.082
57,-0.086
58,-0.078
59,-0.074
60,-0.027
61,-0.059
62,-0.051
63,-0.078
64,-0.043
65,-0.055
66,-0.051
67,-0.059
68,-0.082
69,-0.070
70,-0.059
71,-0.051
72,-0.059
73,-0.051
74,-0.059
75,-0.062
76,-0.062
77,-0.059
78,-0.059
79,-0.062
80,-0.047
81,-0.070
82,-0.055
83,-0.070
84,-0.066
85,-0.078
86,-0.066
87,-0.066
88,-0.066
89,-0.055
90,-0.070
91,-0.066
92,-0.062
93,-0.062
94,-0.062
95,-0.039
96,-0.051
97,-0.055
98,-0.066
99,-0.062
100,-0.070
101,-0.078
102,-0.059
103,-0.066
104,-0.059
105,-0.070
106,-0.062
107,-0.062
108,-0.055
109,-0.051
110,-0.078
111,-0.066
112,-0.074
113,-0.066
114,-0.066
115,-0.055
116,-0.066
117,-0.055
118,-0.059
119,-0.066
120,-0.086
121,-0.082
122,-0.066
123,-0.051
124,-0.051
125,-0.062
126,-0.059
127,-0.062
128,-0.066
129,-0.062
130,-0.086
131,-0.062
132,-0.086
133,-0.074
134,-0.066
135,-0.055
136,-0.082
137,-0.051
138,-0.070
139,-0.062
140,-0.059
141,-0.062
142,-0.059
143,-0.066
144,-0.059
145,-0.059
146,-0.059
147,-0.070
148,-0.070
149,-0.066
150,-0.059
151,-0.051
152,-0.078
153,-0.051
154,-0.070
155,-0.070
156,-0.078
157,-0.062
158,-0.055
