Sample,Y
0,0.191
1,-0.062
2,-0.070
3,-0.086
4,-0.070
5,-0.051
6,-0.035
7,-0.062
8,-0.086
9,-0.074
10,-0.070
11,-0.059
12,-0.066
13,-0.055
14,-0.086
15,-0.062
16,-0.070
17,-0.074
18,-0.082
19,-0.078
20,-0.070
21,-0.059
22,-0.035
23,-0.055
24,-0.051
25,-0.078
26,-0.066
27,-0.066
28,-0.031
29,-0.039
30,-0.062
31,-0.066
32,-0.086
33,-0.055
34,-0.055
35,-0.047
36,-0.066
37,-0.055
38,-0.066
39,-0.059
40,-0.051
41,-0.070
42,-0.059
43,-0.051
44,-0.047
45,-0.059
46,-0.051
47,-0.055
48,-0.082
49,-0.070
50,-0.078
51,-0.051
52,-0.051
53,-0.059
54,-0.086
55,-0.066
56,-0.066
57,-0.055
58,-0.059
59,-0.066
60,-0.078
61,-0.074
62,-0.055
63,-0.059
64,-0.055
65,-0.062
66,-0.055
67,-0.055
68,-0.055
69,-0.062
70,-0.082
71,-0.074
72,-0.078
73,-0.035
74,-0.062
75,-0.059
76,-0.066
77,-0.074
78,-0.051
79,-0.059
80,-0.059
81,-0.066
82,-0.059
83,-0.074
84,-0.055
85,-0.062
86,-0.062
87,-0.059
88,-0.062
89,-0.066
90,-0.082
91,-0.059
92,-0.066
93,-0.047
94,-0.055
95,-0.062
96,-0.074
97,-0.062
98,-0.062
99,-0.066
100,-0.055
101,-0.074
102,-0.066
103,-0.074
104,-0.074
105,-0.082
106,-0.074
107,-0.074
108,-0.059
109,-0.047
110,-0.070
111,-0.059
112,-0.070
113,-0.059
114,-0.070
115,-0.055
116,-0.059
117,-0.078
118,-0.055
119,-0.055
120,-0.039
121,-0.062
122,-0.059
123,-0.082
124,-0.066
125,-0.059
126,-0.062
127,-0.062
128,-0.070
129,-0.051
130,-0.070
131,-0.039
132,-0.074
133,-0.074
134,-0.082
135,-0.062
136,-0.055
137,-0.059
138,-0.066
139,-0.074
140,-0.062
141,-0.059
142,-0.059
143,-0.070
144,-0.062
145,-0.074
146,-0.070
147,-0.059
148,-0.066
149,-0.055
150,-0.062
151,-0.070
152,-0.070
153,-0.055
154,-0.070
155,-0.074
156,-0.066
157,-0.062
158,-0.055
159,-0.074
160,-0.082
161,-0.078
162,-0.051
163,-0.070
164,-0.078
165,-0.062
166,-0.066
167,-0.051
168,-0.066
169,-0.055
170,-0.070
171,-0.055
172,-0.066
173,-0.051
174,-0.055
175,-0.059
176,-0.062
177,-0.062
178,-0.070
179,-0.062
180,-0.047
181,-0.066
182,-0.070
183,-0.062
184,-0.055
185,-0.055
186,-0.062
187,-0.066
188,-0.066
189,-0.051
190,-0.070
191,-0.066
192,-0.082
193,-0.059
194,-0.051
195,-0.062
196,-0.074
197,-0.070
198,-0.055
199,-0.070
200,-0.039
201,-0.070
202,-0.059
203,-0.074
204,-0.062
205,-0.070
206,-0.059
207,-0.055
208,-0.074
209,-0.051
210,-0.066
211,-0.051
212,-0.055
213,-0.070
214,-0.059
215,-0.055
216,-0.055
217,-0.070
218,-0.059
219,-0.074
220,-0.055
221,-0.059
222,-0.055
223,-0.078
224,-0.055
225,-0.070
226,-0.066
227,-0.055
228,-0.062
229,-0.059
230,-0.066
231,-0.059
232,-0.070
233,-0.051
234,-0.074
235,-0.062
236,-0.062
237,-0.066
238,-0.059
239,-0.059
240,-0.031
241,-0.066
242,-0.051
243,-0.070
244,-0.062
245,-0.066
246,-0.059
247,-0.066
248,-0.062
249,-0.051
250,-0.078
251,-0.051
252,-0.062
253,-0.059
254,-0.074
255,-0.059
256,-0.070
257,-0.059
258,-0.055
259,-0.070
260,-0.074
261,-0.055
262,-0.059
263,-0.070
264,-0.055
265,-0.062
266,-0.055
267,-0.062
268,-0.074
269,-0.059
270,-0.055
271,-0.059
272,-0.074
273,-0.055
274,-0.074
275,-0.055
276,-0.059
277,-0.070
278,-0.070
279,-0.062
280,-0.027
281,-0.066
282,-0.047
283,-0.074
284,-0.059
285,-0.070
286,-0.055
287,-0.074
288,-0.047
289,-0.066
290,-0.066
291,-0.055
292,-0.066
293,-0.066
294,-0.062
295,-0.062
296,-0.066
297,-0.051
298,-0.059
299,-0.082
300,-0.074
301,-0.066
302,-0.051
303,-0.070
304,-0.062
305,-0.070
306,-0.059
307,-0.059
308,-0.059
309,-0.070
310,-0.055
311,-0.059
312,-0.074
313,-0.051
314,-0.074
315,-0.059
316,-0.062
317,-0.055
318,-0.059
319,-0.070
320,-0.047
321,-0.070
322,-0.059
323,-0.066
324,-0.059
325,-0.074
326,-0.062
