Sample,X,Y,Z
0,-0.035,-0.070,0.867
1,-0.004,-0.293,0.871
2,-0.004,-0.332,0.875
3,-0.035,-0.336,0.879
4,-0.016,-0.328,0.875
5,-0.020,-0.324,0.883
6,-0.004,-0.301,0.887
7,-0.016,-0.328,0.871
8,-0.023,-0.332,0.871
9,-0.031,-0.320,0.883
10,-0.016,-0.320,0.867
11,-0.016,-0.309,0.871
12,-0.016,-0.320,0.879
13,-0.012,-0.340,0.863
14,-0.020,-0.309,0.875
15,-0.039,-0.309,0.895
16,-0.016,-0.340,0.871
17,-0.004,-0.312,0.871
18,-0.031,-0.324,0.887
19,-0.020,-0.328,0.875
20,-0.012,-0.332,0.898
21,-0.020,-0.324,0.867
22,0.023,-0.309,0.867
23,-0.008,-0.328,0.879
24,-0.023,-0.309,0.895
25,-0.020,-0.305,0.863
26,-0.027,-0.324,0.859
27,-0.027,-0.352,0.875
28,-0.027,-0.312,0.891
29,0.008,-0.305,0.879
30,-0.031,-0.328,0.883
31,-0.004,-0.316,0.875
32,-0.020,-0.328,0.867
33,-0.027,-0.305,0.879
34,-0.020,-0.328,0.871
35,-0.020,-0.328,0.867
36,-0.027,-0.316,0.883
37,-0.004,-0.305,0.875
38,0.004,-0.316,0.867
39,-0.062,-0.336,0.887
40,-0.098,-0.328,0.895
41,0.059,-0.281,0.871
42,-0.059,-0.258,0.906
43,-0.172,-0.348,0.871
44,-0.297,-0.410,0.855
45,-0.262,-0.352,0.863
46,0.031,-0.270,0.836
47,-0.109,-0.273,0.910
48,-0.145,-0.277,0.910
49,-0.344,-0.320,0.895
50,-0.402,-0.324,0.836
51,-0.414,-0.414,0.777
52,-0.359,-0.402,0.805
53,-0.324,-0.297,0.898
54,-0.234,-0.238,0.965
55,-0.168,-0.254,0.949
56,-0.152,-0.301,0.887
57,-0.254,-0.367,0.832
58,-0.281,-0.355,0.832
59,-0.305,-0.348,0.863
60,-0.160,-0.340,0.863
61,-0.012,-0.293,0.891
62,0.023,-0.277,0.898
63,-0.094,-0.281,0.906
64,-0.160,-0.312,0.871
65,-0.188,-0.312,0.859
66,-0.203,-0.320,0.832
67,-0.301,-0.320,0.859
68,-0.375,-0.371,0.875
69,-0.332,-0.367,0.887
70,-0.070,-0.324,0.891
71,0.051,-0.223,0.926
72,0.074,-0.215,0.910
73,-0.184,-0.273,0.891
74,-0.406,-0.375,0.797
75,-0.543,-0.496,0.719
76,-0.410,-0.477,0.727
77,-0.281,-0.352,0.844
78,-0.055,-0.180,0.965
79,-0.008,-0.129,1.016
80,-0.285,-0.223,0.941
81,-0.570,-0.457,0.777
82,-0.762,-0.582,0.750
83,-0.465,-0.449,0.793
84,0.020,-0.156,0.949
85,0.227,-0.039,1.047
86,0.051,-0.223,1.004
87,-0.137,-0.414,0.855
88,-0.363,-0.445,0.773
89,-0.340,-0.402,0.723
90,-0.281,-0.352,0.754
91,-0.320,-0.359,0.867
92,-0.133,-0.266,0.977
93,0.094,-0.199,1.000
94,0.188,-0.199,0.949
95,-0.199,-0.297,0.926
96,-0.207,-0.340,0.785
97,-0.613,-0.359,0.824
98,-0.523,-0.488,0.770
99,-0.234,-0.406,0.789
100,-0.102,-0.270,0.914
101,0.027,-0.227,0.949
102,-0.008,-0.266,0.934
103,-0.070,-0.281,0.875
104,-0.309,-0.336,0.848
105,-0.453,-0.383,0.777
106,-0.434,-0.430,0.766
107,-0.164,-0.402,0.832
108,0.055,-0.285,0.977
109,0.180,-0.152,1.039
110,0.254,-0.156,0.953
111,-0.340,-0.316,0.863
112,-0.695,-0.547,0.734
113,-0.539,-0.574,0.660
114,-0.047,-0.336,0.766
115,0.316,-0.090,1.023
116,0.535,0.004,1.082
117,0.082,-0.195,1.008
118,-0.504,-0.531,0.887
119,-0.547,-0.574,0.750
120,-0.250,-0.523,0.727
121,0.090,-0.160,0.895
122,0.395,-0.035,0.961
123,0.121,-0.203,0.969
124,-0.383,-0.496,0.930
125,-0.465,-0.586,0.840
126,-0.023,-0.406,0.793
127,0.141,-0.094,0.930
128,0.273,-0.105,0.859
129,0.035,-0.316,0.859
