Sample,X,Y,Z
0,0.023,0.012,0.781
1,0.027,-0.281,0.867
2,-0.004,-0.289,0.855
3,0.004,-0.293,0.855
4,0.004,-0.281,0.871
5,-0.016,-0.262,0.891
6,-0.027,-0.285,0.895
7,-0.051,-0.305,0.891
8,-0.051,-0.297,0.898
9,-0.055,-0.285,0.914
10,-0.039,-0.289,0.930
11,-0.020,-0.273,0.926
12,-0.031,-0.266,0.914
13,-0.023,-0.273,0.895
14,-0.020,-0.285,0.887
15,-0.016,-0.293,0.887
16,-0.008,-0.285,0.895
17,0.012,-0.270,0.895
18,0.000,-0.258,0.918
19,-0.031,-0.281,0.914
20,0.051,-0.305,0.898
21,-0.008,-0.297,0.910
22,-0.012,-0.285,0.906
23,0.008,-0.281,0.902
24,-0.008,-0.277,0.902
25,0.020,-0.281,0.891
26,0.000,-0.285,0.883
27,0.004,-0.293,0.863
28,-0.020,-0.316,0.859
29,-0.016,-0.309,0.879
30,0.004,-0.277,0.891
31,0.012,-0.270,0.898
32,-0.031,-0.297,0.910
33,-0.066,-0.301,0.902
34,-0.051,-0.301,0.898
35,-0.016,-0.273,0.914
36,-0.004,-0.266,0.918
37,-0.004,-0.266,0.918
38,-0.027,-0.270,0.926
39,-0.059,-0.297,0.906
40,-0.051,-0.316,0.875
41,-0.020,-0.270,0.871
42,0.004,-0.250,0.930
43,0.000,-0.262,0.922
44,-0.020,-0.293,0.906
45,-0.008,-0.297,0.887
46,0.023,-0.285,0.891
47,0.020,-0.262,0.914
48,-0.008,-0.262,0.922
49,-0.043,-0.281,0.898
50,-0.023,-0.297,0.875
51,-0.016,-0.293,0.887
52,-0.023,-0.289,0.891
53,-0.031,-0.281,0.914
54,-0.043,-0.289,0.910
55,-0.031,-0.293,0.891
56,-0.023,-0.293,0.879
57,-0.023,-0.293,0.879
58,-0.012,-0.273,0.883
59,-0.016,-0.273,0.887
60,-0.016,-0.285,0.887
61,0.000,-0.305,0.871
62,-0.016,-0.277,0.883
63,-0.016,-0.273,0.895
64,-0.023,-0.285,0.898
65,-0.023,-0.289,0.902
66,-0.039,-0.285,0.914
67,-0.016,-0.273,0.910
68,0.008,-0.270,0.914
69,-0.004,-0.273,0.910
70,-0.004,-0.285,0.906
71,0.008,-0.277,0.895
72,-0.012,-0.273,0.895
73,-0.004,-0.285,0.879
74,-0.012,-0.297,0.875
75,-0.023,-0.297,0.895
76,-0.016,-0.289,0.898
77,-0.016,-0.289,0.898
78,-0.039,-0.281,0.914
79,-0.035,-0.293,0.895
80,-0.035,-0.273,0.906
81,-0.043,-0.273,0.918
82,-0.039,-0.293,0.910
83,-0.016,-0.281,0.887
84,-0.023,-0.277,0.887
85,-0.012,-0.297,0.883
86,-0.004,-0.305,0.875
87,-0.027,-0.293,0.902
88,-0.004,-0.281,0.898
89,-0.004,-0.297,0.895
90,0.008,-0.281,0.906
91,0.012,-0.273,0.914
92,0.020,-0.266,0.914
93,-0.023,-0.273,0.906
94,-0.020,-0.285,0.891
95,-0.020,-0.289,0.891
96,0.000,-0.281,0.895
97,-0.027,-0.281,0.902
98,-0.020,-0.293,0.898
99,-0.031,-0.301,0.887
100,-0.016,-0.281,0.891
101,0.000,-0.277,0.902
102,-0.020,-0.281,0.918
103,-0.016,-0.270,0.906
104,-0.031,-0.277,0.895
105,-0.031,-0.309,0.883
106,0.012,-0.305,0.875
107,-0.004,-0.277,0.902
108,0.012,-0.266,0.914
109,-0.008,-0.289,0.902
110,-0.055,-0.305,0.883
111,-0.027,-0.289,0.891
112,0.016,-0.281,0.914
113,0.035,-0.258,0.934
114,0.012,-0.258,0.926
115,-0.008,-0.285,0.891
116,-0.039,-0.305,0.867
117,-0.039,-0.305,0.867
118,-0.031,-0.297,0.871
119,0.012,-0.289,0.891
120,0.016,-0.273,0.914
121,-0.043,-0.285,0.867
122,-0.023,-0.297,0.871
123,-0.047,-0.309,0.883
124,-0.008,-0.285,0.895
125,-0.020,-0.277,0.918
126,-0.016,-0.277,0.922
127,-0.020,-0.285,0.902
128,-0.031,-0.281,0.887
129,0.000,-0.289,0.883
130,-0.012,-0.289,0.895
131,-0.020,-0.297,0.895
132,-0.035,-0.289,0.887
133,-0.008,-0.281,0.891
134,0.004,-0.266,0.898
135,-0.023,-0.277,0.914
136,-0.020,-0.301,0.910
137,-0.016,-0.285,0.910
138,-0.008,-0.262,0.902
139,-0.012,-0.266,0.898
140,-0.023,-0.301,0.895
141,-0.035,-0.293,0.902
142,0.000,-0.273,0.902
143,-0.012,-0.270,0.906
144,-0.031,-0.285,0.891
145,-0.043,-0.305,0.875
146,-0.035,-0.297,0.898
147,-0.004,-0.277,0.914
148,-0.008,-0.266,0.914
149,-0.031,-0.281,0.902
150,-0.027,-0.289,0.883
151,-0.031,-0.309,0.879
152,-0.016,-0.293,0.887
153,0.000,-0.285,0.902
154,-0.004,-0.273,0.895
155,-0.027,-0.293,0.891
156,-0.012,-0.297,0.871
157,-0.027,-0.293,0.898
158,0.012,-0.281,0.898
159,0.000,-0.281,0.914
160,-0.043,-0.270,0.867
161,-0.012,-0.281,0.895
162,-0.035,-0.289,0.898
163,-0.004,-0.289,0.883
164,-0.043,-0.289,0.902
165,-0.008,-0.297,0.895
166,-0.008,-0.281,0.902
167,-0.023,-0.277,0.910
168,-0.008,-0.273,0.895
169,-0.020,-0.277,0.906
170,-0.008,-0.285,0.914
171,-0.047,-0.289,0.902
172,-0.004,-0.277,0.898
173,-0.020,-0.270,0.910
174,0.008,-0.289,0.887
175,-0.008,-0.297,0.891
176,-0.035,-0.293,0.891
177,-0.035,-0.293,0.891
178,-0.023,-0.285,0.895
179,0.008,-0.281,0.887
180,-0.008,-0.281,0.902
181,-0.039,-0.301,0.875
182,-0.012,-0.273,0.906
183,-0.016,-0.277,0.898
184,0.008,-0.297,0.887
185,0.008,-0.289,0.891
186,-0.020,-0.285,0.906
187,-0.020,-0.277,0.895
188,-0.023,-0.289,0.891
189,-0.016,-0.285,0.898
190,-0.012,-0.277,0.895
191,0.004,-0.297,0.906
192,-0.020,-0.289,0.906
193,-0.016,-0.273,0.902
194,-0.016,-0.281,0.895
195,-0.020,-0.285,0.910
196,0.000,-0.281,0.898
197,-0.031,-0.289,0.906
198,-0.027,-0.301,0.891
199,-0.004,-0.281,0.883
200,-0.023,-0.270,0.902
201,0.008,-0.285,0.922
202,-0.020,-0.293,0.898
203,-0.023,-0.281,0.902
204,0.012,-0.281,0.898
205,-0.004,-0.281,0.895
206,-0.039,-0.297,0.902
207,-0.027,-0.293,0.898
208,-0.020,-0.293,0.898
209,-0.004,-0.289,0.891
210,-0.020,-0.270,0.895
211,-0.047,-0.289,0.898
212,-0.016,-0.301,0.891
213,-0.020,-0.297,0.895
214,0.020,-0.273,0.898
215,-0.020,-0.273,0.906
216,-0.047,-0.285,0.898
217,-0.035,-0.289,0.891
218,-0.016,-0.293,0.895
219,0.035,-0.277,0.898
220,-0.109,-0.277,0.898
221,-0.023,-0.285,0.906
222,-0.047,-0.289,0.891
223,-0.020,-0.293,0.887
224,0.008,-0.289,0.891
225,-0.008,-0.270,0.918
226,-0.012,-0.281,0.914
227,-0.008,-0.293,0.895
228,-0.020,-0.289,0.891
229,-0.008,-0.285,0.887
230,-0.031,-0.277,0.910
231,-0.027,-0.285,0.906
232,-0.004,-0.301,0.895
233,-0.016,-0.273,0.902
234,-0.012,-0.285,0.902
235,-0.031,-0.293,0.895
236,-0.020,-0.285,0.895
237,0.000,-0.277,0.910
238,0.008,-0.270,0.898
239,-0.031,-0.277,0.902
240,-0.059,-0.289,0.906
241,0.004,-0.285,0.895
242,0.020,-0.277,0.906
243,-0.012,-0.285,0.898
244,-0.031,-0.301,0.887
245,-0.020,-0.289,0.891
246,-0.008,-0.270,0.891
247,0.000,-0.289,0.910
248,-0.016,-0.277,0.898
249,-0.031,-0.297,0.902
250,-0.016,-0.297,0.891
251,-0.012,-0.289,0.891
252,0.004,-0.285,0.902
253,-0.016,-0.273,0.914
254,-0.020,-0.289,0.902
255,-0.031,-0.293,0.891
256,-0.008,-0.285,0.887
257,-0.008,-0.285,0.887
258,-0.016,-0.270,0.914
259,0.000,-0.281,0.914
260,-0.023,-0.289,0.898
261,-0.055,-0.277,0.918
262,-0.016,-0.277,0.902
263,-0.016,-0.285,0.895
264,-0.023,-0.289,0.902
265,-0.004,-0.285,0.906
266,-0.004,-0.277,0.898
267,0.000,-0.285,0.891
268,-0.039,-0.273,0.902
269,-0.004,-0.297,0.891
270,-0.023,-0.289,0.898
271,-0.004,-0.273,0.895
272,-0.023,-0.277,0.895
273,-0.020,-0.289,0.898
274,-0.020,-0.277,0.895
275,-0.027,-0.289,0.887
276,-0.016,-0.297,0.898
277,-0.016,-0.277,0.902
278,-0.020,-0.273,0.898
279,-0.008,-0.289,0.887
280,-0.047,-0.281,0.895
281,-0.027,-0.289,0.891
282,-0.031,-0.289,0.902
283,-0.008,-0.262,0.902
284,-0.016,-0.297,0.902
285,-0.008,-0.270,0.906
286,-0.023,-0.281,0.902
287,-0.031,-0.285,0.891
288,-0.027,-0.289,0.883
289,-0.016,-0.289,0.898
290,-0.004,-0.281,0.902
291,-0.004,-0.285,0.902
292,-0.012,-0.270,0.914
293,-0.031,-0.289,0.898
294,-0.020,-0.297,0.887
295,-0.023,-0.281,0.895
296,-0.020,-0.270,0.910
297,-0.008,-0.285,0.898
298,-0.020,-0.289,0.895
299,-0.016,-0.281,0.895
300,-0.031,-0.316,0.867
301,-0.016,-0.285,0.898
302,-0.020,-0.281,0.898
303,-0.012,-0.285,0.887
304,-0.023,-0.285,0.891
305,-0.012,-0.273,0.895
306,-0.023,-0.270,0.910
307,-0.012,-0.289,0.895
308,-0.023,-0.293,0.895
309,-0.008,-0.289,0.895
310,-0.016,-0.277,0.902
311,-0.016,-0.270,0.914
312,0.004,-0.285,0.898
313,-0.031,-0.305,0.902
314,0.012,-0.285,0.883
315,-0.051,-0.281,0.914
316,0.012,-0.270,0.902
317,-0.012,-0.289,0.902
318,-0.027,-0.289,0.906
319,-0.020,-0.289,0.887
320,-0.008,-0.262,0.875
321,0.004,-0.285,0.906
322,-0.008,-0.285,0.895
323,-0.016,-0.281,0.898
324,-0.023,-0.285,0.898
325,-0.020,-0.289,0.891
326,-0.012,-0.285,0.891
327,-0.012,-0.277,0.906
328,-0.023,-0.285,0.895
329,-0.008,-0.277,0.895
330,-0.035,-0.281,0.910
331,-0.023,-0.301,0.895
332,-0.016,-0.285,0.895
333,-0.004,-0.289,0.910
334,0.000,-0.281,0.902
335,-0.027,-0.273,0.898
336,-0.047,-0.293,0.887
337,-0.039,-0.316,0.879
338,-0.008,-0.285,0.898
339,0.020,-0.266,0.914
340,0.016,-0.242,0.918
341,-0.023,-0.293,0.910
342,-0.070,-0.312,0.879
343,-0.027,-0.297,0.879
344,0.000,-0.266,0.898
345,-0.004,-0.258,0.914
346,-0.035,-0.293,0.906
347,-0.039,-0.301,0.879
348,-0.020,-0.293,0.891
349,0.023,-0.277,0.902
350,0.008,-0.262,0.910
351,-0.039,-0.293,0.910
352,-0.035,-0.305,0.879
353,-0.012,-0.285,0.883
354,-0.016,-0.281,0.902
355,0.020,-0.285,0.906
356,-0.016,-0.277,0.914
357,-0.016,-0.277,0.914
358,-0.012,-0.277,0.895
359,-0.035,-0.297,0.879
360,-0.023,-0.285,0.879
361,-0.012,-0.273,0.902
362,0.008,-0.285,0.883
363,0.000,-0.281,0.891
364,-0.031,-0.281,0.898
