Sample,X
0,0.070
1,-0.016
2,-0.016
3,-0.012
4,-0.039
5,-0.027
6,0.016
7,0.004
8,-0.016
9,-0.027
10,-0.027
11,-0.031
12,0.012
13,-0.039
14,-0.023
15,-0.016
16,-0.020
17,0.000
18,-0.035
19,-0.012
20,-0.047
21,-0.027
22,-0.012
23,-0.039
24,-0.008
25,-0.012
26,-0.020
27,-0.004
28,-0.035
29,-0.008
30,-0.012
31,-0.035
32,0.008
33,-0.020
34,-0.035
35,-0.023
36,-0.023
37,-0.039
38,0.020
39,0.000
40,-0.047
41,-0.031
42,0.059
43,-0.105
44,-0.250
45,-0.363
46,-0.188
47,0.133
48,0.031
49,-0.125
50,-0.473
51,-0.574
52,-0.426
53,-0.273
54,-0.109
55,-0.180
56,-0.238
57,-0.281
58,-0.398
59,-0.324
60,-0.223
61,-0.059
62,0.004
63,-0.008
64,-0.133
65,-0.184
66,-0.207
67,-0.238
68,-0.273
69,-0.324
70,-0.238
71,-0.121
72,0.004
73,0.031
74,-0.176
75,-0.375
76,-0.480
77,-0.453
78,-0.168
79,0.008
80,-0.020
81,-0.305
82,-0.723
83,-0.750
84,-0.430
85,0.227
86,0.273
87,-0.043
88,-0.395
89,-0.523
90,-0.266
91,-0.219
92,-0.234
93,-0.090
94,0.074
95,0.062
96,-0.133
97,-0.266
98,-0.543
99,-0.516
100,-0.219
101,0.047
102,0.102
103,0.125
104,-0.121
105,-0.430
106,-0.613
107,-0.375
108,-0.098
109,0.242
110,0.277
111,-0.055
112,-0.512
113,-0.867
114,-0.547
115,0.031
116,0.562
117,0.578
118,0.039
119,-0.566
120,-0.402
121,-0.270
122,0.102
123,0.473
124,-0.020
125,-0.465
126,-0.312
127,-0.199
128,0.242
129,0.359
130,-0.195
131,-0.203
132,-0.273
133,0.293
134,0.141
135,0.176
136,-0.344
137,-0.387
138,0.020
139,0.438
140,0.312
141,0.074
142,-0.246
143,-0.355
144,0.066
145,0.145
146,-0.031
147,-0.145
148,-0.324
149,-0.098
150,0.203
151,0.129
152,-0.105
153,-0.273
154,-0.262
155,0.121
156,0.211
157,-0.023
158,-0.273
159,-0.254
160,-0.039
161,0.219
162,0.375
163,0.137
164,-0.082
165,-0.199
166,-0.086
167,0.070
168,0.148
169,0.031
170,-0.164
171,0.000
172,0.133
173,-0.043
174,0.070
175,-0.215
176,-0.293
177,-0.062
178,0.160
179,0.008
180,-0.191
181,-0.137
182,-0.316
183,-0.020
184,0.031
185,0.215
186,-0.109
187,-0.016
188,0.020
189,-0.113
190,0.109
191,-0.082
192,-0.051
193,0.059
194,0.074
195,0.129
196,0.066
197,-0.082
198,-0.211
199,-0.070
200,0.125
201,0.031
202,-0.109
203,-0.156
204,-0.176
205,0.016
206,0.055
207,0.113
208,0.023
209,-0.203
210,-0.238
211,0.047
212,0.012
213,-0.023
214,-0.027
215,-0.262
216,0.207
217,0.059
218,0.211
219,0.016
220,-0.168
221,0.008
222,0.078
223,-0.047
224,0.168
225,-0.133
226,-0.164
227,0.188
228,0.344
229,0.410
230,0.188
231,-0.305
232,-0.348
233,-0.285
234,-0.316
235,-0.438
