Sample,X,Y,Z
205,0.055,-0.277,0.883
206,0.141,-0.449,0.824
207,0.098,-0.391,0.891
208,0.148,-0.406,0.859
209,0.586,-0.375,0.727
210,0.191,-0.266,0.887
211,0.594,-0.215,0.789
212,0.152,-0.270,0.945
213,0.215,-0.219,0.902
214,0.055,-0.383,0.824
215,-0.219,-0.406,0.898
216,0.227,-0.391,0.840
217,0.176,-0.285,0.996
218,0.465,-0.195,1.012
219,0.660,-0.113,0.941
220,0.051,-0.211,0.938
221,0.090,-0.477,0.711
222,-0.352,-0.406,0.914
223,-0.062,-0.414,0.922
224,0.305,-0.301,0.879
225,0.363,-0.297,0.953
226,0.695,-0.211,0.891
227,0.480,-0.105,0.914
228,-0.176,-0.277,0.953
229,-0.117,-0.414,0.773
230,-0.547,-0.555,0.887
231,-0.277,-0.508,0.863
232,0.645,-0.340,0.820
233,0.777,-0.059,1.027
234,0.934,0.016,0.973
235,0.082,-0.211,0.945
236,-0.328,-0.570,0.801
237,-0.559,-0.582,0.805
238,-0.336,-0.562,0.855
239,0.281,-0.270,0.891
240,1.020,-0.098,0.820
241,0.910,0.051,0.949
242,0.113,-0.145,0.980
243,-0.727,-0.492,0.934
244,-0.234,-0.656,0.785
245,-0.059,-0.578,0.914
246,0.926,-0.078,0.926
247,1.160,-0.008,0.840
248,0.398,-0.082,0.902
249,0.172,-0.344,0.762
250,-0.480,-0.629,0.855
251,-0.484,-0.488,0.945
252,0.461,-0.395,0.738
253,0.316,0.043,0.977
254,0.355,-0.047,0.824
255,-0.051,-0.387,0.805
256,-0.773,-0.473,1.078
257,-0.039,-0.508,0.938
258,0.164,-0.191,0.996
259,0.504,-0.066,0.777
260,-0.043,-0.309,0.695
261,-0.555,-0.477,0.789
262,-0.484,-0.562,0.984
263,-0.285,-0.391,1.070
264,0.582,-0.203,0.977
265,0.547,-0.059,0.836
266,-0.027,0.027,0.812
267,-0.391,-0.480,0.789
268,-0.855,-0.586,1.008
269,-0.031,-0.484,0.906
270,0.289,-0.371,0.906
271,0.383,-0.066,0.766
272,0.156,-0.270,0.633
273,-0.555,-0.395,0.875
274,-0.203,-0.352,1.004
275,-0.172,-0.262,1.133
276,0.223,-0.336,0.949
277,0.316,-0.125,0.746
278,-0.316,-0.242,0.840
279,-0.086,-0.246,0.863
280,0.031,-0.480,0.922
281,0.355,-0.258,0.906
282,-0.176,-0.301,0.863
283,0.023,-0.520,0.512
284,-0.148,-0.297,0.781
285,-0.277,-0.219,1.137
286,0.734,-0.238,1.000
287,0.082,-0.168,1.156
288,0.383,-0.320,0.723
289,-0.402,-0.367,0.707
290,-0.270,-0.449,0.750
291,-0.023,-0.418,0.945
292,0.215,-0.289,0.973
293,0.188,-0.219,0.887
294,0.000,-0.289,0.703
295,-0.445,-0.270,0.711
296,-0.402,-0.402,0.941
297,-0.215,-0.289,1.059
298,-0.062,-0.238,1.180
299,0.059,-0.273,0.879
300,-0.164,-0.379,0.715
301,-0.242,-0.328,0.859
302,0.125,-0.348,0.918
303,0.305,-0.297,1.012
304,-0.043,-0.176,1.027
305,-0.129,-0.430,0.586
306,-0.078,-0.441,0.578
307,-0.105,-0.375,0.824
308,0.566,-0.152,0.992
309,0.020,-0.059,1.266
310,-0.020,-0.273,0.930
311,-0.059,-0.520,0.645
312,-0.164,-0.281,0.879
313,-0.016,-0.422,0.945
314,0.516,-0.289,0.918
315,0.289,-0.160,0.996
316,-0.016,-0.312,0.773
317,-0.289,-0.414,0.715
318,-0.199,-0.359,0.766
