Sample,X
0,0.078
1,0.102
2,0.105
3,0.121
4,0.125
5,0.141
6,0.121
7,0.109
8,0.102
9,0.078
10,0.039
11,0.008
12,-0.016
13,-0.027
14,-0.020
15,-0.066
16,-0.094
17,-0.094
18,-0.094
19,-0.105
20,-0.105
21,-0.137
22,-0.102
23,-0.098
24,-0.094
25,-0.090
26,-0.098
27,-0.098
28,-0.082
29,-0.059
30,-0.027
31,0.008
32,0.004
33,0.016
34,0.012
35,0.023
36,0.023
37,0.031
38,0.023
39,0.020
40,0.020
41,0.055
42,0.039
43,0.039
44,0.043
45,0.055
46,0.055
47,0.062
48,0.070
49,0.062
50,0.062
51,0.066
52,0.070
53,0.078
54,0.086
55,0.102
56,0.094
57,0.113
58,0.113
59,0.109
60,0.145
61,0.113
62,0.105
63,0.102
64,0.094
65,0.074
66,0.066
67,0.055
68,0.055
69,0.062
70,0.043
71,0.020
72,0.027
73,0.008
74,0.004
75,-0.008
76,-0.023
77,-0.023
78,-0.039
79,-0.039
80,-0.035
81,-0.047
82,-0.023
83,-0.043
84,-0.039
85,-0.039
86,-0.039
87,-0.047
88,-0.043
89,-0.043
90,-0.047
91,-0.043
92,-0.039
93,-0.043
94,-0.035
95,-0.039
96,-0.039
97,-0.039
98,-0.039
99,-0.020
100,-0.012
101,-0.023
102,0.008
103,0.020
104,0.020
105,0.027
106,0.027
107,0.043
108,0.051
109,0.055
110,0.062
111,0.066
112,0.062
113,0.074
114,0.074
115,0.090
116,0.094
117,0.094
118,0.094
119,0.082
120,0.094
121,0.117
122,0.059
123,0.098
124,0.074
125,0.086
126,0.082
127,0.078
128,0.082
129,0.074
130,0.066
131,0.062
132,0.059
133,0.043
134,0.051
135,0.039
136,0.035
137,0.035
138,0.023
139,0.016
140,0.004
141,-0.023
142,0.000
143,-0.012
144,-0.008
145,-0.023
146,-0.020
147,-0.031
148,-0.020
149,-0.047
150,-0.035
151,-0.031
152,-0.035
153,-0.031
154,-0.047
155,-0.043
156,-0.035
157,-0.027
158,-0.043
159,-0.023
160,0.004
161,-0.012
162,-0.020
163,0.004
164,-0.016
165,-0.004
166,0.020
167,0.020
168,0.016
169,0.031
170,0.023
171,0.023
172,0.031
173,0.039
174,0.051
175,0.039
176,0.059
177,0.051
178,0.059
179,0.059
180,0.070
181,0.086
182,0.074
183,0.070
184,0.082
185,0.086
186,0.074
187,0.086
188,0.074
189,0.086
190,0.066
191,0.082
192,0.066
193,0.066
194,0.070
195,0.066
196,0.055
197,0.055
198,0.055
199,0.055
200,0.039
201,0.031
