Sample,Y
0,-0.066
1,-0.062
2,-0.055
3,-0.066
4,-0.074
5,-0.059
6,-0.043
7,-0.047
8,-0.055
9,-0.070
10,-0.074
11,-0.074
12,-0.082
13,-0.070
14,-0.035
15,-0.035
16,-0.043
17,-0.055
18,-0.059
19,-0.059
20,-0.043
21,-0.070
22,-0.062
23,-0.059
24,-0.059
25,-0.059
26,-0.066
27,-0.055
28,-0.055
29,-0.059
30,-0.074
31,-0.082
32,-0.066
33,-0.059
34,-0.066
35,-0.074
36,-0.051
37,-0.047
38,-0.055
39,-0.070
40,-0.070
41,-0.062
42,-0.055
43,-0.078
44,-0.051
45,-0.059
46,-0.047
47,-0.062
48,-0.059
49,-0.055
50,-0.047
51,-0.047
52,-0.070
53,-0.074
54,-0.070
55,-0.051
56,-0.059
57,-0.066
58,-0.066
59,-0.051
60,-0.082
61,-0.070
62,-0.074
63,-0.062
64,-0.059
65,-0.047
66,-0.055
67,-0.043
68,-0.074
69,-0.066
70,-0.070
71,-0.055
72,-0.051
73,-0.047
74,-0.062
75,-0.066
76,-0.059
77,-0.047
78,-0.059
79,-0.074
80,-0.082
81,-0.074
82,-0.070
83,-0.062
84,-0.062
85,-0.066
86,-0.055
87,-0.039
88,-0.047
89,-0.070
90,-0.070
91,-0.070
92,-0.066
93,-0.051
94,-0.055
95,-0.051
96,-0.059
97,-0.051
98,-0.055
99,-0.059
100,-0.094
101,-0.082
102,-0.066
103,-0.062
104,-0.059
105,-0.059
106,-0.070
107,-0.055
108,-0.043
109,-0.059
110,-0.078
111,-0.082
112,-0.074
113,-0.070
114,-0.047
115,-0.055
116,-0.062
117,-0.051
118,-0.051
119,-0.066
120,-0.059
121,-0.078
122,-0.066
123,-0.066
124,-0.070
125,-0.070
126,-0.059
127,-0.066
128,-0.062
129,-0.051
130,-0.059
131,-0.074
132,-0.074
133,-0.074
134,-0.062
135,-0.059
136,-0.055
137,-0.070
138,-0.059
139,-0.062
140,-0.070
141,-0.066
142,-0.062
143,-0.070
144,-0.066
145,-0.055
146,-0.059
147,-0.070
148,-0.059
149,-0.062
150,-0.070
151,-0.055
152,-0.062
153,-0.066
154,-0.078
155,-0.074
156,-0.074
157,-0.051
158,-0.070
159,-0.074
160,-0.062
161,-0.062
162,-0.066
163,-0.062
164,-0.066
165,-0.066
166,-0.059
167,-0.043
168,-0.066
169,-0.070
170,-0.074
171,-0.066
172,-0.051
173,-0.062
174,-0.074
175,-0.066
176,-0.055
177,-0.059
178,-0.066
179,-0.062
180,-0.086
181,-0.055
182,-0.055
183,-0.055
184,-0.066
185,-0.074
186,-0.062
187,-0.043
188,-0.059
189,-0.059
190,-0.066
191,-0.066
192,-0.059
193,-0.055
194,-0.059
195,-0.070
196,-0.055
197,-0.062
198,-0.055
199,-0.055
200,-0.082
201,-0.074
202,-0.059
203,-0.055
204,-0.059
205,-0.066
206,-0.070
207,-0.055
208,-0.043
209,-0.062
210,-0.066
211,-0.074
212,-0.070
213,-0.062
214,-0.066
215,-0.070
216,-0.059
217,-0.059
218,-0.059
219,-0.055
220,-0.059
221,-0.074
222,-0.059
223,-0.062
224,-0.055
225,-0.062
226,-0.070
227,-0.074
228,-0.043
229,-0.051
230,-0.062
231,-0.070
232,-0.070
233,-0.062
234,-0.059
235,-0.062
236,-0.055
237,-0.059
238,-0.059
239,-0.055
240,-0.066
241,-0.059
242,-0.062
243,-0.062
244,-0.059
245,-0.062
246,-0.066
247,-0.059
248,-0.062
249,-0.066
250,-0.066
251,-0.043
252,-0.062
253,-0.066
254,-0.062
255,-0.051
256,-0.070
257,-0.047
258,-0.062
259,-0.066
260,-0.074
261,-0.051
262,-0.070
263,-0.062
264,-0.059
265,-0.062
266,-0.066
267,-0.055
268,-0.059
269,-0.059
270,-0.070
271,-0.066
272,-0.059
273,-0.055
274,-0.051
275,-0.074
276,-0.051
277,-0.066
278,-0.051
279,-0.062
280,-0.074
281,-0.062
282,-0.051
283,-0.062
284,-0.051
285,-0.062
286,-0.059
287,-0.059
288,-0.051
289,-0.059
290,-0.070
291,-0.062
292,-0.059
293,-0.062
294,-0.055
295,-0.074
296,-0.062
297,-0.055
298,-0.051
299,-0.059
300,-0.043
301,-0.062
302,-0.066
303,-0.055
304,-0.047
305,-0.066
306,-0.066
307,-0.066
308,-0.051
309,-0.051
310,-0.043
311,-0.070
312,-0.059
313,-0.066
314,-0.051
315,-0.062
316,-0.055
317,-0.062
318,-0.062
319,-0.055
320,-0.059
321,-0.062
322,-0.070
323,-0.059
324,-0.062
325,-0.047
326,-0.059
327,-0.059
328,-0.059
329,-0.059
330,-0.055
331,-0.055
332,-0.066
333,-0.066
334,-0.070
335,-0.047
336,-0.055
337,-0.055
338,-0.070
339,-0.066
340,-0.070
341,-0.066
342,-0.070
343,-0.066
344,-0.059
345,-0.055
346,-0.059
347,-0.059
348,-0.074
349,-0.055
350,-0.059
351,-0.062
352,-0.055
353,-0.055
354,-0.066
355,-0.070
356,-0.055
357,-0.078
358,-0.055
359,-0.074
360,-0.059
361,-0.059
362,-0.051
363,-0.070
364,-0.059
365,-0.070
366,-0.062
367,-0.062
368,-0.055
369,-0.078
370,-0.051
371,-0.062
372,-0.059
373,-0.066
374,-0.062
375,-0.070
376,-0.066
377,-0.059
378,-0.055
379,-0.066
380,-0.055
381,-0.066
382,-0.055
383,-0.066
