Sample,X,Y,Z
0,0.000,-0.023,0.762
1,-0.016,-0.277,0.902
2,-0.020,-0.281,0.902
3,-0.008,-0.277,0.895
4,-0.027,-0.297,0.898
5,0.000,-0.277,0.906
6,-0.016,-0.281,0.898
7,-0.008,-0.281,0.898
8,-0.031,-0.289,0.895
9,-0.023,-0.281,0.914
10,0.004,-0.277,0.891
11,-0.039,-0.285,0.898
12,-0.012,-0.289,0.902
13,-0.004,-0.281,0.898
14,-0.031,-0.285,0.910
15,-0.004,-0.285,0.898
16,-0.020,-0.285,0.891
17,-0.027,-0.277,0.898
18,0.000,-0.281,0.891
19,-0.016,-0.281,0.906
20,-0.062,-0.301,0.930
21,-0.020,-0.297,0.902
22,-0.012,-0.270,0.902
23,-0.027,-0.289,0.898
24,0.000,-0.289,0.895
25,-0.020,-0.277,0.898
26,-0.020,-0.273,0.902
27,0.000,-0.281,0.895
28,-0.016,-0.289,0.898
29,-0.027,-0.289,0.898
30,-0.004,-0.281,0.898
31,-0.012,-0.270,0.898
32,-0.012,-0.266,0.910
33,-0.027,-0.301,0.898
34,-0.020,-0.281,0.887
35,-0.008,-0.277,0.910
36,-0.012,-0.277,0.902
37,0.000,-0.273,0.902
38,-0.027,-0.289,0.910
39,-0.008,-0.297,0.898
40,0.000,-0.277,0.895
41,-0.012,-0.289,0.902
42,-0.012,-0.281,0.902
43,-0.023,-0.273,0.902
44,-0.004,-0.293,0.891
45,-0.016,-0.289,0.891
46,-0.016,-0.266,0.902
47,-0.016,-0.281,0.902
48,-0.023,-0.297,0.902
49,-0.020,-0.281,0.895
50,-0.008,-0.285,0.891
51,-0.027,-0.297,0.906
52,0.004,-0.262,0.898
53,-0.027,-0.289,0.918
54,0.004,-0.301,0.887
55,-0.031,-0.289,0.895
56,-0.020,-0.277,0.910
57,0.000,-0.285,0.906
58,-0.023,-0.281,0.898
59,-0.016,-0.293,0.902
60,0.031,-0.293,0.910
61,-0.016,-0.270,0.906
62,-0.031,-0.281,0.914
63,-0.004,-0.293,0.891
64,-0.031,-0.297,0.895
65,0.000,-0.281,0.895
66,-0.020,-0.273,0.902
67,-0.004,-0.273,0.902
68,-0.020,-0.293,0.910
69,-0.004,-0.297,0.883
70,-0.020,-0.273,0.895
71,-0.031,-0.281,0.910
72,0.020,-0.270,0.891
73,-0.047,-0.281,0.914
74,0.000,-0.297,0.887
75,-0.004,-0.266,0.887
76,-0.047,-0.277,0.922
77,0.023,-0.285,0.887
78,-0.031,-0.277,0.898
79,-0.020,-0.297,0.910
80,0.016,-0.293,0.891
81,-0.031,-0.273,0.922
82,-0.008,-0.273,0.906
83,-0.016,-0.285,0.895
84,-0.023,-0.297,0.895
85,-0.016,-0.281,0.902
86,-0.004,-0.277,0.898
87,-0.016,-0.281,0.902
88,-0.023,-0.293,0.906
89,0.008,-0.293,0.891
90,-0.039,-0.281,0.906
91,0.008,-0.273,0.895
92,-0.020,-0.281,0.898
93,-0.035,-0.289,0.906
94,0.004,-0.293,0.895
95,-0.027,-0.289,0.898
96,-0.012,-0.273,0.902
97,-0.016,-0.289,0.895
98,-0.020,-0.281,0.898
99,-0.016,-0.289,0.898
100,-0.012,-0.301,0.902
101,-0.016,-0.273,0.887
102,-0.008,-0.273,0.898
103,-0.012,-0.277,0.906
104,-0.020,-0.285,0.898
105,-0.031,-0.285,0.895
106,-0.004,-0.281,0.898
107,-0.012,-0.285,0.902
108,-0.004,-0.285,0.895
109,-0.027,-0.277,0.910
110,-0.051,-0.305,0.879
111,-0.051,-0.402,0.910
112,0.309,-0.234,0.914
113,0.328,-0.176,0.969
114,0.309,-0.207,0.934
115,-0.070,-0.312,0.855
116,-0.219,-0.453,0.766
117,-0.219,-0.453,0.766
118,0.023,-0.410,0.797
119,0.340,-0.234,0.988
120,0.512,-0.152,1.059
121,0.422,-0.152,1.043
122,0.086,-0.312,0.859
123,-0.086,-0.398,0.746
124,0.023,-0.383,0.793
