Sample,X,Y,Z
212,0.020,-0.066,0.949
213,0.023,-0.078,0.941
214,0.012,-0.070,0.945
215,0.023,-0.062,0.941
216,0.027,-0.059,0.941
217,0.023,-0.082,0.941
218,0.035,-0.070,0.938
219,0.023,-0.078,0.941
220,0.043,-0.078,0.902
221,0.031,-0.078,0.926
222,0.023,-0.070,0.930
223,0.023,-0.062,0.934
224,0.020,-0.078,0.926
225,0.023,-0.078,0.930
226,0.004,-0.078,0.934
227,0.012,-0.078,0.926
228,0.000,-0.055,0.926
229,0.008,-0.070,0.930
230,0.004,-0.082,0.934
231,0.016,-0.082,0.910
232,-0.004,-0.086,0.930
233,0.020,-0.066,0.922
234,0.008,-0.066,0.930
235,0.012,-0.086,0.926
236,0.000,-0.074,0.934
237,0.012,-0.062,0.930
238,0.016,-0.066,0.934
239,0.027,-0.078,0.930
240,0.059,-0.082,0.938
241,0.027,-0.078,0.945
242,0.023,-0.074,0.938
243,0.031,-0.070,0.938
244,0.023,-0.074,0.938
245,0.016,-0.082,0.941
246,0.035,-0.062,0.934
247,0.031,-0.070,0.945
248,0.027,-0.074,0.938
249,0.039,-0.062,0.941
250,0.020,-0.074,0.938
251,0.016,-0.074,0.945
252,0.023,-0.086,0.938
253,0.023,-0.086,0.945
254,0.020,-0.062,0.945
255,0.020,-0.078,0.934
256,0.020,-0.078,0.934
257,0.027,-0.082,0.930
258,0.016,-0.082,0.941
259,0.027,-0.066,0.938
260,0.020,-0.055,0.902
261,0.016,-0.090,0.918
262,0.012,-0.082,0.930
263,0.016,-0.074,0.922
264,0.023,-0.066,0.930
265,0.020,-0.070,0.934
266,0.023,-0.078,0.930
267,0.023,-0.078,0.930
268,0.031,-0.070,0.926
269,0.012,-0.070,0.930
270,0.027,-0.070,0.922
271,0.020,-0.074,0.922
272,0.027,-0.070,0.926
273,0.035,-0.070,0.922
274,0.020,-0.082,0.926
275,0.020,-0.066,0.934
276,0.020,-0.074,0.930
277,0.012,-0.086,0.930
278,0.023,-0.070,0.934
279,0.016,-0.074,0.934
280,-0.016,-0.078,0.965
281,-0.008,-0.059,0.934
282,0.016,-0.082,0.930
283,0.020,-0.070,0.930
284,0.023,-0.086,0.930
285,0.020,-0.062,0.938
286,0.020,-0.066,0.945
287,0.016,-0.070,0.938
288,0.027,-0.086,0.938
289,0.020,-0.078,0.941
290,0.027,-0.078,0.945
291,0.035,-0.070,0.938
292,0.027,-0.074,0.945
293,0.035,-0.078,0.941
294,0.039,-0.070,0.930
295,0.023,-0.078,0.941
296,0.043,-0.066,0.930
297,0.020,-0.078,0.930
298,0.020,-0.074,0.930
299,0.023,-0.074,0.930
300,-0.008,-0.086,0.910
301,0.004,-0.074,0.926
302,0.020,-0.066,0.934
303,0.008,-0.082,0.930
304,0.035,-0.070,0.926
305,0.016,-0.082,0.934
306,0.016,-0.074,0.926
307,0.023,-0.066,0.930
308,0.016,-0.078,0.922
309,0.023,-0.078,0.926
310,0.016,-0.082,0.930
311,0.012,-0.070,0.934
312,0.035,-0.062,0.926
313,0.020,-0.074,0.934
314,0.012,-0.070,0.934
315,0.027,-0.070,0.930
316,0.016,-0.090,0.934
317,0.027,-0.062,0.941
318,0.031,-0.062,0.938
319,0.023,-0.074,0.938
320,0.062,-0.078,0.941
321,0.016,-0.105,0.930
322,0.023,-0.062,0.941
323,0.023,-0.062,0.941
324,0.035,-0.066,0.938
325,0.027,-0.086,0.926
326,0.020,-0.082,0.934
