Sample,X,Y,Z
0,0.020,0.184,0.945
1,0.016,-0.047,0.934
2,-0.012,-0.070,0.934
3,-0.016,-0.094,0.926
4,0.055,-0.074,0.922
5,0.090,-0.059,0.945
6,0.102,-0.016,0.961
7,0.105,-0.031,0.980
8,0.078,-0.062,0.957
9,0.062,-0.078,0.941
10,0.070,-0.070,0.930
11,0.094,-0.059,0.930
12,0.094,-0.039,0.922
13,0.078,-0.012,0.930
14,0.055,-0.055,0.938
15,0.062,-0.066,0.910
16,0.027,-0.094,0.938
17,0.020,-0.055,0.938
18,0.004,-0.062,0.949
19,-0.012,-0.047,0.941
20,0.012,-0.047,0.957
21,-0.016,-0.047,0.930
22,-0.023,-0.066,0.926
23,-0.031,-0.098,0.926
24,-0.008,-0.078,0.914
25,0.000,-0.102,0.930
26,0.023,-0.086,0.922
27,0.039,-0.074,0.934
28,0.035,-0.051,0.938
29,0.055,-0.062,0.961
30,0.059,-0.051,0.934
31,0.051,-0.074,0.953
32,0.055,-0.082,0.949
33,0.066,-0.074,0.949
34,0.047,-0.059,0.961
35,0.051,-0.043,0.965
36,0.035,-0.078,0.965
37,0.035,-0.078,0.965
38,0.023,-0.066,0.949
39,-0.008,-0.094,0.965
40,0.020,-0.066,0.941
41,-0.027,-0.082,0.969
42,-0.031,-0.074,0.938
43,0.000,-0.078,0.941
44,-0.020,-0.074,0.930
45,-0.020,-0.082,0.926
46,-0.023,-0.086,0.938
47,-0.023,-0.062,0.934
48,-0.012,-0.086,0.938
49,0.008,-0.062,0.926
50,-0.008,-0.086,0.953
51,0.016,-0.066,0.922
52,0.020,-0.074,0.945
53,0.023,-0.078,0.930
54,0.027,-0.070,0.934
55,0.039,-0.062,0.930
56,0.051,-0.031,0.945
57,0.051,-0.031,0.945
58,0.043,-0.035,0.953
59,0.051,-0.031,0.941
60,0.027,-0.070,0.953
61,0.047,-0.074,0.918
62,0.016,-0.086,0.938
63,0.027,-0.051,0.938
64,0.027,-0.055,0.953
65,0.016,-0.055,0.945
66,-0.004,-0.047,0.945
67,-0.012,-0.059,0.941
68,0.012,-0.055,0.938
69,-0.004,-0.090,0.930
70,0.004,-0.066,0.910
71,0.008,-0.086,0.930
72,0.023,-0.074,0.918
73,0.016,-0.090,0.930
74,0.039,-0.062,0.926
75,0.027,-0.074,0.941
76,0.043,-0.062,0.945
77,0.059,-0.055,0.957
78,0.047,-0.078,0.957
79,0.078,-0.062,0.941
80,0.066,-0.086,0.922
81,0.082,-0.074,0.930
82,0.047,-0.082,0.938
83,0.066,-0.066,0.910
84,0.031,-0.074,0.961
85,0.062,-0.047,0.934
86,0.031,-0.059,0.957
87,0.031,-0.062,0.945
88,0.020,-0.082,0.949
89,0.012,-0.090,0.941
90,0.012,-0.055,0.957
91,0.008,-0.090,0.957
92,0.004,-0.047,0.938
93,-0.008,-0.086,0.961
94,-0.004,-0.059,0.934
95,0.023,-0.074,0.938
96,0.008,-0.055,0.941
97,0.008,-0.055,0.941
98,0.020,-0.074,0.953
99,0.023,-0.082,0.930
100,0.027,-0.066,0.934
101,0.031,-0.074,0.930
102,0.039,-0.070,0.910
103,0.031,-0.082,0.930
104,0.027,-0.051,0.941
105,0.020,-0.074,0.945
106,0.020,-0.047,0.934
107,0.023,-0.078,0.945
108,0.016,-0.066,0.930
109,0.012,-0.094,0.938
110,0.004,-0.055,0.938
111,0.016,-0.066,0.941
112,0.008,-0.066,0.953
113,0.012,-0.055,0.938
114,-0.012,-0.078,0.941
115,0.016,-0.047,0.945
116,-0.004,-0.078,0.953
117,0.016,-0.070,0.941
118,0.000,-0.082,0.945
119,0.016,-0.070,0.934
120,0.059,-0.078,0.922
121,0.016,-0.059,0.918
122,0.020,-0.070,0.945
123,0.020,-0.070,0.934
124,0.031,-0.070,0.941
