Sample,Y
0,0.180
1,-0.094
2,-0.098
3,-0.086
4,-0.031
5,-0.035
6,-0.035
7,-0.062
8,-0.090
9,-0.078
10,-0.086
11,-0.047
12,-0.059
13,-0.047
14,-0.074
15,-0.051
16,-0.070
17,-0.070
18,-0.082
19,-0.094
20,-0.074
21,-0.055
22,-0.059
23,-0.070
24,-0.066
25,-0.062
26,-0.055
27,-0.055
28,-0.062
29,-0.066
30,-0.086
31,-0.051
32,-0.070
33,-0.051
34,-0.055
35,-0.051
36,-0.082
37,-0.066
38,-0.070
39,-0.074
40,-0.039
41,-0.055
42,-0.055
43,-0.074
44,-0.051
45,-0.086
46,-0.059
47,-0.059
48,-0.066
49,-0.062
50,-0.055
51,-0.066
52,-0.078
53,-0.070
54,-0.074
55,-0.059
56,-0.062
57,-0.055
58,-0.062
59,-0.051
60,-0.070
61,-0.090
62,-0.082
63,-0.082
64,-0.066
65,-0.074
66,-0.047
67,-0.070
68,-0.043
69,-0.055
70,-0.066
71,-0.082
72,-0.082
73,-0.066
74,-0.086
75,-0.051
76,-0.062
77,-0.027
78,-0.043
79,-0.043
80,-0.090
81,-0.074
82,-0.078
83,-0.082
84,-0.051
85,-0.059
86,-0.039
87,-0.055
88,-0.051
89,-0.078
90,-0.062
91,-0.062
92,-0.070
93,-0.082
94,-0.074
95,-0.066
96,-0.070
97,-0.047
98,-0.059
99,-0.051
100,-0.059
101,-0.062
102,-0.066
103,-0.062
104,-0.070
105,-0.070
106,-0.066
107,-0.070
108,-0.062
109,-0.070
110,-0.066
111,-0.066
112,-0.070
113,-0.055
114,-0.078
115,-0.070
116,-0.082
117,-0.070
118,-0.066
119,-0.062
120,-0.078
121,-0.051
122,-0.059
123,-0.066
124,-0.074
125,-0.082
126,-0.070
127,-0.078
128,-0.051
129,-0.062
130,-0.055
131,-0.059
132,-0.055
133,-0.066
134,-0.062
135,-0.066
136,-0.074
137,-0.062
138,-0.078
139,-0.051
140,-0.066
141,-0.039
142,-0.082
143,-0.074
144,-0.066
145,-0.074
146,-0.074
147,-0.070
148,-0.047
149,-0.066
150,-0.055
151,-0.090
152,-0.062
153,-0.059
154,-0.066
155,-0.078
156,-0.070
157,-0.043
158,-0.070
159,-0.047
160,-0.051
161,-0.062
162,-0.066
163,-0.051
164,-0.070
165,-0.070
166,-0.066
167,-0.059
168,-0.043
169,-0.062
170,-0.066
171,-0.078
172,-0.051
173,-0.062
174,-0.062
175,-0.082
176,-0.074
177,-0.051
178,-0.062
179,-0.047
180,-0.051
181,-0.074
182,-0.070
183,-0.062
184,-0.074
185,-0.070
186,-0.074
187,-0.066
188,-0.062
189,-0.066
190,-0.062
191,-0.070
192,-0.059
193,-0.078
194,-0.062
195,-0.070
196,-0.082
197,-0.070
198,-0.066
199,-0.062
200,-0.074
201,-0.051
202,-0.086
203,-0.059
204,-0.059
205,-0.062
206,-0.062
207,-0.062
208,-0.051
209,-0.059
210,-0.059
211,-0.082
212,-0.043
213,-0.062
214,-0.066
215,-0.082
216,-0.059
217,-0.062
218,-0.055
219,-0.066
220,-0.082
221,-0.043
222,-0.062
223,-0.051
224,-0.102
225,-0.078
226,-0.059
227,-0.047
228,-0.062
229,-0.078
230,-0.066
231,-0.059
232,-0.051
233,-0.066
234,-0.066
235,-0.078
236,-0.062
237,-0.055
238,-0.059
239,-0.066
240,-0.070
241,-0.047
242,-0.066
243,-0.051
244,-0.082
245,-0.059
246,-0.078
247,-0.047
248,-0.051
249,-0.066
250,-0.070
251,-0.059
252,-0.047
253,-0.062
254,-0.062
255,-0.090
256,-0.051
257,-0.051
258,-0.055
259,-0.078
260,-0.062
261,-0.059
262,-0.070
263,-0.059
264,-0.070
265,-0.051
266,-0.074
267,-0.066
268,-0.070
269,-0.066
270,-0.070
271,-0.074
272,-0.055
273,-0.078
274,-0.059
275,-0.074
276,-0.055
277,-0.074
278,-0.062
279,-0.062
280,-0.059
281,-0.059
282,-0.062
283,-0.059
284,-0.070
285,-0.047
286,-0.066
287,-0.055
288,-0.082
289,-0.055
290,-0.055
291,-0.062
292,-0.070
293,-0.062
294,-0.062
295,-0.062
296,-0.047
297,-0.074
298,-0.066
299,-0.051
300,-0.047
301,-0.062
302,-0.066
303,-0.047
304,-0.066
305,-0.055
306,-0.074
307,-0.051
308,-0.066
309,-0.051
310,-0.074
311,-0.062
312,-0.059
313,-0.066
314,-0.066
315,-0.066
316,-0.059
317,-0.078
318,-0.059
319,-0.074
320,-0.051
321,-0.051
322,-0.059
323,-0.074
324,-0.070
325,-0.055
326,-0.070
